Progress,total timesteps,mean_int_reward,ep_rew_mean,total_time,num_episodes,value_loss,total_loss,entropy_loss,policy_gradient_loss,icm_loss
71.27%,720896,0.0006245408,8761.494487920001,1126.7913570404053,16176,0.02837351874251226,0.008557408899038232,1.278631003946066,0.019541354592503068,0.0037659215655367006
72.09%,729088,0.0006159224,8840.25756758,1139.604240655899,16186,0.026414757796032973,0.00746759122244587,1.2626726739108562,0.00787219126864081,0.004038896315978491
72.91%,737280,0.0006221181,8325.752061700001,1152.395251750946,16197,0.030007408821484206,0.008086706034720701,1.258265719562769,0.009491477482849951,0.004136817404287285
73.73%,745472,0.0006021112,8049.4719383,1165.264188528061,16208,0.02858249885466648,0.007201532177038066,1.2697963032871484,0.0032529208756055987,0.004017990204010858
74.55%,753664,0.0005734559,7686.472299800001,1178.4886384010315,16218,0.032886401602763723,0.008168913343609824,1.2693484244868158,0.009069014860856671,0.003973371697247785
75.37%,761856,0.0005900479,6935.812598740001,1191.1371114253998,16232,0.029321863858945106,0.007606205998009127,1.2555435959249734,0.006635033654430028,0.004010516246671614
76.19%,770048,0.0005789852,7059.67256514,1203.6103992462158,16241,0.03197006720019999,0.008461266375118135,1.2426062786951662,0.009502417207954535,0.004314017934302683
77.0%,778240,0.0006358909,7316.200189359999,1216.381843805313,16250,0.030317209126019408,0.007841763545776436,1.223439303226769,0.0059977673888501806,0.004210265894289478
77.82%,786432,0.0006264097,6487.001260180002,1229.3091719150543,16264,0.026577119880857935,0.007521818740371748,1.2180851332843303,0.005074768371579578,0.004356629915127997
78.64%,794624,0.0006085197,6632.99714244,1242.2143156528473,16275,0.02851141318487862,0.008083861474996368,1.2350034467875957,0.007941322586511451,0.00443858789785736
79.46%,802816,0.0005798314,7122.192946200001,1255.0902638435364,16284,0.028936486581960706,0.007922672813479168,1.232163855805993,0.0066706962707043325,0.004361954528212664
80.28%,811008,0.0005155296,7122.19145298,1267.7075498104095,16293,0.02671918947744416,0.00736124156353766,1.232371210306883,0.003160456356068965,0.004373276980186347
81.1%,819200,0.000587581,7267.562936859999,1280.3655683994293,16305,0.032721038607428456,0.008131560422437605,1.236936686374247,0.006883377595438729,0.004171118802150886
81.92%,827392,0.0005353506,7931.47951228,1292.6179502010345,16313,0.03538007669662875,0.008638779076383801,1.2262157794088124,0.008250971669594976,0.004275674239761429
82.74%,835584,0.0005186824,7774.538950559999,1306.0483300685883,16323,0.027180638374784395,0.008221486616515764,1.2113163581117987,0.01252382302590237,0.004251040476447088
83.56%,843776,0.0004959787,8167.549965239999,1318.8051664829254,16331,0.0313374615710245,0.008076495127269632,1.2199451081454753,0.004918238237920962,0.0044509251463750845
84.38%,851968,0.0004598216,8347.268291880002,1330.9523022174835,16339,0.031154363730274783,0.007760126881715864,1.220688903518021,0.004250493491087636,0.0042196411595796235
85.2%,860160,0.0005800181,7882.64169796,1343.901150226593,16351,0.030313418245555113,0.008439272437917148,1.2097559440881014,0.010281743794593382,0.004379756233902299
86.02%,868352,0.00047725,8256.461428620001,1356.4848453998566,16359,0.03645987314075683,0.008897158276120849,1.1926460208371281,0.0069747550024507774,0.0045536954618000895
86.84%,876544,0.0004508395,8324.170470519999,1368.6028575897217,16367,0.029981954145227974,0.008256996420294493,1.1815709056332708,0.006613339146552816,0.004597467091116414
87.65%,884736,0.0004685423,8681.908871520001,1381.5803339481354,16375,0.030931092606579114,0.008469637160819821,1.1625815143808722,0.006853855112150084,0.0046911423889469004
88.47%,892928,0.0004885433,8404.412031039998,1394.6705241203308,16384,0.030276255553326338,0.008580554222727776,1.1582357050850987,0.005427732634522257,0.005010155403942918
89.29%,901120,0.0007233187,7529.88910142,1407.5266716480255,16400,0.029192131397144293,0.008096466694062752,1.1439101709052921,0.003211981911141313,0.004856055363234191
90.11%,909312,0.0004916054,7531.07197046,1420.3926846981049,16409,0.03947208361960293,0.00992713586271211,1.1378306368365885,0.00747140908910385,0.0052327865918414315
90.93%,917504,0.0006141039,6392.314069780001,1433.2819170951843,16425,0.0321518817015658,0.008655968038885273,1.143499726243317,0.004074858711071791,0.005033293997621513
91.75%,925696,0.0004844185,6669.78432836,1445.734968662262,16433,0.04372628761220767,0.011254323513839285,1.1362276222556829,0.018028818035501402,0.005078812949068379
92.57%,933888,0.000456077,7374.072424019999,1458.2903056144714,16441,0.03091818839966436,0.0086128463503302,1.1214073829352855,0.005307534106724572,0.004990274099691305
93.39%,942080,0.0004389069,7920.87226458,1471.3446629047394,16449,0.03113087440201525,0.008984999562142517,1.108350689522922,0.004960531253827552,0.005375858996558236
94.21%,950272,0.0004219641,7983.07485968,1483.61887717247,16457,0.029413623797358922,0.008976473670782392,1.11262971367687,0.007758403437290814,0.005259270947317418
95.03%,958464,0.000430708,8502.706323720002,1496.4476718902588,16465,0.03178875263354257,0.00913565266095546,1.1120476761832834,0.005362405282865275,0.005420536869314674
95.85%,966656,0.0004454928,9146.36594208,1509.5238454341888,16473,0.0318629408222705,0.008999743688253403,1.1205716202035547,0.005066548782595243,0.005306794727766828
96.67%,974848,0.0005302726,9051.11757534,1522.4700672626495,16483,0.03191947975768698,0.008989025368362765,1.122672351822257,0.0068476377316487955,0.005112313619429187
97.48%,983040,0.0005364659,8927.27730768,1534.998661994934,16492,0.034288251084126385,0.00922067866127694,1.125603941269219,0.005331445915999545,0.005258708961264347
98.3%,991232,0.0005560278,8881.961742700001,1547.5558729171753,16500,0.0334960293133463,0.009026422780754148,1.1251772325485945,0.0038572776486613474,0.005291092084553384
99.12%,999424,0.00051919,8735.53839362,1559.8019688129425,16509,0.03038332954808993,0.008600235041597824,1.136677647009492,0.0032048915852639754,0.005241412928262435
99.94%,1007616,0.000431752,8735.56497078,1572.7984371185303,16517,0.03452985044827983,0.008737207470133079,1.1496764292940498,0.0029452871238176887,0.004989693712923326
