Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,entropy_loss,policy_gradient_loss,icm_loss,value_loss,total_loss
31.13%,319488,0.0014351858,16014,8243.94905712,645.2507421970367,0.6304283859208226,0.006206384800642192,0.013225888246233808,0.09324350720507937,0.11267578025195535
31.95%,327680,0.0015216681,16025,8053.89973706,661.6208398342133,0.6206176081672311,0.008895359441943671,0.014282353639282519,0.08297652131541326,0.10615423439663944
32.77%,335872,0.0014174648,16040,7285.931028200001,678.0941381454468,0.6223371940664947,0.006306216507776774,0.014137582933472004,0.09030631740915851,0.1107501168504073
33.59%,344064,0.0017077214,16055,6305.035017820001,694.875611782074,0.6287848862819374,0.0067411636589021825,0.01405957584393036,0.09423643079881003,0.11503717030164258
34.41%,352256,0.0028896641,16099,1971.6226463399998,711.3314354419708,0.6462706891819835,0.007086101983698046,0.014158411496100597,0.08109337656824209,0.10233789004804075
35.23%,360448,0.0020798203,16116,2600.41339128,728.2920739650726,0.6654577057808637,0.0052634942172208685,0.014119529532763408,0.10616000948793954,0.12554303323792382
36.04%,368640,0.0016169054,16128,3555.2300797599996,744.6835508346558,0.6920949419029057,0.0011932749247137587,0.013133278273016913,0.05017421636403015,0.06450076956176082
36.86%,376832,0.0014665626,16138,4797.74970838,761.4952490329742,0.7112907339818776,0.0013846117654220107,0.012347623589084833,0.046662769483373265,0.060395004837880115
37.68%,385024,0.0014337021,16148,6093.096534120001,777.5479052066803,0.7121547486633062,0.009024474792193269,0.011875865871843416,0.055182723271900616,0.07608306393593729
38.5%,393216,0.0013917434,16157,6775.2281762,793.7279651165009,0.7225084614008666,0.005021549898669147,0.011652953115844866,0.05941981395262701,0.07609431696714102
39.32%,401408,0.0017472404,16172,6785.052920420001,810.3351032733917,0.720065142121166,0.008570554989167986,0.011716915973011055,0.05145676618130892,0.07174423714348796
40.14%,409600,0.0013714865,16184,6838.10107522,826.7996082305908,0.7289015469141304,0.006569248168796798,0.012216973568865797,0.05892995585527387,0.07771617759293648
40.96%,417792,0.0011823626,16194,6726.944242680001,843.3469367027283,0.7244238868355751,0.009905541200991491,0.01107956056985131,0.05762044095954479,0.0786055427303876
41.78%,425984,0.0014648442,16212,5603.494480259999,859.5762341022491,0.7028675420209766,0.006771553370510971,0.012103608764300588,0.030440711456776626,0.049315873591588184
42.6%,434176,0.0010556647,16226,5498.30988798,875.8998992443085,0.7158276232890785,0.004668029123022591,0.012617011789552634,0.0334047865064349,0.050689827419010125
43.42%,442368,0.0009737406,16238,5632.459607160001,892.2015659809113,0.7138816459104419,0.008012479782423754,0.011419008262237185,0.022920839241305658,0.04235232728596659
44.24%,450560,0.0009075512,16246,6019.938461119999,908.8559217453003,0.7115715030580759,0.005547877221192955,0.012077330490137683,0.047209441643281023,0.06483464935461167
45.06%,458752,0.0009793854,16255,6654.841476760001,924.6984000205994,0.7042164849117398,0.0051280437214489445,0.011504541043541395,0.04217071248481261,0.058803297249802954
45.88%,466944,0.0016166899,16277,6150.8592543,940.9500598907471,0.6805593169294297,0.006266025829959249,0.011679057756191468,0.04311361323480014,0.061058696820950865
46.69%,475136,0.0013122964,16289,6074.8542479200005,957.3837146759033,0.6621776373125613,0.006152157720294935,0.013983289454699843,0.06435647281250567,0.08449191998750046
47.51%,483328,0.0013638055,16300,5547.56679538,974.0228843688965,0.6642849079333246,0.003604310249973148,0.013165570190903964,0.04796961952260972,0.06473949996348682
48.33%,491520,0.0014526267,16311,5533.278209180001,990.3920724391937,0.6905718006193637,0.005688835500524535,0.012981223988390411,0.04150657758964371,0.06017663707855866
49.15%,499712,0.0014044315,16321,6343.69309184,1007.215877532959,0.7134754832834005,0.007835723014279053,0.011875547720410395,0.04042748251249577,0.060138753247185206
49.97%,507904,0.0014085889,16330,6962.44743522,1023.508983373642,0.7368404285050929,0.00365085956257166,0.01179504652354808,0.04499370349367382,0.06043960957979355
50.79%,516096,0.0011282329,16340,7270.741487080001,1039.7006812095642,0.7623570818454027,0.00589245346048257,0.011024922041542595,0.03696294998576377,0.05388032548778894
51.61%,524288,0.0011552247,16348,7813.14562814,1055.9491069316864,0.7825771358795464,0.008556984926401162,0.010499806263760547,0.03984179093140483,0.05889858212156653
52.43%,532480,0.0011568925,16357,7998.63160638,1072.1116173267365,0.7896382078528404,0.005531381560689665,0.01006528485158924,0.0341863527132773,0.0497830191255562
53.25%,540672,0.0012136843,16368,8320.9248259,1088.7567417621613,0.786349450983107,0.0062288610017645395,0.010241087009490002,0.03632778658698044,0.05279773459823498
54.07%,548864,0.001216117,16379,7986.377855180001,1104.7408814430237,0.7965137185528874,0.005835929921479991,0.010501077775552403,0.042133451246627374,0.058470458943659764
54.89%,557056,0.0012433157,16390,7748.25239242,1121.3722381591797,0.7986928096041084,0.005599737455736817,0.009932797711371677,0.04246101664512025,0.05799355181222874
55.71%,565248,0.0012487704,16398,7607.2849988200005,1137.9812223911285,0.806711342278868,0.002729870125097314,0.009895331860388979,0.03958419785831211,0.052209399843798396
56.52%,573440,0.0010097088,16408,7785.896118960001,1154.0356390476227,0.8157134486362339,0.0042836817677259125,0.009618158571902314,0.03193798531960965,0.04583982565923787
