total_time,num_episodes,ep_rew_mean,mean_int_reward,Progress,total timesteps,icm_loss,value_loss,entropy_loss,policy_gradient_loss,total_loss
527.4124693870544,1789,991.02,0.0044150168,28.67%,294912,0.1506350976356771,0.0616306273625014,-0.5765719752758741,0.00015283258583686276,0.21241855758401534
541.8192291259766,1797,999.02,0.0045251614,29.49%,303104,0.14789950690465048,0.06702854778068286,-0.5845509367063642,-0.0003643650737082574,0.21456368961162506
556.9730660915375,1805,1000.0,0.0041990266,30.31%,311296,0.1542090322065633,0.06312372963911912,-0.5819808811880648,0.000579764788030928,0.21791252663371333
572.0701911449432,1813,1000.0,0.0042061143,31.13%,319488,0.1468122383346781,0.06461226638657536,-0.5847195819951594,-0.00025119994601524706,0.2111733047752382
586.4979090690613,1822,1000.0,0.0035727452,31.95%,327680,0.1570270632568281,0.06215772822570216,-0.5787572371773422,0.00027158232084962175,0.2194563738033799
600.9912886619568,1831,1000.0,0.003900585,32.77%,335872,0.14516849957290107,0.07451988364973658,-0.5718624713364988,0.00017537304225925267,0.2198637562648969
615.847353219986,1839,1000.0,0.0039840653,33.59%,344064,0.1514705753303133,0.07427668189634459,-0.5865873462986201,-0.000865732439970703,0.22488152478668724
630.9893333911896,1847,1000.0,0.0039985837,34.41%,352256,0.15736827697837724,0.06821184245859513,-0.5872526076156646,0.0005407269740462133,0.22612084641101857
646.1080825328827,1855,1000.0,0.0033566958,35.23%,360448,0.15115510710747912,0.06702906891741804,-0.575198028050363,-0.00010872665681505974,0.2180754493680821
661.1287467479706,1863,1000.0,0.0031190708,36.04%,368640,0.14875545029062778,0.06708600843494424,-0.5742168684024364,7.671109159681266e-05,0.21591816981716883
675.2934653759003,1871,1000.0,0.0034158025,36.86%,376832,0.14848677176050842,0.06645586668910256,-0.5668830743059516,-0.0010493730440182612,0.21389326540559267
690.7447724342346,1880,1000.0,0.0026993116,37.68%,385024,0.14604434103239328,0.06516451406787382,-0.5507371081970632,0.000528129011180908,0.21173698411144803
705.6319408416748,1888,1000.0,0.0027652669,38.5%,393216,0.13986080494942144,0.07817524055617468,-0.5322296721860766,-0.0009080686840797859,0.21712797682151633
721.3170969486237,1896,1000.0,0.0024964386,39.32%,401408,0.13402922962559388,0.07269391084796553,-0.5125017757993191,-0.0012262763433585314,0.20549686413020085
