total timesteps,mean_int_reward,ep_rew_mean,num_episodes,total_time,entropy_loss,policy_gradient_loss,total_loss,value_loss,intrinsic_loss
327680,8.8398285e-16,18.249277539999998,324,708.1606307029724,-0.9899806442670525,-0.0015218670280541964,0.21341987048026487,0.21493868707057118,6.100875495779201e-06
335872,4.7982855e-16,17.83656204,332,726.4272532463074,-0.9769365795888006,-0.0010956996095197657,0.20613287863653335,0.20722168903630517,1.3778419495846794e-05
344064,1.336544e-15,16.647374300000003,344,743.8292133808136,-0.9558325706515461,-0.00014937700152970907,0.19281359825838665,0.19296177993201127,2.390655810136089e-06
352256,1.1936576e-15,14.14197118,352,761.6830127239227,-0.9510389954783023,-0.000635736998851533,0.29366063766721995,0.2942909115176008,1.0926296941426993e-05
360448,1.1124811e-12,12.58758744,360,778.9929850101471,-0.9487013188656419,-0.003906239655154578,0.2588369839637658,0.26273882794048403,8.791356872750455e-06
368640,2.2857764e-15,12.442072800000004,368,796.7821152210236,-0.9460419224109501,-0.0054402672263138925,0.33596781134933096,0.34140343496692366,9.287217442421891e-06
376832,2.4300685e-15,12.443970259999997,376,814.3177719116211,-0.9526548143941909,-0.0030466723748410023,0.24565443084637248,0.24869736872205978,7.46899830748049e-06
385024,2.175674e-15,12.740887480000001,384,832.898276090622,-0.9575743922963739,-0.0052026101248336815,0.21299324798121627,0.21819061893620528,1.0478339689301563e-05
393216,1.8198749e-15,14.068830659999998,392,851.079815864563,-0.9522946142125874,-0.0008239085076528375,0.2846068148778673,0.28542925070505587,2.94536092853015e-06
401408,3.079036e-15,16.96010534,400,868.5734906196594,-0.9380612637382001,-0.0018659487719255873,0.1693194451865963,0.17118386217189255,3.063573258710317e-06
409600,8.421303e-15,21.48873942,408,886.4624617099762,-0.939881425537169,-0.0027888987001089527,0.2210035995356227,0.22378684007562696,1.1316320209364683e-05
417792,7.643896e-15,24.404496220000002,416,905.2127108573914,-0.9364049077499658,-0.0012870284210454675,0.26269691242263216,0.26397234582400414,2.3190039346943082e-05
425984,1.0562118e-14,26.76109276,424,923.2298612594604,-0.9402305074501782,-0.001806543867167529,0.27604372144665845,0.2778421875118511,1.6155603949830065e-05
434176,1.12055835e-14,31.2817858,432,942.0033195018768,-0.9502293223049492,-0.0013454954411816738,0.6373719078658482,0.6387123421474825,1.0122319094563182e-05
442368,1.0712159e-14,35.16865336,440,960.2019238471985,-0.9364677768200635,-0.00205152248662784,0.5291609350409733,0.5312070549553027,1.0805144596837124e-05
450560,5.3943657e-15,38.300672299999995,448,978.3421323299408,-0.9104315443895757,-0.0017432042562013563,0.7391442851154146,0.7408861419084133,2.694926405544251e-06
458752,5.4762806e-15,41.18164108,456,996.5647358894348,-0.8983062815852463,-0.001183409864790472,0.6890772776550167,0.690259087101731,3.200836152283948e-06
466944,4.075671e-15,42.915732240000004,464,1014.9887580871582,-0.8908767299726605,-0.001120707230374223,0.5447855788273018,0.5459043738330365,3.8244492789774044e-06
475136,3.2721935e-15,44.93456422000001,472,1033.64696931839,-0.87037089667283,-0.001179745216159802,0.5111540257443231,0.5123312169103883,5.108100189210596e-06
483328,1.9362741e-15,45.744964519999996,480,1052.1549282073975,-0.8593715299386531,-0.0014715886507994662,0.5509243286097545,0.5523946828921907,2.468736726535248e-06
491520,8.424944e-11,45.82486884,488,1070.5006527900696,-0.8624083515722305,-0.00037773675973549114,0.4168900916436531,0.4172654488866101,4.759033556822612e-06
499712,3.931451e-15,46.89831496,496,1088.5553255081177,-0.8750367480795831,-0.00038348400031309375,0.6138779565210617,0.6142580819963769,6.717049996018964e-06
507904,3.8715343e-15,46.71486073999999,504,1106.996665239334,-0.8729559232015163,-0.0009991063663543022,0.38754568572753967,0.3885425063104776,4.571566832778373e-06
516096,3.3229505e-15,47.660465640000005,516,1125.075765132904,-0.8733058217447252,-0.0010860571661081666,0.32964896613848493,0.33073347869576536,3.0892176555163964e-06
524288,5.277402e-15,48.937565600000006,524,1143.8585550785065,-0.8764965878333897,-0.0010109869918894124,0.4453677913654671,0.4463774196890881,2.717336536484094e-06
532480,4.8396447e-15,49.37939874,532,1162.3297142982483,-0.8697070424910635,-0.0020832586503356032,0.3612419624154901,0.36332390255847713,2.637014697159934e-06
540672,5.159376e-15,51.12643353999999,540,1180.287737607956,-0.853358290810138,-0.0017976348627187547,0.33715362594826315,0.33895034648958244,1.82864279890671e-06
548864,4.2592857e-15,50.998708539999996,548,1198.7843968868256,-0.8420705146156251,-0.0011534104228620918,0.3937666333982004,0.3949194287401042,1.2301619165822064e-06
557056,4.164565e-15,51.31212683999999,556,1216.9754130840302,-0.8434153085108846,-0.001220617748391023,0.2610544563761449,0.2622741471430345,1.8539630028679976e-06
565248,1.7305117e-11,50.70056198,564,1235.3195848464966,-0.8421513554174453,-0.0015197460523322967,0.3082256722432211,0.309743946591334,2.9434084389046155e-06
573440,8.845933e-15,49.72714722,572,1253.3843760490417,-0.8359573628753424,6.60732497148478e-05,0.32926997606159336,0.32920067881350407,6.447996748915053e-06
581632,1.0565029e-14,49.16739344,580,1271.8511130809784,-0.823392343800515,-0.001665287266869352,0.38136822938431364,0.38303322106803533,5.911662953328456e-07
589824,1.1219175e-14,47.83395802000001,588,1290.208894252777,-0.8137074236758053,-0.0007818337904882289,0.322794981707706,0.32357550285814796,2.6252800925830046e-06
598016,1.2244002e-14,47.0004773,596,1308.6784098148346,-0.8192348178941756,-0.001698120184158517,0.48727577609343725,0.4889733555384737,1.081478244119305e-06
606208,1.22867194e-14,46.38944821999999,604,1327.059152841568,-0.8149496294092387,-0.0005712012552572766,0.34357516555335843,0.3441452820381528,2.1695409258892794e-06
614400,1.0642837e-14,45.40121402,612,1345.4351136684418,-0.8093460835050792,-0.0008361303832076431,0.5283417177854738,0.5291769122326514,1.8718720600607864e-06
622592,1.0535518e-14,44.85987416,620,1363.7009074687958,-0.8159540245309472,-0.00012331211744929794,0.276391288306713,0.27651426623997394,6.683683767660931e-07
630784,1.2497895e-14,42.579946019999994,628,1382.0547511577606,-0.8076986829284578,-0.0014274191224209795,0.2368949405891499,0.2383215778732847,1.5636765723248125e-06
638976,1.5300876e-14,40.940488259999995,636,1400.3745136260986,-0.8054303167387843,-0.0021280009414583905,0.44994541116738346,0.4520728825482365,1.0591212107086134e-06
647168,7.604169e-14,41.89732134,644,1419.2802703380585,-0.8256163592915982,-0.0009619869171612928,0.37885238421177003,0.37981359303885254,1.5561801575109114e-06
655360,1.32371065e-14,40.45598502,652,1438.0079367160797,-0.8375807717442513,-0.0017860475454786605,0.3636083958195925,0.36539371006001603,1.466610110234523e-06
663552,1.2329262e-14,41.122338660000004,660,1455.848998785019,-0.8392322655301541,-0.00023891793300076514,0.31384922465033804,0.3140863474905927,3.5901854921749354e-06
671744,1.1123426e-14,39.97628748,668,1474.2422177791595,-0.8513001777231693,-0.003002471107445862,0.2438793888538028,0.24688156480915496,5.903041874574799e-07
679936,3.649958e-14,40.56960786,676,1492.2619469165802,-0.870416006911546,-0.0038622504173943034,0.339264984641553,0.3431266684507136,1.1332164673527601e-06
688128,2.1004174e-14,39.930932399999996,688,1510.3831577301025,-0.8794440644793212,-0.0011904523848169078,0.306544564285981,0.3077343116099655,1.4101216647077753e-06
696320,2.2818361e-14,40.904203439999996,696,1529.5315806865692,-0.8814160229172557,-0.001736897653834908,0.6900139963735878,0.6917503912671237,1.0055205980741278e-06
704512,1.5076262e-14,44.668808900000016,704,1548.2590546607971,-0.8873016045894474,-0.001240684737993411,0.4728531475848229,0.4740932246335433,1.2153785459378953e-06
712704,1.6295332e-14,49.78064347999999,712,1566.6594543457031,-0.8976885027717799,-0.002289197573294346,0.19081656639624264,0.19310501928266605,1.4893737419197084e-06
720896,1.5782653e-14,54.037217760000004,720,1585.194732427597,-0.8981738314032555,-0.002007411066784407,0.15975580881750712,0.16176284998800838,7.397925662733229e-07
729088,9.029222e-15,61.370371199999994,728,1603.5129041671753,-0.8878677460364998,-0.001528995077884013,0.36476234231502835,0.36629113936505747,3.960557097781869e-07
737280,8.687434e-15,68.36680294000001,736,1622.184523820877,-0.8854645734187215,-0.002258591700125486,0.1797483354181224,0.18200661889713957,6.16442216694324e-07
745472,1.1491429e-14,73.96598802,744,1641.1190423965454,-0.8916321376804263,-0.001979150227276806,0.3603459498083414,0.36232488167734117,4.367165540503093e-07
753664,1.0083563e-14,76.8731409,752,1659.4282863140106,-0.9109071407001466,-0.0016471245735172658,0.349299856694907,0.3509467073381529,5.478605426545435e-07
761856,8.481648e-15,79.80585224000001,760,1678.364684343338,-0.9078441593796015,6.746294408192113e-05,0.3724062102851273,0.3723385795557988,3.355704932622716e-07
770048,4.6168276e-15,80.62422488,768,1697.2252473831177,-0.9003477058839053,-0.003671349823583471,0.39905747429035376,0.4027286281212582,3.9198535807249967e-07
778240,1.7890697e-15,77.33349122,776,1715.367017507553,-0.892142765270546,-0.0024702375411337976,0.42730505982863887,0.42977509814081716,3.9845791111048356e-07
786432,1.4563592e-15,70.49534623999999,784,1733.7218244075775,-0.8680393239948898,-0.0024949219506171143,0.5196710193616354,0.5221658556562033,1.7131209850418382e-07
794624,1.376483e-15,62.241676580000004,792,1752.3918569087982,-0.8539597754832358,-0.0028882178205669727,0.45433699000829114,0.45722514920125834,1.1725519969141285e-07
802816,1.3129731e-15,56.6783566,800,1771.0009727478027,-0.8442821656819433,-0.0010434202541192536,0.41574981979161035,0.4167931709678669,1.3815572543277033e-07
811008,1.0883775e-15,48.54496251999999,808,1789.4996602535248,-0.8453391572926193,-0.002283286639942465,0.4045084036407539,0.40679160559375305,1.693738866423433e-07
819200,5.7362322e-12,45.65389002,816,1808.6086785793304,-0.8447861408814787,-0.005794565400843304,0.43687245696415006,0.44266694959806047,1.455338657592453e-07
827392,3.7188423e-15,47.89556848,824,1826.6649804115295,-0.839725179458037,-0.0018554455860598069,0.35320745729557557,0.3550627817414352,2.422804003122947e-07
835584,5.7518683e-15,57.18583912,832,1845.1483054161072,-0.8450965991709382,-0.0028211164029086724,0.3940182179030534,0.3968392945389496,7.953402489623007e-08
843776,5.0106107e-15,67.61045118,840,1863.5287313461304,-0.8545864337589592,-0.0034410981131116646,0.296813164006029,0.30025416204880456,2.001406721338639e-07
851968,3.5234737e-15,82.15550882,848,1882.0730683803558,-0.8706123556476086,-0.0018454773264799877,0.42980054705103343,0.431645994563587,5.962785301627527e-08
860160,2.6647123e-15,101.13357474,860,1900.2631933689117,-0.8648197519592941,-0.0019788803079532164,0.35883569212518646,0.3608145454811165,5.3904046360894744e-08
868352,1.8986548e-15,112.5607605,868,1919.1644065380096,-0.8631997445598245,-0.0015633505476535068,0.6285421151706332,0.6301054282841505,7.4868272397291e-08
876544,2.6198454e-15,115.51335996,876,1937.8978176116943,-0.8688571260310709,-0.0018194203100961113,0.42688251291402535,0.42870191636902744,3.371018809875809e-08
884736,1.383061e-15,117.0173038,884,1956.0835185050964,-0.8716568642295897,-0.0018460691083845688,0.3956521287748952,0.3974981420833501,1.1159985933706374e-07
892928,2.813941e-15,113.72490819999997,892,1974.9111919403076,-0.8656281533651053,-0.0014206012596381398,0.5007278400288103,0.5021484253986273,3.1779642341647764e-08
901120,1.7504832e-15,109.28179544000002,900,1993.400605916977,-0.8625718505121768,0.000272331148306737,0.604922827932793,0.6046504862519214,2.1065129538269667e-08
909312,1.1312375e-15,104.49608740000002,908,2011.362994670868,-0.8725284532178194,-0.00250151454351544,0.5360459116130877,0.538547409712919,3.288736823824773e-08
