num_episodes,ep_rew_mean,total_time,total timesteps,mean_int_reward,intrinsic_loss,total_loss,entropy_loss,value_loss,policy_gradient_loss
128,44.99326648,262.2339916229248,131072,3.182214e-14,0.00011492290102665947,0.08354637970960606,-1.2192728779278696,0.08432391329406527,-0.00083499503497256
136,52.19088928000001,279.40932059288025,139264,3.9137794e-14,0.00010693431229640283,0.11603985439769067,-1.2023071283474565,0.1171167811466148,-0.0011303939050723451
144,60.40159548,295.9727129936218,147456,2.9550628e-14,7.950669253204978e-05,0.14313103824041945,-1.203312466852367,0.14377006650029217,-0.0006787816061387447
152,64.89299410000001,313.54934096336365,155648,1.941773e-14,5.2767242777918e-05,0.13620138853996602,-1.214950264338404,0.13752252621343358,-0.0013475212948565428
160,66.61656864000001,330.9897253513336,163840,2.203567e-14,4.2874388827840446e-05,0.13333072696686954,-1.2165659895166754,0.13510274189466145,-0.001793452122205821
172,71.58226336,347.97568345069885,172032,1.4429502e-10,4.8953369556414825e-05,0.19443968582448712,-1.222600707411766,0.19677263110643253,-0.002357421966723616
180,70.46615394,365.12362718582153,180224,1.1411664e-14,3.960593912282207e-05,0.24744272008481055,-1.236951570864767,0.25001023629738484,-0.002587319182135675
188,74.46730392,381.89838910102844,188416,1.7146834e-14,2.1660757098729276e-05,0.13009034747233833,-1.2425627602264284,0.13491774186550173,-0.004838224771712789
196,78.42144306,398.7833409309387,196608,1.9895367e-14,2.4217571477791466e-05,0.13674778722107095,-1.2528136689215899,0.1389504666585708,-0.0022147882232387505
204,81.6469109,416.0157105922699,204800,1.6927596e-14,1.79362009770756e-05,0.0969424177142299,-1.2509183066897094,0.09842738900624681,-0.001493939392505449
212,89.22702293999998,432.99110412597656,212992,1.9126023e-14,1.5814199444008636e-05,0.13539204575607044,-1.2557312992401422,0.13925632526370463,-0.0038721866073561997
220,101.26316695999999,450.4339725971222,221184,1.6486853e-14,1.5442715310598486e-05,0.1375564184200337,-1.2569918993860483,0.13987092142488108,-0.0023222243625026944
228,114.56657384,467.5108549594879,229376,1.5359235e-14,1.3720786511228766e-05,0.25605129672070837,-1.2592328718863428,0.2593460431904532,-0.003301606863000487
236,120.29204446,485.29054975509644,237568,1.0228124e-14,1.2573192303833025e-05,0.33770308822348405,-1.2705784630030394,0.3394726855243789,-0.0017758838970467748
244,130.1135333,502.5663754940033,245760,1.2557809e-14,1.0811114492348394e-05,0.21263027544538624,-1.2516151273623108,0.2156825381112867,-0.003057668223146625
252,135.66672627999998,519.7939972877502,253952,1.0989339e-14,9.537820482208303e-06,0.4554240457014874,-1.2312740980647505,0.4567469671106664,-0.0013276903194201612
260,143.73262358,537.0427248477936,262144,1.1167501e-14,7.722003954668822e-06,0.3424844652285698,-1.2196907325647772,0.3432448587671388,-0.0007642545405463362
268,144.79410904,554.9124925136566,270336,9.794418e-15,7.644079316104779e-06,0.48284801452120457,-1.212011195346713,0.48351885495649183,-0.0006746624749453085
276,144.92019932,572.4242944717407,278528,1.0332249e-14,8.081561973938279e-06,0.4762307780890385,-1.2024783078581094,0.47713913102634253,-0.0009123937182908704
284,151.62003740000003,589.4957585334778,286720,9.577694e-15,4.908088780064546e-06,0.5932697706287919,-1.195302102714777,0.5929480991981109,0.0003192173862910996
