total_time,mean_int_reward,ep_rew_mean,num_episodes,total timesteps,intrinsic_loss,entropy_loss,total_loss,policy_gradient_loss,value_loss
481.6026690006256,0.00027032674,50.43913008,300,303104,3.5032370387710897e-06,-0.9731191098224372,0.014171854718359207,-0.003528594968421546,0.017698698068261364
495.71711921691895,8.048108e-05,50.58573362,308,311296,6.257769822504144e-06,-0.9589985403697938,0.03205264342259368,0.0012907292963589287,0.030758785241323493
509.70814394950867,5.0955612e-05,51.05427848,316,319488,5.6371771085306225e-06,-0.9651341420132666,0.021821808951337462,-0.0007358282190920282,0.022554818581875226
522.9871046543121,4.5667337e-05,53.09019797999999,324,327680,3.798331367921293e-06,-0.9814326702151448,0.045139311050942724,-0.004036215648960358,0.049173627534219125
536.9573087692261,1.7715838e-05,55.2665812,332,335872,2.0911018378089173e-06,-0.95804034601897,0.030435650383882552,-0.002120409271800626,0.03255501410476427
549.7046909332275,2.2036602e-05,56.21225974,344,344064,2.497524782896221e-06,-0.9328675741329789,0.018146952166499634,-0.0020794466207539725,0.020225150024862158
563.9185237884521,1.953506e-05,56.456708039999995,352,352256,2.2537690635537898e-06,-0.9053835519123823,0.03789897914199946,-0.0008756480789792037,0.03877350033644689
577.248473405838,2.7428974e-05,56.246525160000004,360,360448,1.1085379091668734e-06,-0.8871047683991492,0.023584524628703335,-0.0011651852741412906,0.02474915563389004
590.5870683193207,6.6628713e-06,56.319118120000006,368,368640,5.905159189606435e-07,-0.883916192362085,0.017780543518135017,-0.001683070669098928,0.019463318929274463
603.5172972679138,6.462463e-06,57.08269976,376,376832,6.785575057594029e-07,-0.8623368792701512,0.021208667332906658,-0.0002767970029435413,0.02148512505709732
617.4132471084595,1.8151391e-06,54.75346287999999,384,385024,1.7042056265625938e-07,-0.8578916091471911,0.019941890855021148,-0.0003313081877054112,0.020273113832445233
629.8848354816437,2.2958543e-06,54.28281719999999,392,393216,1.525292299797698e-07,-0.8263874154072255,0.023763573703876405,6.517833893951762e-05,0.023698319100321896
