total timesteps,total_time,num_episodes,ep_rew_mean,value_loss,total_loss,entropy_loss,policy_gradient_loss
401408,416.872168302536,12192,8301.02942464,1.3026589425775454,1.308224024224455,0.7061154465191066,0.0055650816469094925
409600,425.01718854904175,12203,8244.74605696,1.4888197163032602,1.495320606409932,0.7023691064678133,0.006500890106671828
417792,433.873300075531,12219,7001.486598739999,1.703683434810955,1.7087021129714457,0.7054874412715435,0.005018678160490633
425984,442.7491183280945,12230,6541.871941580001,2.1572420973388944,2.1583503863328013,0.7359645318239927,0.0011082889939066799
434176,451.07557463645935,12241,6351.15182582,1.5527392733900343,1.557471369068729,0.7583693630993367,0.004732095678694629
442368,459.6544795036316,12255,6245.0248182999985,1.7109696498897393,1.7146265755861456,0.7542274952866137,0.0036569256964064296
450560,468.3919689655304,12264,6684.17898062,1.9209415505523793,1.923810860441326,0.7632694699801504,0.002869309888946729
458752,476.7368447780609,12273,7031.6316056,1.6285674343380379,1.6339112484637088,0.7482041927985847,0.00534381412567098
466944,485.6834559440613,12282,7401.837322499999,1.31223499282205,1.3168079789372082,0.7373265418224036,0.004572986115158231
475136,493.8819115161896,12291,7665.2875902999995,1.597055153164547,1.6010604306711975,0.7185055223293603,0.0040052775066506275
483328,502.67385697364807,12299,8093.51963298,1.5192572466970886,1.523762512705789,0.7163647048175334,0.004505266008700151
491520,511.11778497695923,12311,8033.482008579999,1.4393617510329932,1.443933550300383,0.717478115670383,0.00457179926738968
499712,519.6370587348938,12321,8091.005302899999,1.8720835138752592,1.877957842928432,0.7132890421897173,0.005874329053173105
507904,528.123480796814,12331,8007.533985359999,1.7279061771696433,1.7307865666836673,0.7094069520942867,0.0028803895140239746
516096,536.3241815567017,12341,7631.415827319999,1.6204964972566813,1.6256806042978749,0.7021868102252483,0.00518410704119353
524288,544.8123741149902,12358,6736.7933278400005,1.6063402469386348,1.6096862009700472,0.6836680796928704,0.0033459540314127144
532480,553.7008941173553,12371,6229.950594459999,2.3183910584659317,2.3212389458157774,0.6989347405731678,0.002847887349845554
540672,562.236230134964,12386,5289.9287361199995,2.013795622205362,2.016878324101493,0.7044867256656289,0.0030827018961309383
548864,570.3552346229553,12395,5795.889547140001,2.1783409278839825,2.183527820524586,0.7233185014687479,0.005186892640602919
557056,578.806116104126,12405,6034.31976118,1.734914627968101,1.7359125592667926,0.7283900932408869,0.0009979312986917056
565248,587.4445238113403,12415,6596.51376266,1.6762098506558687,1.6821544825313837,0.7327674141153693,0.00594463187551471
573440,596.3030502796173,12423,7171.96795076,1.8302360779576703,1.8329890779099904,0.7239996641874313,0.0027529999523205955
581632,604.7038614749908,12434,7476.11099162,1.4449834959144936,1.4464585764842266,0.7329818886704743,0.0014750805697328723
589824,613.1433017253876,12444,7511.540147640001,1.9936974313051905,2.004647021525007,0.7484231077134609,0.010949590219816322
598016,621.925445318222,12453,7920.176978199999,1.8606098866992398,1.8636706086078358,0.7657467386685312,0.003060721908595974
606208,630.505303144455,12465,7506.10124298,1.6580377803242299,1.6633056037404668,0.7729632907547057,0.005267823416236927
614400,639.5121085643768,12478,7028.762646519999,1.8917753936519148,1.8956838743415134,0.7779688299633563,0.0039084806895987225
622592,648.1694650650024,12487,7374.27486788,2.2894035954610445,2.292779876969044,0.794486980047077,0.003376281507999744
630784,656.8921451568604,12496,7578.148212299999,1.704373033210868,1.7061369255422973,0.8059290275909007,0.0017638923314293377
638976,665.2813794612885,12504,7647.2282362000005,1.8187471873010508,1.8222425300886118,0.8045054481364786,0.0034953427875610574
647168,673.3735570907593,12512,8079.33150414,1.7674568621703657,1.7716991941072955,0.8123435208573937,0.004242331936930095
655360,681.7161152362823,12524,7883.9912846199995,1.646252145129256,1.6494607820181357,0.803667941596359,0.0032086368888796747
