mean_int_reward,num_episodes,total timesteps,ep_rew_mean,Progress,total_time,icm_loss,policy_gradient_loss,value_loss,entropy_loss,total_loss
0.0037112768,1616,80896,-15.4074342,7.99%,90.01790308952332,0.044397350458893925,-0.00048624694009832587,0.01025211529849912,0.09284164942800999,0.045373937294734004
0.003616589,1636,81920,-14.71478174,8.09%,91.18190264701843,0.04315911018056795,0.002123550425156864,0.00928728793587652,0.09791093785315752,0.04430019401667129
0.0036883362,1656,82944,-14.857100820000001,8.19%,92.17370510101318,0.0431089109624736,0.009401666235007843,0.009338027823105222,0.10797230340540409,0.044982880368284905
0.0043097381,1676,83968,-14.791211939999998,8.29%,93.19370365142822,0.04064573784125969,0.007684112274260472,0.010097145135659957,0.12292770761996508,0.04242386358225173
0.0042656356,1696,84992,-14.688463059999998,8.4%,94.21817016601562,0.039837654621805996,0.002448440543900106,0.009670933526649605,0.13963800389319658,0.041049592028860965
0.0036595728,1720,86016,-14.075425760000003,8.5%,95.22776079177856,0.04057019657921046,0.010387322576651236,0.007974831038154662,0.15718859899789095,0.042406411940691044
0.0039774337,1740,87040,-13.893817059999998,8.6%,96.19209575653076,0.03778042149497196,0.002789456564584126,0.007573982693429571,0.17369963601231575,0.038816765420773336
0.0037158395,1760,88064,-13.877381560000002,8.7%,97.27641153335571,0.03618525364436209,0.002282858279325407,0.008669754872244084,0.19018893409520388,0.03728051495951904
0.0034941468,1780,89088,-13.715673579999997,8.81%,98.22470021247864,0.03631452840636484,0.0030306632310368514,0.0063911530469340505,0.20021111611276865,0.037256710034161936
0.0046068539,1800,90112,-14.074733039999998,8.91%,99.22911429405212,0.0341461660573259,0.0019599140554818033,0.006989538102061488,0.21837191097438335,0.035041111273080225
0.0045663889,1820,91136,-14.22678654,9.01%,100.17842817306519,0.03221992473118007,0.006376222180269041,0.007549676360213198,0.23853584192693233,0.03361251458522829
0.0042103372,1840,92160,-14.7952885,9.11%,101.31792378425598,0.03226068426738493,0.011155069649354279,0.007557318731414853,0.24762284103780985,0.03413192310546184
0.0047124778,1860,93184,-15.404733040000002,9.22%,102.42253112792969,0.03172331061796285,0.0048781773864508896,0.007325948990910547,0.24325857404619455,0.032943723255699
0.0036568124,1884,94208,-14.950613139999998,9.32%,103.70374608039856,0.03486441107816063,0.004513019076375505,0.010096506797708571,0.24332307558506727,0.03632536366556904
0.003420025,1904,95232,-14.2271966,9.42%,104.67445397377014,0.031055460072821006,0.002891720685414983,0.010605595598462969,0.2578792702406645,0.0324051917012088
0.0045612962,1924,96256,-14.4670071,9.52%,105.73805975914001,0.030473630089545622,0.008825228843337168,0.008243655214755563,0.26785804983228445,0.0321805184953549
0.0060292856,1944,97280,-16.10854432,9.63%,106.78304433822632,0.03158040961716324,0.004061668899571298,0.009936680602550041,0.27015324775129557,0.032980244567375375
