total timesteps,mean_int_reward,total_time,Progress,num_episodes,ep_rew_mean,total_loss,value_loss,policy_gradient_loss,entropy_loss,icm_loss
79872,0.0046599316,78.27989625930786,7.88%,1596,-15.13422352,0.0423167020125192,0.008621585657238029,-0.0013741213488454279,0.11511349398642778,0.04159195558167994
80896,0.0053217032,79.20983409881592,7.99%,1616,-15.40515982,0.0405598252381843,0.008090682407782879,0.0015530823615890915,0.12507485412061214,0.0395954487612471
81920,0.0043136878,80.22987532615662,8.09%,1636,-15.673681100000001,0.04115606885377644,0.00882043026649626,-0.006077839804885424,0.1320285340771079,0.040881809807615355
82944,0.0047990845,81.2297215461731,8.19%,1656,-15.501830760000002,0.04172500622961407,0.008358305243746145,0.004819762635513199,0.1424433272331953,0.040407199441688135
83968,0.0035017504,82.24988317489624,8.29%,1676,-15.078229500000003,0.04050237273801352,0.00782272268406814,0.0018580857682857874,0.1516598192974925,0.03953429189277813
84992,0.0045436645,83.24984645843506,8.4%,1696,-15.21089458,0.03647658533526357,0.008103603980998741,0.0019424276004958903,0.15982042718678713,0.035471982177114114
86016,0.004828065,84.21981549263,8.5%,1720,-15.432775440000002,0.03689503753221737,0.008143292241584277,0.0012217495814633031,0.16423774883151054,0.035958533349912614
87040,0.0038568222,85.23994064331055,8.6%,1740,-15.516355959999999,0.038235913745935136,0.008482236433337675,-0.00276785282498279,0.17037534341216087,0.03766447538509965
88064,0.0044732293,86.29998540878296,8.7%,1760,-15.608906099999999,0.038175086336670105,0.008640788571938174,0.0021036354130182116,0.189687242731452,0.03710064393817447
89088,0.0035362181,87.29978489875793,8.81%,1780,-15.35242876,0.03732432714512891,0.008610879798652604,0.0023496333650167827,0.2079858025535941,0.03622827582876198
90112,0.003712834,88.31964802742004,8.91%,1800,-14.853436640000002,0.036219946791950106,0.007406313114188379,0.0022484849285062188,0.21583586744964123,0.035254466987680644
91136,0.0033057577,89.3199372291565,9.01%,1820,-14.307595240000001,0.035328253505377036,0.0076237392640905455,0.004086796192316674,0.2224566861987114,0.03415719995973632
92160,0.0038579591,90.28981518745422,9.11%,1840,-14.49621202,0.03411112207287069,0.007865152865633718,0.0025020334270074406,0.24406570103019476,0.03307440344360657
93184,0.0041720721,91.33995652198792,9.22%,1860,-14.604471600000002,0.033200374799390704,0.008477743926050607,0.004253696388799357,0.2619274090975523,0.03192723076790571
94208,0.0035558357,92.32967567443848,9.32%,1884,-14.198463140000001,0.032932687721533516,0.010230814019450918,0.0033282097332813405,0.2650759546086192,0.031576785346260294
95232,0.0039062257,93.38979172706604,9.42%,1904,-14.345767200000001,0.031496611292735566,0.009398141042765928,-0.001879006519596914,0.2615698538720608,0.030744697840418667
