total_time,novelty,iteration,n_koeff,reward
126.51662635803223,0.5971433419526443,62,0.0,66.62041693177459
128.3861050605774,0.6196537074524449,63,0.0,71.13448476376824
130.46294927597046,0.5953886313331009,64,0.0,75.71247936734251
132.13843607902527,0.5996367606790991,65,0.0,80.45358001808522
133.78066849708557,0.523824105380889,66,0.0,85.56834644397631
135.6856439113617,0.55238353124335,67,0.0,90.56212359170424
138.01977801322937,0.6058413151798492,68,0.0,95.7502703192774
140.34040546417236,0.5483790130382341,69,0.0,100.8381370269575
142.45261096954346,0.44147868217166325,70,0.0,105.7177353130962
144.24143767356873,0.6171411466684682,71,0.0,110.75904179042975
145.97040176391602,0.5837689623868498,72,0.0,115.63785308107961
147.74629974365234,0.567185165923072,73,0.0,120.42531748869007
149.5581750869751,0.5389186910175359,74,0.0,125.11279382429964
151.53189539909363,0.4849852530343442,75,0.0,129.74321094268112
154.08698177337646,0.6215596313996172,76,0.0,134.21709498891786
156.55378580093384,0.5732069371325205,77,0.0,138.69042687647368
158.64100098609924,0.5682566735005949,78,0.0,143.16022877870884
160.39110469818115,0.5849042845159371,79,0.0,147.55219157484566
162.24205374717712,0.6390766155506369,80,0.0,151.78014955282706
164.05522274971008,0.5752136697317232,81,0.05,156.12452750463896
165.92224645614624,0.5685226090569344,82,0.05,160.22700490402227
168.0680627822876,0.5245024462476481,83,0.05,164.47183005654165
170.1551477909088,0.5469275967920342,84,0.05,168.56488894283254
172.27296805381775,0.5464407789578916,85,0.05,172.7356396784768
174.18549013137817,0.735622872252832,86,0.1,176.79468735954427
175.97349762916565,0.6144414949758439,87,0.1,181.00955031970798
177.7088282108307,0.6941960544574728,88,0.1,185.22991614549406
179.41486406326294,0.5926901704999195,89,0.1,189.38504190908174
181.04177331924438,0.626439313644994,90,0.1,193.53417161986118
182.76791524887085,0.5846239756048838,91,0.15000000000000002,197.6566384803643
185.01407432556152,0.5695632185854905,92,0.15000000000000002,201.62906399771597
187.18849420547485,0.5719588456946831,93,0.15000000000000002,205.67522467070685
189.34984731674194,0.6450894103295874,94,0.15000000000000002,209.74676608209506
191.02937960624695,0.6291585656727032,95,0.15000000000000002,213.677173805555
192.70542359352112,0.7701581623601086,96,0.2,217.4416235005392
194.36075091362,0.5240368053165513,97,0.2,221.1944106008086
195.98631381988525,0.6578373605625195,98,0.2,225.1052188811499
197.53014826774597,0.5903350525542728,99,0.2,228.79332264524018
199.26339673995972,0.5794698235049702,100,0.2,232.44645348320321
201.5569384098053,0.588166838391492,101,0.25,236.05834970671467
203.79385328292847,0.5974666055600932,102,0.25,239.1788343437702
205.94275546073914,0.5703572593277428,103,0.25,241.46074136606654
207.74104595184326,0.4584310831104008,104,0.25,243.83156001706516
209.48998498916626,0.5015313062838644,105,0.25,245.73115987786957
211.22963428497314,0.572142110341497,106,0.3,247.64448571208308
212.99416255950928,0.4550557032287387,107,0.3,249.05181087136458
214.80515456199646,0.6156865256146892,108,0.3,250.3249617492654
217.28741264343262,0.6326276224274259,109,0.3,251.44213799567947
219.67767119407654,0.5053285211556643,110,0.3,252.64616491005728
221.95877313613892,0.6197785845272863,111,0.35,253.99981586762954
223.76306796073914,0.4706468609301279,112,0.35,254.99660817634606
225.63787078857422,0.6678058166646019,113,0.35,256.0928785015019
227.35761761665344,0.6861399963299515,114,0.35,256.9763007360239
229.1289496421814,0.5630583948371838,115,0.35,257.65968780206515
230.94103741645813,0.5049827359348921,116,0.39999999999999997,258.0510096431013
233.40481615066528,0.4952823508115554,117,0.39999999999999997,258.63964844801177
235.78784346580505,0.3949032060034178,118,0.39999999999999997,259.0752438328616
238.19835996627808,0.7016713060035118,119,0.39999999999999997,259.46161569000384
239.97550249099731,0.5444800635555678,120,0.39999999999999997,259.7993684924832
241.79600620269775,0.5550644523098051,121,0.44999999999999996,260.18553591029695
243.53542041778564,0.6642444618528467,122,0.44999999999999996,260.4457446039932
245.28444695472717,0.5761685147135402,123,0.44999999999999996,260.87421025362
247.1256034374237,0.631244935309595,124,0.44999999999999996,261.3212861023069
249.51212620735168,0.5600784570536037,125,0.44999999999999996,261.6913855862016
251.8213722705841,0.4741782760239149,126,0.49999999999999994,262.0859931103653
254.0060362815857,0.660524800553443,127,0.49999999999999994,262.4352454309698
255.8397352695465,0.5275110531544466,128,0.49999999999999994,262.66558796141607
257.74212670326233,0.5758252010424011,129,0.49999999999999994,263.1205284065909
259.5753655433655,0.5963986313371001,130,0.49999999999999994,263.50364671104575
261.4193227291107,0.6736479873119292,131,0.5499999999999999,263.8973396499517
263.4290020465851,0.5207580345147285,132,0.5499999999999999,264.35453362715396
265.8884904384613,0.6188191441121007,133,0.5499999999999999,264.6306146956011
268.3002688884735,0.5977353440060525,134,0.5499999999999999,265.05810939924197
270.4922239780426,0.5600347164673176,135,0.5499999999999999,265.50534115853793
272.3188741207123,0.5831464439862206,136,0.6,265.8360335095769
274.20798993110657,0.6502308349524482,137,0.6,266.1913165204428
276.03084325790405,0.5501051387094784,138,0.6,266.36857756146264
277.74450755119324,0.44640910414958845,139,0.6,266.62467605116876
279.6986839771271,0.5747180883650673,140,0.6,266.879808910246
282.1099932193756,0.5965341631531271,141,0.65,267.18967394386027
284.79106187820435,0.6031910300630592,142,0.65,267.55017358019694
286.77841687202454,0.5746578370615069,143,0.65,267.9762503181595
288.58289217948914,0.5628399874995988,144,0.65,268.24887593065597
290.3737840652466,0.6344254652361763,145,0.65,268.5914318936772
292.17829418182373,0.6177868570166227,146,0.7000000000000001,269.0998688154601
293.98267579078674,0.6104619228710426,147,0.7000000000000001,269.49285299106293
296.23406767845154,0.6017269930718406,148,0.7000000000000001,269.67416471622016
299.25451731681824,0.5881128782017866,149,0.7000000000000001,269.9864840387433
301.5289022922516,0.6035935896188747,150,0.7000000000000001,270.26830699163867
303.4690020084381,0.474122915003382,151,0.7500000000000001,270.47180377912645
305.2967939376831,0.5676190991291619,152,0.7500000000000001,270.81696882411256
307.0843815803528,0.6417382963977829,153,0.7500000000000001,271.3298461966591
308.775429725647,0.6498792573161941,154,0.7500000000000001,271.81115367170673
310.3919484615326,0.6287999687211077,155,0.7500000000000001,272.22617031816395
312.472208738327,0.4991204009763627,156,0.8000000000000002,272.4402983231905
314.51081109046936,0.5675560903711938,157,0.8000000000000002,272.69737898839315
316.5601005554199,0.7651641509457413,158,0.8000000000000002,272.9123441437376
318.41553688049316,0.7125234153559992,159,0.8000000000000002,273.3116058334849
320.1210343837738,0.5636103510300001,160,0.8000000000000002,273.3116756487693
321.774138212204,0.5725684717377748,161,0.8500000000000002,273.6475911774635
323.4187641143799,0.7085886981872356,162,0.8500000000000002,273.764012172744
325.0966866016388,0.566550266594215,163,0.8500000000000002,273.9511511876284
326.86987924575806,0.5386679162084926,164,0.8500000000000002,274.1037308263764
329.19788098335266,0.5900142049551489,165,0.8500000000000002,274.26279942288704
331.51327776908875,0.639646467383451,166,0.9000000000000002,274.3629311882611
333.7676317691803,0.4852216828685946,167,0.9000000000000002,274.65348415500836
335.4493510723114,0.4206108976158708,168,0.9000000000000002,274.8414646779094
337.18045592308044,0.5743444618273928,169,0.9000000000000002,275.09993573449077
338.9653642177582,0.6386301694657195,170,0.9000000000000002,275.38195235941794
340.69753432273865,0.5671286440906615,171,0.9500000000000003,275.67190944274734
342.44836592674255,0.6178710091089252,172,0.9500000000000003,276.1667482478828
344.77277135849,0.4902790490377664,173,0.9500000000000003,276.30683172451927
347.0981938838959,0.7105227347536911,174,0.9500000000000003,276.42255701599635
349.36403727531433,0.5966812804238806,175,0.9500000000000003,276.49340343369363
351.1069962978363,0.5170276146788565,176,1.0000000000000002,276.59038981580363
352.87999200820923,0.6165206374698977,177,1.0000000000000002,276.7907232427719
354.6020350456238,0.7518681639834144,178,1.0000000000000002,276.95772291760915
356.3167533874512,0.6768766027276257,179,1.0000000000000002,276.95253470265146
358.019761800766,0.6188178983462729,180,1.0000000000000002,277.3752472784922
360.1505229473114,0.6596988763404001,181,1.0500000000000003,277.67463844663206
362.55986189842224,0.5547105399406791,182,1.0500000000000003,277.916322643385
365.01463747024536,0.41835653502780346,183,1.0500000000000003,278.1036590562977
366.92443585395813,0.5592856430398621,184,1.0500000000000003,278.2813616304309
368.62805700302124,0.5254427476284196,185,1.0500000000000003,278.20337486451774
