total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,intrinsic_loss,entropy_loss,policy_gradient_loss,value_loss,total_loss
49152,7.164138e-14,980,-48.005032,58.070337772369385,0.0007384200825981679,-0.6223908485844731,0.0033654595945402897,0.08270527137210593,0.0864399410079453
50176,7.2873334e-14,1000,-44.993185780000005,59.275039196014404,0.0005172790351934964,-0.602985723875463,-2.301053005830081e-05,0.07437164447037503,0.07460727345791347
51200,8.603059e-14,1024,-43.82597452,60.66102075576782,0.0004693691375905473,-0.5865301517769694,-0.0020624382824703945,0.07802886702120304,0.0762011133075279
52224,8.854617e-14,1044,-43.94672553999999,61.89716649055481,0.0005736955349675554,-0.5778824472799897,0.006480836038387762,0.10221300669945776,0.10898069050532931
53248,6.910399e-14,1064,-43.82077838000001,63.17239451408386,0.000586011175528256,-0.567893204279244,-0.0018222239737453471,0.07073569943895563,0.0692064810529744
54272,7.00015e-14,1084,-44.82777232,64.42885780334473,0.0006021633776072122,-0.5631558923050761,0.0019993349184151714,0.07402398317935877,0.07632439978657754
55296,6.183446e-14,1104,-46.19902697999999,65.68611454963684,0.0007170006006163021,-0.5425321664661169,-0.0008856264425831616,0.07441346533596516,0.07388633919369014
56320,9.2589036e-14,1124,-43.05295487999999,66.89858531951904,0.0005652282338814985,-0.5246968092396855,-0.003865418706023846,0.06102664186619222,0.057443837277109125
57344,6.89719e-14,1144,-42.209901679999994,68.10960960388184,0.0004519073613664659,-0.52071070112288,-0.0043269407997837146,0.06299220724031329,0.05889122012121281
58368,8.661134e-14,1164,-39.7557853,69.40247797966003,0.00042225875540680136,-0.5138688068836927,0.0006471027078082826,0.057799512753263116,0.0586577448387748
59392,8.880633e-14,1184,-38.812126340000006,70.59981799125671,0.0003721615330505301,-0.4979220852255821,0.002001522660451296,0.054029750579502434,0.05621735400647899
60416,6.802851e-14,1208,-37.290221419999995,71.89844250679016,0.0003944286913792894,-0.48048365162685513,-0.003843051143113161,0.04789803791209124,0.044252201114667725
61440,8.235887e-14,1228,-36.06201972,73.13138175010681,0.00035104823427900556,-0.4675492234528065,-0.0044750223571172355,0.06641850768937729,0.06211900944939956
62464,6.6087984e-14,1248,-36.35303456,74.47615194320679,0.0004038553547616175,-0.4676306340843439,0.0009029035896081054,0.056351400970015675,0.05745623223700459
63488,6.342921e-14,1268,-35.635164759999995,75.6712052822113,0.0003068235441787692,-0.45691763097420335,-0.0006279979832338337,0.03960684202320408,0.03913225581205963
64512,1.07003246e-13,1288,-33.739091800000004,76.8283998966217,0.0002853099526873848,-0.44241398852318525,-0.0025305456277049856,0.048254147433908656,0.04586625678254737
65536,8.463015e-14,1308,-32.73635478,78.18520879745483,0.00028905590204431064,-0.43305439222604036,-0.002062045566751043,0.03983222277020104,0.03791470515447215
66560,7.3014863e-14,1328,-32.85525644,79.36929821968079,0.00025943365835701115,-0.42630067281425,-0.0007858928162623048,0.034422495766193606,0.03376631977910981
67584,7.263872e-14,1348,-32.48912324,80.5845034122467,0.00022896797690918902,-0.4271174557507038,-0.0003174292283993983,0.045024022489087656,0.04482107724914285
68608,1.0174633e-13,1372,-33.0320078,81.8608558177948,0.00019322917273711937,-0.4166867411695421,-0.0024936178772487164,0.041502787586068735,0.03910578429518858
69632,8.610799e-14,1392,-32.40417758,83.15651392936707,0.0002902949124745646,-0.40081553207710385,0.00026669926283877203,0.04013094738184009,0.040542794100916144
70656,8.504082e-14,1412,-32.99937972,84.4207649230957,0.0002147314020248814,-0.38744563749060035,-0.0013043735934473676,0.03710017375124153,0.0359031658588066
71680,7.189083e-14,1432,-31.5095227,85.73446154594421,0.0002237733631318406,-0.3794240993447602,0.0008618095772234076,0.04219650314189494,0.04317019940068427
72704,6.335183e-14,1452,-30.94754724,86.96525740623474,0.0001940740814916353,-0.3713049194775522,-0.0034633760637961587,0.037585468860925175,0.03421912983787483
73728,7.789936e-14,1472,-30.851341180000006,88.17441320419312,0.00027251379856352287,-0.3700315458700061,0.002023293449140052,0.03447770464117639,0.0366372549895982
74752,6.629304e-14,1492,-31.102814119999998,89.42202734947205,0.00020631656468594883,-0.36604287568479776,-0.001821216019004719,0.04388579732039943,0.042167739583737686
75776,9.733694e-14,1512,-30.288244240000004,90.65494537353516,0.0002502830352568708,-0.35614931723102927,0.0006188289310760536,0.0371461409231415,0.03789011137184599
76800,8.066059e-14,1536,-30.263374719999998,91.85362100601196,0.00032496997164344066,-0.34685741038993,0.0005182416130271183,0.04281059937784448,0.04349132597669332
77824,8.55018e-14,1556,-29.2943084,93.08512210845947,0.000363916060905467,-0.3333754548802972,0.004736612146481603,0.04453786101657897,0.04945643119351331
78848,7.04723e-14,1576,-27.492873380000002,94.32060289382935,0.00020611319268937223,-0.3167714085429907,-0.0012953548218386486,0.02713042072718963,0.025938122501695672
79872,8.060726e-14,1596,-26.977531600000002,95.48813533782959,0.0002463765290485753,-0.31132077518850565,0.0028602566840945625,0.02810952854633797,0.03109297349495682
80896,6.936064e-14,1616,-27.956802719999995,96.77248477935791,0.00018712664575559756,-0.297583756968379,-0.0035893962769813995,0.02353478480654303,0.02003895185243943
