ep_rew_mean,mean_int_reward,total timesteps,num_episodes,total_time,total_loss,entropy_loss,value_loss,policy_gradient_loss,intrinsic_loss
-22.74894452,3.0977255e-13,167936,3356,205.13680768013,0.027861764056969617,0.13542627170681953,0.033598449095734395,-0.005748171734249342,2.297339096912765e-05
-22.336993820000004,6.667933e-13,168960,3376,206.52146983146667,0.029654039645210427,0.132653190754354,0.03668040380580351,-0.007039299420489179,2.587051979219268e-05
-21.888581979999998,5.500768e-13,169984,3396,207.7556173801422,0.03192527829950213,0.13637983705848455,0.034343783161602914,-0.002436633991303074,3.625825840458674e-05
-21.712675100000002,5.5637797e-13,171008,3420,208.90828347206116,0.03270487827689825,0.1468879422172904,0.03554567245009821,-0.002853000528848882,2.4412711297827627e-05
-21.40457684,3.5380843e-13,172032,3440,209.95074224472046,0.03256512633724918,0.1549671534448862,0.04144447077123914,-0.008905496112409199,5.2303356838478976e-05
-21.695188560000002,6.4304047e-13,173056,3460,211.2741777896881,0.03363026898962598,0.1613104995340109,0.035764625848969445,-0.002159535098030324,5.0356477373725284e-05
-22.443447300000003,9.566545e-13,174080,3480,212.51438212394714,0.031026037450337267,0.1647179313004017,0.032366089573770296,-0.0013562517314951233,3.239921612419039e-05
-22.3754162,4.8243473e-13,175104,3500,213.66455745697021,0.036136223137033935,0.1740641137585044,0.03513460916292388,0.0009905590281096516,2.2109892000798936e-05
-21.60641742,7.2096354e-13,176128,3520,214.9795777797699,0.03247224194007674,0.1806391654536128,0.034794180101016536,-0.0023450309982781655,4.618567467673529e-05
-21.959565179999995,7.5481375e-13,177152,3540,216.44642043113708,0.032031681943877954,0.1816777428612113,0.03514852550870273,-0.003142175420961071,5.06637122725806e-05
-20.699662,6.465669e-13,178176,3560,217.85787439346313,0.03640509701705355,0.17817049380391836,0.033407478433218785,0.002975536660018179,4.4163847633171827e-05
-20.28427052,4.1796774e-13,179200,3584,219.09164237976074,0.027679768391884928,0.17627969197928905,0.030783471549511887,-0.003127708020542162,4.80097258304113e-05
-20.5530293,3.1894783e-13,180224,3604,220.49547004699707,0.026354252033215793,0.18150502629578114,0.03355179762002081,-0.0072062797981325335,1.746842265504256e-05
-20.14891962,4.9286676e-13,181248,3624,221.81850409507751,0.03591410739199971,0.18782994337379932,0.02896511736616958,0.006932350514393863,3.327902287253437e-05
-20.15868758,5.2792395e-13,182272,3644,222.9532630443573,0.022779846693764275,0.19751199148595333,0.028270131115277763,-0.005519400975701624,5.823310837627105e-05
-19.400915219999998,2.1778567e-13,183296,3664,224.23217940330505,0.02204004267000592,0.20136809535324574,0.03001466229761718,-0.008012264236960996,7.528921869948135e-05
-19.61242226,8.538089e-13,184320,3684,225.333988904953,0.021705597335426655,0.20491620060056448,0.02618119170074351,-0.004490010764413573,2.8832798193434428e-05
-19.87673638,3.257152e-13,185344,3704,226.39760947227478,0.03450276425133547,0.21282751858234406,0.03239552612649277,0.002080199751638315,5.407674640878213e-05
-19.918319659999998,3.521287e-13,186368,3724,227.53525066375732,0.03811809113789663,0.22139040008187294,0.030929057727917098,0.007171129814168315,3.580719162243895e-05
-18.6099388,5.593079e-13,187392,3744,228.58658385276794,0.023192680256372805,0.2269689477980137,0.025089162911172025,-0.0019106438428116686,2.832237602490295e-05
-18.04182862,5.5775355e-13,188416,3768,229.85710382461548,0.030521256946209396,0.2370189232751727,0.03239805976045318,-0.0018832907890056671,1.2975949523763575e-05
-18.482004539999995,6.223573e-13,189440,3788,231.30342745780945,0.028573528031175056,0.24266732297837734,0.028610199311515316,-4.8845787616343724e-05,2.4349014552171866e-05
-18.04719542,3.2433575e-13,190464,3808,233.03213095664978,0.02431642369411329,0.24075972568243742,0.032135814923094586,-0.007861833357854018,8.488425774544339e-05
-17.705198879999998,2.873805e-13,191488,3828,234.5127191543579,0.028525559721642862,0.2496398724615574,0.022139507796964608,0.006375513187037463,2.1077475281572333e-05
-17.84116958,6.8845824e-13,192512,3848,235.8541293144226,0.017135645460835503,0.2658811341971159,0.022727849725924898,-0.005601337231770986,1.826593336318183e-05
-17.92767724,1.8811921e-13,193536,3868,237.19220685958862,0.016542417643549773,0.27166413702070713,0.02512913530517835,-0.008599729479090297,2.6023634923433292e-05
-17.62791198,5.2478464e-13,194560,3888,238.44232082366943,0.028242214242133183,0.27902885247021914,0.022999994056590367,0.005225872553302917,3.2695264479798425e-05
-17.687233940000002,3.3965056e-13,195584,3908,239.54133772850037,0.02165072914236018,0.2855115057900548,0.02377488958882168,-0.0021488797113329663,4.943852974292895e-05
-18.2967717,3.9250973e-13,196608,3932,240.68834519386292,0.02351492838188443,0.29167562909424305,0.025887458337820135,-0.0024129473357786535,8.083475968589937e-05
-18.04728346,4.1047474e-13,197632,3952,241.70705938339233,0.022566659190239133,0.30292557179927826,0.025157339980069082,-0.0026054036737126595,2.9445767765423625e-05
-17.571774979999997,2.9430766e-13,198656,3972,242.85491228103638,0.018424661824176514,0.3029951797798276,0.025596223189495504,-0.007181432289031177,1.9741847424370462e-05
-17.447859960000002,5.0147294e-13,199680,3992,244.0292730331421,0.02202588529037089,0.30173045117408037,0.02073611230298411,0.0012757724975100172,2.8000979753528554e-05
-17.47695482,1.8856412e-13,200704,4012,245.16412997245789,0.019780811302099334,0.3015881599858403,0.02311921124055516,-0.0033918508262179205,0.000106901775524193
-17.481172120000004,4.160603e-13,201728,4032,246.41138982772827,0.017024151297400602,0.3070816248655319,0.020767570502357557,-0.0038065624045681592,0.00012628639922240836
-17.4701954,4.339325e-13,202752,4052,247.79828262329102,0.02704059560447329,0.31561804469674826,0.03127470017352607,-0.004306566188520169,0.00014492323893477987
-17.96325134,2.6320157e-13,203776,4072,249.26234412193298,0.026268643272453367,0.3242043023929,0.0232036798261106,0.0030460099291514846,3.790703438255605e-05
-17.03814048,6.0729487e-13,204800,4096,250.7225842475891,0.022146196441034986,0.32957538217306137,0.025166305364109576,-0.003031244646998006,2.2271447846833325e-05
-17.79785578,6.8790844e-13,205824,4116,252.0978729724884,0.03305995897640953,0.33048187382519245,0.03047449437144678,0.002575620309354734,1.9688591216038276e-05
