num_episodes,mean_int_reward,total_time,Progress,total timesteps,ep_rew_mean,entropy_loss,icm_loss,policy_gradient_loss,value_loss,total_loss
260,0.0084718026,534.6041641235352,25.4%,262144,84.96583722,-0.9670488223899156,0.3456265151617117,-0.0007047631174881159,0.01669772803070373,0.36161948007492734
268,0.0077498555,552.6347148418427,26.21%,270336,89.29451046000003,-0.9506289718672634,0.33134736106731,-0.00016130538926175514,0.014648166643928562,0.3458342223219768
276,0.0090139315,569.7346339225769,27.03%,278528,93.76610709999999,-0.9289368723519147,0.3198344622855075,-0.0006485335798140571,0.014258661765916258,0.3334445904716097
284,0.007019341,586.9421899318695,27.85%,286720,97.50897477999999,-0.9150640008505434,0.30589992164168506,0.0009536807958458916,0.031856279310250105,0.33870988174778105
292,0.0066890727,603.9718561172485,28.67%,294912,99.38513912,-0.8917168548330665,0.3052090504555963,-0.00046074222819334246,0.01926852857072845,0.3240168367981314
300,0.0069342367,621.7363798618317,29.49%,303104,101.31931745999998,-0.8692403794731944,0.284414813760668,0.0009688406993178311,0.01826503885508828,0.3036486933150741
308,0.0064157829,639.4624168872833,30.31%,311296,103.20904657999999,-0.8318262561224401,0.26896485246252266,-0.000696263898976295,0.013082917732072019,0.2813515062956184
316,0.0066435654,656.7569463253021,31.13%,319488,103.69297478,-0.8175890503916889,0.245749974809587,-0.0007566297943022982,0.016734008138564606,0.2617273531538493
324,0.0063279644,674.5663819313049,31.95%,327680,104.56571327999998,-0.8058920165989548,0.24774320779833942,0.0001878392312389604,0.03369793583060528,0.2816289828601836
332,0.0066359655,692.8094885349274,32.77%,335872,106.33128928000001,-0.798974350374192,0.2429784416104667,0.0017950243385348441,0.02304032688634834,0.26781379283534984
344,0.0061612082,709.8006770610809,33.59%,344064,108.65626013999997,-0.7784299213439226,0.23936329362913966,0.00033602895046038145,0.01793831099853378,0.25763763357813385
352,0.0061599614,727.6757357120514,34.41%,352256,111.29198040000001,-0.7471807811874897,0.2237955807009712,0.0008199843087339046,0.028184904115278187,0.2528004691249833
360,0.0067054194,745.9063122272491,35.23%,360448,112.75464218,-0.7121026998851449,0.20908259879797697,0.0003849772277798004,0.013502413369042187,0.22296998939479895
368,0.0062706159,763.8167095184326,36.04%,368640,115.07349146,-0.6879051175899804,0.1948064075084403,0.0012018532533187814,0.02242305671320537,0.2184313174749645
376,0.0055841764,780.9190375804901,36.86%,376832,116.80447848,-0.6628212411887944,0.1922439553483855,-0.00015973706792727046,0.016899785372197586,0.2089840036526558
384,0.0056067249,798.4433767795563,37.68%,385024,117.9549143,-0.6332957522943616,0.1812544269254431,-0.0005791552117070202,0.012776068532821228,0.1934513402465573
392,0.0061326765,816.5018699169159,38.5%,393216,119.29893068000001,-0.6015323370695114,0.1669232457410544,0.00029273487288822373,0.01352333874319811,0.18073931935714077
400,0.0064467134,834.0184240341187,39.32%,401408,119.71366442,-0.5840910133440047,0.1552239512791857,0.0005045727854639233,0.012914354912186354,0.168642878976836
408,0.0057138516,851.320467710495,40.14%,409600,120.41470922,-0.5769254010170698,0.1506057195540052,0.0019271469783976292,0.017694909237934552,0.17022777577033738
416,0.0050600429,868.345244884491,40.96%,417792,119.87805301999998,-0.5651446570642292,0.15258638025261462,0.0008397122787334454,0.02094380598045973,0.17436989851180779
424,0.0055503666,885.3007521629333,41.78%,425984,119.17815478000003,-0.5399478716310113,0.14745594974374399,0.0009037443586777025,0.015450408010519823,0.1638101021129415
432,0.0047637538,902.8417296409607,42.6%,434176,118.46682994000001,-0.515073249489069,0.1380784204695374,0.0018735683377068472,0.019426556176358644,0.15937854498360288
440,0.0045640335,920.5503568649292,43.42%,442368,117.7549324,-0.5033252182416618,0.13460537778446452,0.0008150826979654678,0.020699648172217165,0.15612010865464715
448,0.004938276,937.3229825496674,44.24%,450560,116.39904042,-0.481862807366997,0.12993384277215228,0.0009177016962353422,0.0174938023100367,0.14834534677842431
456,0.0042012927,954.0560011863708,45.06%,458752,115.35848745999999,-0.45994088088627905,0.12421513881417923,0.0011752927514830983,0.017323663406750713,0.14271409497241302
464,0.0040300024,971.3570809364319,45.88%,466944,115.15805652,-0.44269138721283524,0.12026892742142081,0.0017030505378123517,0.016720897116078957,0.1386928750753121
472,0.0040010443,988.9373803138733,46.69%,475136,114.34651609999999,-0.4218157278606668,0.1186160878452938,0.0013232630660605345,0.015301037652852756,0.13524038856420711
480,0.0043253086,1006.1149332523346,47.51%,483328,114.59636196,-0.4047335139708593,0.11025030017481185,0.0016474692748521369,0.020327194621904708,0.1322249640715687
488,0.0046208839,1023.4651713371277,48.33%,491520,114.91565068,-0.3901483855210245,0.10674657674389891,0.0012941381603708741,0.01386641241306279,0.12190712731733258
496,0.0036644721,1040.3391444683075,49.15%,499712,116.23284500000001,-0.3633320796769112,0.10309256671462208,0.0001935012183269909,0.014206264634253785,0.11749233256720286
504,0.0035278834,1057.8626010417938,49.97%,507904,116.1058385,-0.32893722315784546,0.09638845442677849,0.00047491807168671023,0.013638131232619343,0.11050150373108454
516,0.0053472649,1075.3705365657806,50.79%,516096,118.81813157999999,-0.30854582055471835,0.08954680818715133,0.0028593217490350043,0.017072060493296702,0.10947819042948304
524,0.0050051973,1093.3125598430634,51.61%,524288,120.49192636000002,-0.29392628679051996,0.0887695393699687,0.0009810578491951025,0.022723754845674193,0.112474352064838
532,0.0037819776,1110.5766167640686,52.43%,532480,121.6669945,-0.277724382141605,0.0846767311624717,0.002550594331007479,0.0257926782861432,0.11302000377962237
540,0.0038885029,1127.523279428482,53.25%,540672,123.24682435999999,-0.2619534966070205,0.08142682768811937,0.001437938134668776,0.014387664784021582,0.09725243060680973
548,0.0040708505,1144.651110649109,54.07%,548864,125.22291506000002,-0.24330329513177276,0.07792865452356637,0.0015432602190991354,0.016114534929533873,0.09558644967219938
556,0.0030992421,1162.2851424217224,54.89%,557056,125.03607128000002,-0.2303293004631996,0.0772552574868314,0.002028457156852338,0.019195546562650635,0.09847926120633436
564,0.0028035096,1179.6951446533203,55.71%,565248,122.58202034,-0.21581041133031248,0.074658985142014,0.001848895144197576,0.01820793211875298,0.09471581240496454
572,0.0026600381,1197.4850089550018,56.52%,573440,120.96310314,-0.18101744777522982,0.07294578849396202,0.0002779627916479785,0.014064654748199245,0.08728840603380925
580,0.002876054,1215.86292719841,57.34%,581632,118.82871402,-0.15501584676094354,0.06626735350000672,0.0026169232088457868,0.014959890273223664,0.08384416698207617
588,0.0025591551,1233.3765437602997,58.16%,589824,117.17249403999999,-0.13059289338998498,0.06445522448339033,0.002230494295222968,0.02195436399913433,0.08864008277774763
596,0.002541682,1251.0496933460236,58.98%,598016,114.85264264,-0.12147412565536797,0.061155882163438945,0.0021381720891981626,0.0150654419106786,0.0783594961633157
604,0.0026379339,1268.5976486206055,59.8%,606208,114.21952187999999,-0.11590507659129798,0.06276039341464638,0.002485983298470483,0.014086978233694935,0.07933335494681179
612,0.0024531589,1286.9349811077118,60.62%,614400,115.20068719999999,-0.10300297155044973,0.05899286028579809,0.0009820904922523467,0.017575181311258348,0.07755013208930879
620,0.0300158548,1303.5586094856262,61.44%,622592,106.88328918,-0.09269886706024408,0.05957983876287472,0.0023715110775752125,0.015192518125729748,0.07714386796617968
628,0.0477802657,1320.485827922821,62.26%,630784,97.80101253999999,-0.0788735941518098,0.07195642807928379,0.013998724489808417,0.5523185659665615,0.6382737185356536
636,0.0055947218,1338.500120639801,63.08%,638976,87.01641486,-0.07456268044188619,0.07224290696904064,0.009932932373730493,0.5604342883103527,0.6426101276531238
644,0.0027142693,1355.7269837856293,63.9%,647168,74.58593493999999,-0.07665645610541105,0.06369126736244653,0.0030831302657047645,0.14713595013017766,0.21391034775832893
652,0.0046792037,1373.1257982254028,64.72%,655360,64.99247434,-0.0760095490142703,0.05691892058821395,0.0023453386594236452,0.10147573482390726,0.16073999407154488
660,0.0061546452,1390.5054185390472,65.54%,663552,54.96746998,-0.05729202232323587,0.055786125996382906,0.0022933437810345116,0.06641459021775517,0.1244940599951726
668,0.0071685596,1408.4092473983765,66.36%,671744,54.70115374000001,-0.037388708395883444,0.05331023153557908,0.0022857889379928474,0.04990569047658937,0.1055017109501613
676,0.0058418911,1425.6153416633606,67.17%,679936,62.9073566,-0.03557732733897865,0.054602731007616964,0.003568719524323437,0.06155297320001409,0.1197244237319545
688,0.0046393179,1443.1172649860382,67.99%,688128,66.13827934,-0.03566971425898373,0.05294437335978728,0.0015645742498711945,0.030127016034020924,0.0846359636436794
696,0.0041122495,1460.9858260154724,68.81%,696320,70.05343666,-0.024480522517114876,0.05356271542259492,0.002820040420664506,0.05023419008794008,0.1066169459311995
704,0.0053667534,1478.4745030403137,69.63%,704512,75.8859736,0.007733139954507351,0.052249459474114704,0.00027987693704101924,0.031941656129492915,0.08447099254064863
712,0.0044439198,1496.2162005901337,70.45%,712704,77.55649528,0.021099459379911423,0.048466852198180276,0.0013304793448968178,0.03401551234856015,0.08381284389163725
720,0.0041945986,1514.6089589595795,71.27%,720896,74.5093842,0.03242020546458661,0.04930709748732624,0.002020921872088823,0.03589853749617759,0.08722655685559266
728,0.0039843777,1534.162630558014,72.09%,729088,75.73939046,0.03378204251639545,0.047870379478263204,0.0021513776971390794,0.04130462816501677,0.09132638534041905
736,0.0033497852,1552.1235897541046,72.91%,737280,77.33442556,0.048284871689975264,0.048827818006975575,0.0016789489269522409,0.03567544117868238,0.0861822081126102
744,0.0013600491,1569.327648639679,73.73%,745472,77.60266809999999,0.07055608467198908,0.046974680735729635,0.000997997174649739,0.030017195793152495,0.07798987370353187
752,0.0010182781,1586.5353808403015,74.55%,753664,74.17131124000001,0.07894028737209738,0.04378086029028054,0.0001562323176772966,0.024388639434073413,0.06832573204203125
760,0.002801783,1602.892287492752,75.37%,761856,69.83999534,0.07491496428847313,0.04306533099879743,0.0005346472622522953,0.015203496192975762,0.05880347445402549
768,0.0009148472,1621.912358045578,76.19%,770048,65.9881828,0.07822310007177294,0.04451050798088545,0.00010831881898214473,0.012760561477966803,0.0573793882778344
776,0.0017497122,1639.1497452259064,77.0%,778240,58.872379620000004,0.08137267041020095,0.04357845237682341,0.0013778356096653982,0.009831592315288162,0.05478788030177697
784,0.0008244785,1655.6539905071259,77.82%,786432,51.64214082,0.08502371581271291,0.04347242733056191,-0.0002280070741951132,0.012999760893910662,0.05624418115027746
792,0.0003484457,1674.0784122943878,78.64%,794624,51.01156256,0.08297892096452415,0.04264956807892304,-0.0012707116330695875,0.010063499270495413,0.051442355716348864
800,0.000308243,1690.71177983284,79.46%,802816,47.6442673,0.08412898257374764,0.043175357050495224,-0.0008313613677174821,0.009482253450198642,0.05182624913297638
808,0.0010288353,1707.5066647529602,80.28%,811008,45.5689261,0.0859630444087088,0.04273050061019603,-0.0010711061502857646,0.008685770354055933,0.050345164813966205
816,0.0005810927,1723.231620311737,81.1%,819200,45.60094566000001,0.10346816391684115,0.043357845937134695,9.711442698606625e-05,0.009076706613717534,0.0525316669778383
824,0.0003560222,1740.6460547447205,81.92%,827392,46.29998504000001,0.12365310708992183,0.040745313024672214,0.001395413007673959,0.009327168673418384,0.05146789470576456
832,0.0003800177,1757.5461349487305,82.74%,835584,46.50650526,0.13703544097952544,0.04054541724472074,0.0010362896376078954,0.009422294878440596,0.05100400176076923
840,0.0003890537,1775.0674891471863,83.56%,843776,46.608332360000006,0.15168537539429963,0.038833929829706904,0.0008626483229337755,0.00960228760983739,0.049298865762478064
848,0.000345025,1793.0494437217712,84.38%,851968,46.774862379999995,0.1610546562820673,0.03781317292741733,0.0009805121211135383,0.009492462612992369,0.04828614766152324
860,0.0004282428,1810.590075969696,85.2%,860160,47.405808,0.16647049100138248,0.03727031450544018,-0.0002320180139119635,0.009734301335853957,0.046772597827382176
868,0.0003131338,1828.343650341034,86.02%,868352,47.384536120000014,0.16845330954529344,0.03600882971077226,0.0017135639036324588,0.01446846955922183,0.05219086317362655
876,0.0003642572,1845.8573231697083,86.84%,876544,47.44439916000001,0.16693531358614563,0.03721664613112807,0.0004508689704904222,0.009606830138525878,0.04727434524014438
884,0.0007225918,1863.2258443832397,87.65%,884736,47.50454173999999,0.18390876529738306,0.03710022700834088,0.0008634252245291235,0.009429809051088967,0.04739346128395897
