Progress,mean_int_reward,total timesteps,total_time,ep_rew_mean,num_episodes,value_loss,icm_loss,entropy_loss,policy_gradient_loss,total_loss
36.04%,0.0053572966,368640,709.6673498153687,78.91939153999999,368,0.025489909098996576,0.2119861159240827,-0.7189125786535442,0.00017394909581412165,0.2376499741188934
36.86%,0.0052129941,376832,725.5115296840668,79.98314342,376,0.022471041847529703,0.20071059515466913,-0.6939241675660014,-0.0002629690622972353,0.22291866793990162
37.68%,0.0049995001,385024,741.6740491390228,81.66692038000001,384,0.027006852205977337,0.19238070113933645,-0.6775943615473807,0.0008264226665269468,0.22021397601184073
38.5%,0.0052216479,393216,757.7409846782684,83.63439644,392,0.0189462252429621,0.18726188350701706,-0.6574254063889384,0.0005254005497155187,0.2067335092996947
39.32%,0.0050075766,401408,773.5672552585602,84.99712740000001,400,0.023098751209818146,0.18229957429575733,-0.6290532348677516,0.0008028459192911324,0.20620117142486666
40.14%,0.0053739099,409600,789.6833000183105,86.5802611,408,0.021448261923251267,0.17130348096252418,-0.6055866381153464,0.001355911508812868,0.19410765439458832
40.96%,0.0051584993,417792,806.0722453594208,87.31720452000002,416,0.025928863988065133,0.16770326532423496,-0.5729605633765459,0.0006040751985746653,0.19423620451087475
41.78%,0.005456316,425984,822.4290976524353,89.01204025999999,424,0.023143101522236975,0.15653852568939328,-0.5435230796225369,0.0011901143103358503,0.1808717415219661
42.6%,0.0066362253,434176,838.9220178127289,90.26951064000001,432,0.02036039457411789,0.14963494173134678,-0.5126318180933594,0.0008785546625353924,0.17087389096800004
43.42%,0.0061057084,442368,855.6837086677551,92.20597398,440,0.02070711084766117,0.14120770705048927,-0.481341151567176,0.0013526132838902513,0.16326743118204068
44.24%,0.0055677248,450560,871.9105060100555,93.50051179999998,448,0.021625518389964783,0.13013350598630496,-0.4568061388796195,0.0008450527826371233,0.15260407715890686
45.06%,0.0052516213,458752,888.3633396625519,94.33739027999998,456,0.026269197167675885,0.12542549190111457,-0.4460652997018769,0.0017683887019987736,0.15346307777078924
45.88%,0.0050541787,466944,904.7325305938721,96.2175069,464,0.022892752896723323,0.12564991037943402,-0.44282277463935316,0.0022857335712368914,0.1508283968473942
46.69%,0.0045683226,475136,921.0315103530884,97.17537080000002,472,0.02307621678337455,0.12490883764694445,-0.4389073404017836,0.00237148001656253,0.15035653444688152
47.51%,0.0048188883,483328,937.4005694389343,98.04294316,480,0.022664466475589506,0.12022689341101796,-0.44313515024259686,0.0015129353526904398,0.1444042952392979
48.33%,0.004629671,491520,953.6564152240753,97.67017785999998,488,0.022495393357075955,0.12460006973124109,-0.4462561378488317,0.0018111961065242598,0.1489066591948413
49.15%,0.004324125,499712,970.2265150547028,98.30663036,496,0.02060866292595165,0.1231032207608223,-0.42448596593458204,0.0010274982236128554,0.1447393819103868
49.97%,0.0043167062,507904,986.2588465213776,98.38547484,504,0.020615589150270352,0.11668648062041029,-0.4012322404421866,0.0007511225174238441,0.13805319228810448
50.79%,0.0048175222,516096,1002.7672960758209,98.15424459999998,516,0.024949870353339065,0.11316421210649423,-0.38848926180507987,0.0006394524453011488,0.13875353490513445
51.61%,0.0047685182,524288,1019.5030696392059,98.26096868,524,0.03567673465072403,0.11457744979998097,-0.3723096809349954,0.0020373315694673434,0.15229151602017232
52.43%,0.0037691125,532480,1035.709617137909,98.97225484,532,0.029182270337651063,0.10909182148752734,-0.3573978966102004,0.001649719442494001,0.1399238112676724
53.25%,0.0038569942,540672,1051.9658603668213,98.51112979999999,540,0.021806938055556203,0.10485558181535452,-0.3388536481885239,0.002591130582787847,0.12925365045369858
54.07%,0.0035430056,548864,1068.3906815052032,97.49207316,548,0.022467680701174685,0.09978267366532237,-0.3214842531597242,0.0016783975184302574,0.12392875188492732
54.89%,0.0035155308,557056,1084.6067762374878,97.11600440000001,556,0.024563871987356833,0.0990630065993173,-0.3044410239439458,0.001485571971170388,0.12511245055784453
55.71%,0.0037494623,565248,1100.7871720790863,95.85713063999998,564,0.02278360288141812,0.09347851460333914,-0.2838785142637789,0.0016694796233422573,0.1179315971080995
56.52%,0.0036628679,573440,1117.1219804286957,95.77606709999998,572,0.020141578403195127,0.09101559319824445,-0.28271555153187367,0.0022655000515954043,0.11342267165303496
57.34%,0.0032878226,581632,1133.2349944114685,95.92793912,580,0.02085535807375436,0.09190578433335758,-0.2723557678516954,0.0010582238461328299,0.11381936625324478
58.16%,0.0037063591,589824,1149.7134656906128,96.54146190000002,588,0.01973347231041771,0.0902505942096468,-0.2514342766720802,0.00046370022422816354,0.11044776674429269
58.98%,0.0032450915,598016,1165.440941810608,97.50244893999998,596,0.02333075740843924,0.08643395255785435,-0.24974030843004585,0.0037042314526317425,0.11346894141892534
