total_time,Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,entropy_loss,total_loss,icm_loss,policy_gradient_loss,value_loss
938.2134459018707,45.06%,458752,0.0017512105,456,106.72615138,-0.2652450232766569,0.12064839193905563,0.08422894825343974,0.0005384678414592526,0.035880975844156636
954.933586359024,45.88%,466944,0.0018604396,464,106.30263181999999,-0.24638811429031193,0.11068346895559011,0.08119846911577042,-5.339922915458799e-05,0.029538399068974285
971.3194358348846,46.69%,475136,0.0018477685,472,105.93706037999999,-0.2242045422550291,0.10641421762277681,0.07784468478057534,0.00030873681833220955,0.028260796023869262
988.1197335720062,47.51%,483328,0.0017637479,480,105.56720508000001,-0.206198424147442,0.10604703443175159,0.07659149825340136,0.0008574314609383963,0.028598104717411844
1004.9624345302582,48.33%,491520,0.001612215,488,106.20703934000001,-0.18705433858558534,0.10743578089815478,0.07295258048106916,0.0013663107194050491,0.03311688969768056
1022.0159809589386,49.15%,499712,0.0017881676,496,106.58175066,-0.16312408139929174,0.10026433963835113,0.06993676109123044,0.0011025676061528183,0.029225010940967876
1038.8746392726898,49.97%,507904,0.0016834187,504,106.61076857999998,-0.14234021650627254,0.0985861208589685,0.0650699573714519,0.0012181074369127035,0.032298056050603915
1055.4975159168243,50.79%,516096,0.0016629131,516,106.80791579999999,-0.13068777588196098,0.09822308610098196,0.06374651055666618,0.0020374402783980942,0.032439135265917685
1071.8874945640564,51.61%,524288,0.0016354538,524,107.13809796,-0.12372746802866459,0.10936108932321602,0.06257332538079936,0.0015059720407641808,0.04528179190165247
1088.3086514472961,52.43%,532480,0.0015452431,532,107.38195566,-0.11324287257157266,0.09460056746322072,0.060514869962935335,0.001527311252624817,0.03255838624766057
1108.388142824173,53.25%,540672,0.0014739997,540,107.51393350000001,-0.0916017696261406,0.09293959250346251,0.059442003644653595,0.0006077577065026908,0.03288983115230622
1126.839520931244,54.07%,548864,0.0015030409,548,107.76570087999998,-0.07688963934779167,0.08760293583017308,0.056722982006613167,0.001180331025548259,0.02969962279801166
1144.1573996543884,54.89%,557056,0.0013492742,556,108.06225693999998,-0.07648179782554507,0.08586042127749169,0.05636423031974118,0.0007311942496226025,0.02876499670812791
1161.593160867691,55.71%,565248,0.0013924118,564,108.34691996,-0.06299519911408424,0.08592646671822876,0.0554535072093131,0.000982662281967347,0.029490297226948313
1178.2480149269104,56.52%,573440,0.0014359088,572,108.62739433999997,-0.04348263558931649,0.08668638012885169,0.0527647588896798,0.0022077187690527555,0.03171390247011914
1195.5849204063416,57.34%,581632,0.0014139887,580,108.69884284,-0.039897069707512854,0.08792275221189386,0.05270950362319127,0.001956234606628019,0.03325701398207457
1212.034948348999,58.16%,589824,0.0013737174,588,108.62934758000003,-0.04031773982569575,0.08665904286282902,0.05280209964257665,0.0011226021506620762,0.0327343410695903
1228.9228715896606,58.98%,598016,0.0014086216,596,108.60368036,-0.02348630833439529,0.08445006558059887,0.051613633081433366,0.0011097393182483012,0.03172669318091721
