Progress,mean_int_reward,total_time,total timesteps,num_episodes,ep_rew_mean,entropy_loss,total_loss,policy_gradient_loss,value_loss,icm_loss
73.73%,0.0040640131,1518.9248061180115,745472,744,69.51815171999999,-0.4767369255656376,0.18785269540630775,0.0017144115004371573,0.010626435153949388,0.17551184875192122
74.55%,0.0054770489,1536.1011271476746,753664,752,68.93191492,-0.45884068668819966,0.17746403474648295,0.0037132919554683994,0.009306209643398233,0.1644445331476163
75.37%,0.0042615751,1553.4484655857086,761856,760,69.00117162,-0.4552869835169986,0.18100317953839934,0.0016572990777576728,0.009618314710860432,0.1697275657497812
76.19%,0.0052305058,1570.8609411716461,770048,768,68.33244838,-0.45278729803394524,0.17270993434041482,0.0014337034694022626,0.009625155635444572,0.161651075235568
77.0%,0.0056013997,1589.0922014713287,778240,776,67.49973238000001,-0.45087759201414884,0.18451424046214865,0.003188671198144527,0.01008882737194199,0.17123674189206212
77.82%,0.0049352,1606.9647359848022,786432,784,67.79052056000002,-0.448608763073571,0.17839929446512087,0.001613373099676221,0.010912838737203856,0.1658730826282408
78.64%,0.0045616346,1624.816831111908,794624,792,67.12350522,-0.43411677377298474,0.17353300733894692,0.0021840047904880377,0.010713892901048894,0.16063510964740998
79.46%,0.0041282862,1643.331731557846,802816,800,66.96845832000001,-0.40315091600641606,0.16704141431937652,0.002418612038345985,0.010490204230393374,0.15413259805063717
80.28%,0.0032850322,1661.9168527126312,811008,808,65.97187872,-0.3845414723036811,0.15976483140637854,0.0029990483779651807,0.01064097564990334,0.14612480737851002
81.1%,0.0025959677,1679.9587604999542,819200,816,65.22211472,-0.3538098278455436,0.1471814135656889,0.0014819464553359138,0.010265958142372255,0.13543350896798073
81.92%,0.0024678064,1698.6400892734528,827392,824,64.95080266,-0.3406105879228562,0.13613821014351574,0.002142842072125322,0.009854771652516092,0.12414059641887434
82.74%,0.0031042991,1718.9953801631927,835584,832,64.99835139999999,-0.32495876599568874,0.13763473244716104,0.002879857996667648,0.010766764716584021,0.12398810973390936
83.56%,0.002410328,1737.0642020702362,843776,840,65.25100803999999,-0.31879644391592593,0.13377799983960523,0.002096827624540598,0.010262188533704374,0.12141898368136025
84.38%,0.0032880424,1754.0014021396637,851968,848,64.6055641,-0.3198260297765955,0.13069196401179967,0.0016458581781535007,0.010441279884349796,0.11860482594929636
85.2%,0.0036706816,1770.7893397808075,860160,860,65.48559743999999,-0.3125926478533074,0.14107723668665506,0.004166435215787847,0.010340444036182816,0.12657035743468442
86.02%,0.0039777041,1788.4525964260101,868352,868,65.09108074000001,-0.31332721321377904,0.1414135329347809,0.002985248852622515,0.015975184721003188,0.12245309936115518
86.84%,0.0037316837,1808.5188097953796,876544,876,64.19131714000001,-0.330283655365929,0.13855182990146714,0.00181494714672054,0.010846161670895072,0.12589072108385152
87.65%,0.003329543,1826.26518368721,884736,884,62.69914174,-0.3362303665606305,0.14518595716626753,0.0012443601110471321,0.011654468942708718,0.1322871281125117
88.47%,0.0023945196,1843.6858360767365,892928,892,62.2986725,-0.3252253721933812,0.14160128275951545,0.0011132289956294254,0.01159486525449438,0.12889318850939163
89.29%,0.0034508489,1859.917368888855,901120,900,61.6824312,-0.3165906734066084,0.1288750140730651,0.0008265081755207213,0.010617277446812068,0.11743122845073231
90.11%,0.0030182894,1878.0752563476562,909312,908,60.27041812,-0.3130370475584641,0.13708763371184446,0.0019717979303960796,0.01110460377601612,0.12401123200543225
90.93%,0.0027689508,1895.8452188968658,917504,916,60.448724039999995,-0.29888229034841063,0.1364074327408494,0.0014769176059408705,0.011320980280140702,0.12360953485476785
91.75%,0.0037500065,1913.0509295463562,925696,924,61.65541424,-0.29118278466630726,0.12703173383010175,0.00020247511280804153,0.011196635062037785,0.11563262365525588
92.57%,0.0020499309,1930.772604227066,933888,932,62.442738739999996,-0.26892739459872245,0.12914004324695968,-0.0014880790206778468,0.012338365248263016,0.11828975701937453
93.39%,0.0018167917,1949.131353855133,942080,940,61.667026820000004,-0.24854088692227377,0.1222636053373776,0.0016901183965387402,0.011395964439861928,0.10917752250097693
94.21%,0.0020364222,1965.7039270401,950272,948,61.067123939999995,-0.2486979487352073,0.11988864868700748,0.004264380210052288,0.01097247279422504,0.10465179568273016
95.03%,0.0024251307,1983.0397918224335,958464,956,61.659625379999994,-0.25367482588626444,0.12058146716897875,0.0025195124701903205,0.010760724066204829,0.10730123063258361
95.85%,0.0023781818,2000.3630540370941,966656,964,61.46101588,-0.2537505905842409,0.12561204181767066,0.0010631783560384436,0.0103635374681744,0.1141853259934578
96.67%,0.0029061079,2017.6432793140411,974848,972,61.18851959999999,-0.2664066021796316,0.12379896376894813,0.0015912765419870418,0.010089164782453964,0.11211852244450711
97.48%,0.003256728,2035.2002222537994,983040,980,61.215886960000006,-0.28437762390822174,0.13352024077493335,0.0037622956223371485,0.010218145166072645,0.11953979998652357
98.3%,0.0034283112,2052.5247704982758,991232,988,62.569244780000005,-0.28016949915327133,0.1377072658057028,0.004375290517951351,0.011207650443998319,0.12212432484375313
99.12%,0.0034496431,2070.3776082992554,999424,996,63.8378375,-0.26494303536601366,0.1333985405840929,0.0034396770065962283,0.0106372812450104,0.11932158233248628
99.94%,0.002391542,2086.99152135849,1007616,1004,65.05628993999998,-0.24823664381401614,0.1313390666394152,0.003336400100416943,0.010639977870926031,0.11736268866807223
