mean_int_reward,total_time,total timesteps,ep_rew_mean,num_episodes,intrinsic_loss,value_loss,entropy_loss,policy_gradient_loss,total_loss
2.0978901e-15,648.852276802063,580608,937.24,2431,1.128104373804284e-07,0.011868036839587148,0.41969472356140614,-0.006347739155110641,0.005520354089695197
3.2905975e-16,650.0372316837311,581632,937.24,2431,4.226371903559567e-07,26.06285836547613,0.41653137281537056,-0.002693474426918278,26.06016510236781
4.3531334e-16,651.1909835338593,582656,937.24,2431,1.9869601453059715e-07,0.012601386733877007,0.41769150365144014,-0.003929367279974684,0.008672118801909589
2.1154864e-15,652.2679533958435,583680,937.24,2431,9.31316938568294e-08,0.009578400517057162,0.41996039636433125,0.000611135666987804,0.010189582749891894
4.0675598e-15,653.4417865276337,584704,982.38,2435,8.725515993068811e-08,0.010026289728557458,0.4169032434001565,-0.0032526053176656806,0.006773728038471743
4.354228e-16,654.5506732463837,585728,982.38,2435,6.830616097741604e-08,24.329923018813133,0.40901387576013803,-0.00014336018992072578,24.32977969277629
1.4988953e-14,655.645512342453,586752,982.38,2435,1.2822995043570984e-07,0.04718813009094447,0.4037183662876487,-0.004675748076927069,0.04251244612899262
4.0984816e-15,656.8505656719208,587776,982.38,2435,1.4221875865860767e-07,0.013938643802248407,0.3949888814240694,-0.004079747591083269,0.00985896732054447
8.139236e-15,657.9253008365631,588800,1000.0,2439,2.330388988447396e-07,0.014440428305533715,0.3705319743603468,-0.001164875659195738,0.0132756691657874
3.4107425e-15,659.185907125473,589824,1000.0,2439,1.6678653457224968e-06,21.058738209307194,0.36424238979816437,0.0005716320412385799,21.059310675281104
2.7142442e-15,660.316189289093,590848,1000.0,2439,2.2357494100511133e-07,0.012733550123812165,0.38859386555850506,-0.0028331017848564175,0.00990056012642625
4.9776933e-17,661.4343068599701,591872,1000.0,2440,1.1667106489254842e-07,0.011763208429329097,0.40896295104175806,-0.0012442107470735369,0.01051905601778801
1.25801184e-17,662.6147937774658,592896,1000.0,2443,4.412688983657098e-07,6.322127499850467,0.4304941361770034,0.004974373778726393,6.327102094263642
7.0704925e-18,663.8398241996765,593920,1000.0,2443,4.519084023657527e-06,18.34349861368537,0.44301737658679485,0.00850395425041535,18.3520048274778
6.450576e-18,664.8685250282288,594944,1000.0,2443,1.289416796446119e-06,0.04273022324196063,0.4403400244191289,0.006111049428255412,0.048841917378614264
9.59405e-18,666.0949966907501,595968,1000.0,2444,6.382280395289541e-07,0.04903446143725887,0.42943685594946146,-0.01413773078750654,0.034897049763772094
2.049092e-15,667.2214531898499,596992,1000.0,2447,3.762180796229586e-06,6.508253358770162,0.4159126030281186,-0.00668813881928397,6.501567101041276
1.1432692e-14,668.3750171661377,598016,1000.0,2447,4.229908070918498e-06,18.613762512803078,0.40906589943915606,-0.0013484844525204899,18.612416143304593
2.0045582e-14,669.4237270355225,599040,1000.0,2447,9.61147964329001e-07,0.016809546337754,0.3935039220377803,-0.0035210352792239916,0.013288991632512173
2.0451068e-14,670.5687832832336,600064,1000.0,2448,1.1689065465558812e-07,0.010665435045666527,0.3965371763333678,-0.0009989714811354208,0.009666522009858434
1.5366226e-14,671.749144077301,601088,1000.0,2451,9.259767924651996e-08,6.313889690092765,0.4033058965578675,0.005848853543025802,6.31973858993463
2.216725e-14,672.8550477027893,602112,1000.0,2451,8.646107563237138e-08,19.154828865081072,0.4012789437547326,-0.0014837688438394333,19.15334513946777
3.4066594e-14,674.0891845226288,603136,1000.0,2451,1.9076548873897536e-07,0.05631018086569384,0.39680458046495914,0.0010891163520109163,0.05739939260044912
3.9838806e-14,675.2941284179688,604160,1000.0,2452,8.774252002741179e-08,0.01961741311242804,0.4036620231345296,-0.0041471419611851575,0.015470315022502897
2.4316171e-14,676.464870929718,605184,1000.0,2455,1.9700576903147748e-07,6.446823967504315,0.4089183025062084,0.001682391041007314,6.448506457048207
3.145491e-14,677.6183788776398,606208,1000.0,2455,1.1472913834964515e-05,18.410945722833276,0.41467035189270973,0.0020960950360512766,18.413047554326244
3.5151413e-14,678.859100818634,607232,1000.0,2455,2.060841191919849e-06,0.019352706491190474,0.4259429294615984,-0.0014569853802743758,0.01789675153151206
3.5878063e-14,679.9278175830841,608256,1000.0,2457,9.603710884320549e-07,0.01402171645895578,0.42564230412244797,-0.005941454160560156,0.008080742483939841
9.763411e-15,681.114031791687,609280,1000.0,2459,1.2816503658363843e-07,13.138112975284457,0.4168812222778797,-0.00040193063736308006,13.137711108729611
1.4649808e-14,682.344019651413,610304,1000.0,2459,1.4006766951846217e-07,12.940275706350803,0.4141479106619954,0.0004830961272520233,12.94075887251189
