total timesteps,ep_rew_mean,Progress,total_time,num_episodes,mean_int_reward,policy_gradient_loss,value_loss,icm_loss,entropy_loss,total_loss
393216,769.8632230999999,38.5%,759.2447671890259,4612,0.0088412519,0.00032108085549914565,0.016048252173186485,0.2180458839982748,-0.670797576662153,0.21968281730114336
401408,806.2142276000002,39.32%,774.9577314853668,4641,0.0087052944,-0.00030014341234614877,0.024974856059725426,0.2226084066205658,-0.6587099230382591,0.22507587788530375
409600,801.78546594,40.14%,790.8823170661926,4675,0.0085362055,4.636955456104388e-06,0.013945140646410437,0.21123933353228494,-0.6408661193214357,0.21263431129247162
417792,837.8843566400001,40.96%,806.4081289768219,4704,0.0082352053,0.0014455183102626246,0.01586255479060128,0.204948022053577,-0.6295442825183273,0.20667882936366339
425984,874.1602583600001,41.78%,821.7065553665161,4733,0.0082873021,-0.0001434075732159164,0.013416707587566634,0.20765702339122072,-0.6172886268701404,0.2089843533926558
434176,860.4769203,42.6%,837.4485416412354,4763,0.0086351043,-4.721198717545835e-05,0.013604972679149795,0.20552763096056878,-0.6031028798781335,0.2068834070297662
442368,902.43549396,43.42%,853.2491731643677,4792,0.0085507709,0.0013928009529379681,0.036517937020653334,0.2016592291300185,-0.5933704781346023,0.20545030292737762
450560,861.1858000799999,44.24%,868.9307129383087,4822,0.0077031833,0.00011419990453516294,0.016215304801244203,0.1963139377650805,-0.5886670644395053,0.1979468882356584
458752,823.3973795600001,45.06%,884.2347085475922,4854,0.0080761055,0.0016550335996451265,0.013099911335848447,0.2007995568565093,-0.5746476361062378,0.2022750513500587
466944,838.56041626,45.88%,901.5442771911621,4884,0.0076069804,-0.0001417230096418966,0.01274251362610812,0.18661259980872275,-0.5566265590023249,0.18787267887036935
475136,850.8065455800001,46.69%,919.2161643505096,4917,0.0081447089,0.0033397358531890922,0.012255035628732003,0.1904057978419587,-0.5481556101236492,0.1919652749901508
483328,803.8470815400001,47.51%,937.08713555336,4950,0.0079168747,-0.00020271448290784863,0.012835790423196158,0.18811390023911373,-0.5265012833755464,0.18937720783314255
491520,835.8853058400001,48.33%,954.9545876979828,4979,0.0076048912,0.0004569768167609517,0.026248698933341075,0.17515460072318093,-0.515710074128583,0.17782516829819114
499712,933.89692016,49.15%,972.410395860672,5007,0.0092127792,0.004125503124814871,0.01226302623972515,0.1790737418574281,-0.5135167114436626,0.18071259479388208
507904,965.24672138,49.97%,989.8617868423462,5033,0.0088806416,-0.00011608069377870862,0.017907640026805893,0.1847078692575451,-0.5117774136830121,0.18648702519084784
516096,980.8443163999999,50.79%,1007.4186105728149,5059,0.0084899609,0.0019918605177166528,0.015781022969713378,0.17816864053020254,-0.5091699363198131,0.17994592887894553
524288,1003.6508121799999,51.61%,1024.5176236629486,5085,0.0084705942,0.0056658316955000955,0.018272793784490204,0.17704208365175872,-0.5078395884018392,0.17943594619975775
532480,1031.04148414,52.43%,1041.5202877521515,5111,0.0081056528,4.60588662208522e-05,0.016500098023470855,0.18465624026139266,-0.49779407498426737,0.18631085595036184
540672,1039.4336714600001,53.25%,1059.2821526527405,5135,0.0076152421,0.0006449818351975201,0.012942584334814456,0.1832947949937079,-0.4847279033623636,0.18465355161070912
548864,1017.7724487800001,54.07%,1076.75732588768,5162,0.0080953638,0.0024738774433560574,0.010009141208001893,0.1742277546436526,-0.4696458785329014,0.17547605650878836
557056,921.4238111599999,54.89%,1094.1288840770721,5193,0.0073921816,0.0014212273499205298,0.010964285673708218,0.16834451871109196,-0.4539680333575234,0.16958307001345482
565248,911.5222964000001,55.71%,1111.6447026729584,5222,0.0067136309,0.0007213278640812752,0.012069819047474084,0.1675978985556867,-0.442843260592781,0.16887701324684223
573440,958.4180487799999,56.52%,1129.0535800457,5248,0.0065629266,0.0009348909889042353,0.011219594733802296,0.16573293447727339,-0.43103392482735214,0.166948383049544
581632,943.2083207599999,57.34%,1146.4147820472717,5279,0.0071722267,0.017369525378072525,0.01003353250512191,0.16319164706510492,-0.4191653712652624,0.16593195285342435
589824,903.81814352,58.16%,1164.2156977653503,5309,0.008044221,0.016400865619580297,0.02216218893072437,0.16524682471645064,-0.41022990411147475,0.1691031301714811
598016,901.7117546,58.98%,1182.0844163894653,5337,0.0078906968,-0.0004701641072359418,0.019492311232352223,0.1641166442888789,-0.4023938986938447,0.16601885900139052
606208,9.40095002,59.8%,1200.137876033783,5961,0.029291793,0.004636772298051188,0.014617380390109246,0.16092176778474823,-0.38898853920400145,0.16284718305356427
614400,10.750531819999999,60.62%,1217.7713527679443,6527,0.0066510272,-0.0008657992658852125,2.0507914716377855,0.16008578558103181,-0.37881269806530327,0.3650783528182219
622592,10.78583656,61.44%,1235.1505630016327,6999,0.0069956187,-0.0013870314913297004,0.8145716442260891,0.15472208682913333,-0.37038558495696633,0.23604054810260927
630784,12.527078300000001,62.26%,1252.5694653987885,7371,0.0073170608,-0.0014294213304035035,0.2541632245760411,0.1581145909964107,-0.3696437547914684,0.18338797132097445
638976,82.34113654,63.08%,1270.2345142364502,7605,0.0076811047,-0.0015521716086799966,0.08652130381960887,0.15981508561526425,-0.3756511270767078,0.16831199883635714
647168,260.04149901999995,63.9%,1288.1838726997375,7699,0.0069741403,-0.0033596090845718725,0.07110395869312924,0.16585629013716244,-0.3809031996876001,0.1726307250980182
655360,601.53011256,64.72%,1305.8328392505646,7739,0.0061390285,-0.001098786103334648,0.05034147041569668,0.17752426082151943,-0.37169476952403785,0.18244852925275562
663552,780.41550464,65.54%,1323.491250038147,7769,0.0056719941,-0.0007990819589842654,0.0459361111281396,0.17063682827283627,-0.36710488467942926,0.17515053118975182
671744,1076.7545928,66.36%,1340.903818845749,7789,0.0053576748,0.0009509223687552079,0.03471967549494366,0.16676617524935863,-0.3473345426376909,0.17033323503572853
679936,1218.6203828799999,67.17%,1358.2836863994598,7806,0.0055406052,0.001468186248694533,0.01663838061745082,0.15974051076336765,-0.33345520936418327,0.16155116744998219
688128,1541.6628863000003,67.99%,1375.7318511009216,7822,0.0051525171,0.0022698330683793982,0.009215701707989864,0.16731638287892564,-0.3325838546734303,0.1684649363565626
696320,1635.2509796800002,68.81%,1393.1115040779114,7836,0.004764609,0.0017606498243065705,0.016987946217341232,0.1670382831187453,-0.321718051773496,0.16891314272291008
704512,1649.98518866,69.63%,1410.8097877502441,7851,0.0049768243,0.0020162106247411642,0.012281922735746775,0.15955925741582178,-0.3063449362292886,0.16098907075187058
712704,1672.6505380999997,70.45%,1428.3683869838715,7868,0.0052053768,0.0025268569457811488,0.03979247173983822,0.1612296932551544,-0.30224335140082986,0.16546162612371634
