ep_rew_mean,Progress,mean_int_reward,num_episodes,total_time,total timesteps,total_loss,entropy_loss,value_loss,policy_gradient_loss,icm_loss
924.4122949000001,27.85%,0.0040613717,2607,554.0677661895752,286720,0.39283450267286,-1.0536339207552374,0.04398430186824953,-0.0010652551096724965,0.3885425979970023
940.22222894,28.67%,0.0033457388,2615,570.016107082367,294912,0.3982672002772801,-1.0502859966829419,0.05364967084606178,-0.0012763587574006405,0.393029869068414
977.17190926,29.49%,0.0035123427,2623,586.1254155635834,303104,0.39099242867396605,-1.047695206385106,0.04267346872613871,-0.00027600983220058407,0.38675268278457225
977.33357374,30.31%,0.0034706391,2631,602.3133492469788,311296,0.4019745117807404,-1.0358182569034398,0.041172821236614254,-0.0005186201205578244,0.3979090916691348
977.4295551800001,31.13%,0.0037616603,2639,618.3434865474701,319488,0.3774290671121986,-1.0342460847459733,0.044757872612672146,-0.0010134657014020131,0.37305462642107157
977.77902182,31.95%,0.0039156428,2647,633.844918012619,327680,0.3877420762371488,-1.041342955082655,0.04642396411147729,-0.0005768978485243259,0.3831573696108535
1017.65777584,32.77%,0.0060233837,2655,649.7681272029877,335872,0.40288774652661735,-1.041526017896831,0.047625040218485994,-0.0006494371452112262,0.3981901862192899
1017.33277456,33.59%,0.004737737,2663,665.7679722309113,344064,0.4043627710493897,-1.0375928868539632,0.04982740943287354,-0.0006780559634674595,0.39944783570244907
998.12341816,34.41%,0.0054238072,2673,681.701408624649,352256,0.40528902316219784,-1.0473463021218776,0.04941261394656067,-0.001217336118242236,0.400469495379366
997.8538280600001,35.23%,0.0054799467,2681,697.8212718963623,360448,0.42673628303546396,-1.0665627610869706,0.05702715864381389,-0.0011289990087526,0.4211464670719579
997.9371620600001,36.04%,0.0063324625,2689,713.9369542598724,368640,0.4380196491888767,-1.0769499671645462,0.049969153728261516,-0.0008462752111946265,0.43310736133717
996.94477346,36.86%,0.0075080422,2697,729.7494382858276,376832,0.4407447447879342,-1.0723750900477171,0.04951350877386176,-0.0010226740067613774,0.4358956613112241
