Progress,mean_int_reward,total_time,total timesteps,num_episodes,ep_rew_mean,entropy_loss,total_loss,policy_gradient_loss,value_loss,icm_loss
64.72%,0.0047193752,1403.800969362259,655360,3574,1833.85733004,-0.3987271852558479,0.15494844143279446,0.0007545200560893546,0.03875909372818569,0.15099708005436696
65.54%,0.0046411921,1422.0174865722656,663552,3588,1777.21338294,-0.3898970590438694,0.1579288500582012,0.00016184137916442942,0.0195465601324031,0.15595800990704448
66.36%,0.0049401568,1440.933743238449,671744,3609,1687.9057965200002,-0.38248265399597586,0.15797164564373894,0.0014149367273910277,0.004584364681863917,0.15737171550281345
67.17%,0.0048833707,1459.4213516712189,679936,3627,1491.5966722199998,-0.37998885023407636,0.1567362685697542,0.0010788513382227224,0.015108572104190898,0.15511752622551284
67.99%,0.0052080108,1477.6321246623993,688128,3647,1360.42810854,-0.3771772576961666,0.16099801600550637,0.002181661861011958,0.01017097728358749,0.15976275209104643
68.81%,0.0051300549,1495.718332529068,696320,3667,1414.71836828,-0.3701922215055674,0.1584584303227876,0.0006841691834150946,0.011913773860078436,0.15719863601843825
69.63%,0.0048852935,1513.555515050888,704512,3683,1480.8674671200001,-0.3640589284012094,0.15677500600881977,0.0018136870428824392,0.02803858051693169,0.15378977925283835
70.45%,0.0045360904,1531.224424123764,712704,3697,1568.70749224,-0.3673811766318977,0.15345336073044175,0.0007641451979061249,0.021008991659846286,0.1512760470446665
71.27%,0.0046941665,1549.82270693779,720896,3710,1718.49587784,-0.37219131395686417,0.15662388092631077,0.0014454530548150654,0.01653695028803668,0.15482564059202558
72.09%,0.0049566302,1566.2399656772614,729088,3726,1814.11153718,-0.36548891621641816,0.1594887392516306,0.0007980808285300625,0.02244129290388628,0.15716480187838897
72.91%,0.0047773265,1584.119453907013,737280,3741,1845.81759704,-0.3646202501375228,0.1545089197624688,8.399808142195431e-05,0.01053190445254586,0.153447329509072
73.73%,0.0045223991,1601.323605298996,745472,3755,1792.8289964600003,-0.35566372342873365,0.16399995834057335,0.0002946642889127494,0.01234466377577519,0.16273602553410454
74.55%,0.0042999952,1619.6963739395142,753664,3764,1923.44058424,-0.34283163875807077,0.15318293794619225,0.00224147541019033,0.018060414122737713,0.15115274899289943
75.37%,0.0052383725,1638.097519159317,761856,3781,1852.9843620600002,-0.3306375604821369,0.14946212903096276,0.005502619187386139,0.020802009928274856,0.1468316661193967
76.19%,0.0048698582,1655.9889979362488,770048,3796,1910.4644827000002,-0.3333909904351458,0.14852410613349604,0.0012411679680156128,0.016505155660797754,0.1467494737706147
77.0%,0.0052616702,1673.4510338306427,778240,3815,1609.40160852,-0.34142544127535074,0.15230150545043072,0.001058467563311045,0.027302879105172907,0.14946537078358232
77.82%,0.0050564986,1691.0806438922882,786432,3832,1580.96653758,-0.3456125966273248,0.14371337929356814,0.006856175636137922,0.013379097567485588,0.1416898519732058
78.64%,0.0049961659,1709.0855367183685,794624,3855,1335.0698710999998,-0.3433471173746511,0.1493036433375684,0.00027201079626296533,0.017458371436441668,0.14753060511429794
79.46%,0.0049155973,1728.2125334739685,802816,3875,1335.3888831800002,-0.3459799237083644,0.14851635151771309,0.00020749634780536827,0.042644124738944814,0.14423118940903806
80.28%,0.0049166135,1746.7732162475586,811008,3894,1288.1052491599999,-0.355484836990945,0.14315745514713432,0.0003751032391424495,0.017765983522531316,0.14134334647096694
81.1%,0.0048025566,1764.910966873169,819200,3914,1311.7523942800003,-0.3542142963036895,0.14652903980199533,0.0005611405656615432,0.011514214917679056,0.14532150425366125
81.92%,0.0045362331,1784.035372018814,827392,3927,1514.85657814,-0.3396533736260608,0.1455134005672446,0.0006449548103067222,0.022012593188082973,0.14324764576740562
82.74%,0.0048838299,1802.3495080471039,835584,3949,1498.93041132,-0.3538259628927335,0.14339306596390355,0.0005469652195456245,0.016397115751487945,0.1416986578668002
83.56%,0.0047401161,1820.8307282924652,843776,3967,1506.04737366,-0.3599972293013707,0.15165671673250136,0.0031481502336310556,0.031622523454007026,0.14817964936373756
84.38%,0.0047587736,1839.284125328064,851968,3990,1306.7308565399999,-0.359958784817718,0.14736755234696072,0.00027742269523213243,0.011952171466418804,0.14614459293079562
85.2%,0.0046177099,1857.3455228805542,860160,4008,1349.22986424,-0.35012706748675554,0.14784434142786945,0.0003323219562611305,0.02024419888148259,0.14578668934409506
86.02%,0.0046734405,1875.2495231628418,868352,4027,1449.9183257999996,-0.35140420589596033,0.15262419270589267,-0.0002615465178771751,0.0063368282846113285,0.15201666452921928
86.84%,0.0047315343,1893.5516221523285,876544,4046,1472.46775028,-0.3507171705598012,0.15287940318395174,0.0008904468928466617,0.006538516443015396,0.15213650685036556
87.65%,0.0045797057,1911.1230700016022,884736,4067,1351.60014972,-0.33726947440300137,0.15042210539429918,0.0014734472607090237,0.006727711202734099,0.14960198954795487
88.47%,0.0046699768,1929.7071022987366,892928,4084,1434.56900784,-0.3406281292205676,0.1461704586745208,0.00010035466727372385,0.024210723924898047,0.14373935081530362
89.29%,0.0047141218,1948.4624092578888,901120,4106,1373.27045006,-0.33513748706318436,0.15049822753719852,0.00014331107855005532,0.006519644494824206,0.1498319319798611
90.11%,0.0044710997,1966.2310202121735,909312,4121,1544.0956084,-0.3275146352592856,0.14432250192530302,-0.0004046101874807735,0.007007167903611844,0.14366224615368992
90.93%,0.0045235098,1984.4822661876678,917504,4137,1509.7811252600002,-0.3118420445360243,0.14844621196423902,-0.00035353037627321204,0.02569079304093975,0.14591248569777235
91.75%,0.0046555496,2002.0400035381317,925696,4158,1582.25882572,-0.2966545577393845,0.14347777010650242,0.0005409101734691771,0.0055471944737291775,0.14286895964178256
92.57%,0.0045429216,2020.250459432602,933888,4176,1391.8472325799999,-0.2804317709757015,0.1423622512677999,0.0006418723524309768,0.012039562172594742,0.14109410781529733
93.39%,0.0046902963,2038.1693279743195,942080,4194,1412.58498686,-0.2619708157842979,0.13516812828293942,6.202997678803096e-05,0.005593543673376189,0.134602570917923
94.21%,0.0047764632,2055.3894050121307,950272,4209,1525.92360104,-0.2574987669009715,0.12961565788037457,-8.089511545428104e-05,0.006120585564667635,0.12901168883545325
95.03%,0.004506108,2073.2693145275116,958464,4222,1735.2122287999996,-0.24794983033789322,0.13610173599781433,0.001548303372021699,0.010549782262478402,0.13489192743436434
95.85%,0.0045686772,2091.5260937213898,966656,4239,1834.8744788199997,-0.2388887101667933,0.1343844529066837,0.0005735502067181339,0.02231687537164362,0.1320954103488475
96.67%,0.0045828609,2108.8850812911987,974848,4253,1940.3940915000003,-0.2290710358065553,0.13640706775254055,0.002057252725257731,0.006059007889029999,0.13559544169111176
97.48%,0.0048612695,2126.990152835846,983040,4271,1686.7081933800002,-0.22977850440656766,0.1331872155480648,0.003832162829832786,0.004654516108644202,0.1323385476542171
98.3%,0.004658516,2145.908504009247,991232,4288,1622.11208228,-0.23377704344457015,0.13392225837146401,0.005806291725152258,0.019026582606238664,0.13143897093832493
99.12%,0.004620284,2162.2841503620148,999424,4302,1653.2370179199997,-0.23491497533395886,0.12956235024927104,0.00244666160611112,0.006030901813073797,0.12871459390735254
99.94%,0.0047514122,2179.2925708293915,1007616,4317,1739.53612402,-0.2376309851766564,0.12857534897605222,0.00023621523508983734,0.0062571142985916595,0.12792601602268405
