Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,entropy_loss,policy_gradient_loss,icm_loss,value_loss,total_loss
86.84%,876544,0.0054582213,5449,1801.2920574999998,1810.882802248001,-0.21998851349344478,0.0006603510563229517,0.09324572799087036,0.0057291346673082446,0.09388467656323349
87.65%,884736,0.0053420997,5462,1922.4521112999998,1827.7715306282043,-0.21196630161721258,0.002216535011149344,0.09201688238536007,0.008320686201841454,0.09307060450665916
88.47%,892928,0.0053842037,5478,1943.8038855999998,1844.5040068626404,-0.19640978565439582,0.003117764958390312,0.09184593643876723,0.003802232553880458,0.09253793618999431
89.29%,901120,0.005806343,5493,1939.0549354199998,1861.184232711792,-0.18062843980733306,0.004697589081543543,0.08944392282282934,0.0037650592524869353,0.09029018765623238
90.11%,909312,0.0056263033,5506,1964.8617512,1878.1745257377625,-0.17633118837838993,0.0034637370910129235,0.08739440194331109,0.0108875004314541,0.0888295256955578
90.93%,917504,0.0060744176,5515,2150.61192172,1895.14386677742,-0.17809165994403883,0.0016830508961705553,0.08550319336063694,0.00919463590344094,0.0865909620405981
91.75%,925696,0.0056639261,5527,2300.07049202,1912.3193237781525,-0.17997014990542085,0.002382187050298245,0.08538334595505148,0.04941312587270659,0.09056287724735196
92.57%,933888,0.0055547672,5536,2455.55105826,1929.3082392215729,-0.17684320252155886,0.0031668923115146666,0.08518773562391288,0.0069198993538066135,0.08619641479044501
93.39%,942080,0.0053976074,5547,2690.16463038,1946.1333656311035,-0.1699269783566706,0.0008620409535162381,0.08559779214265291,0.016104252764034755,0.087294421514408
94.21%,950272,0.0052813668,5558,2714.9727087399997,1963.143807888031,-0.16193395121954382,0.002726644286562778,0.0812477417930495,0.02051073253951472,0.08357147947565725
95.03%,958464,0.0053631825,5574,2490.3776625600003,1982.5763301849365,-0.15923826735233887,0.004822370447525053,0.08134576728043612,0.012371506072167904,0.08306515493240542
95.85%,966656,0.0054646505,5590,2150.6162400000003,2000.1619911193848,-0.151555390690919,0.004369112125604567,0.08009683988639153,0.010023184508600024,0.08153606954981199
96.67%,974848,0.0052912688,5600,2154.52542854,2017.0613589286804,-0.1484823893639259,0.0011905653105441318,0.07791423077578656,0.011408097957701101,0.07917409710261109
97.48%,983040,0.0049952042,5612,2237.7831542000004,2033.7577509880066,-0.14165943602565675,0.001368826357357901,0.07848432734899688,0.02878914762509339,0.08150012474724203
98.3%,991232,0.0049604774,5622,2303.38315938,2050.7454171180725,-0.12009291173890232,0.005879687280260651,0.07731170996266883,0.038757229847033156,0.08177540167539821
99.12%,999424,0.0049652944,5637,2363.12466556,2067.627514600754,-0.10266679964843206,0.0011103003363658944,0.07481455635570455,0.025801826912356773,0.07750576908057683
99.94%,1007616,0.0046040749,5648,2499.50126724,2084.518000602722,-0.08813883182010614,0.0022216977470466094,0.0741361310268985,0.019394689671480593,0.07629776976875122
