total timesteps,ep_rew_mean,Progress,num_episodes,total_time,mean_int_reward,total_loss,entropy_loss,policy_gradient_loss,value_loss,icm_loss
212992,207.64920798000003,20.48%,3396,388.9286046028137,0.0097275357,0.46300354372524444,-1.1417675227858126,-0.0011989672056194826,0.04013853502865459,0.45910958694294096
221184,208.73513507999996,21.3%,3473,404.5327169895172,0.0090277592,0.48386754568238877,-1.1490181459113955,-0.000624091130691952,0.03890120215073693,0.4800398345803842
229376,208.78190955999997,22.12%,3548,420.0578441619873,0.0104373672,0.48665577403585364,-1.1430692337453365,-0.0011060501657934273,0.037180190492745166,0.48304836000315843
237568,207.54038419999998,22.94%,3624,435.19860911369324,0.0094642413,0.4741846301075764,-1.1369319286197423,-0.0003855536556165576,0.03687864474968592,0.47053532099816947
245760,209.67695624,23.76%,3700,451.1119809150696,0.0107944962,0.4776583746647388,-1.1352782055735589,-0.0014359331985775378,0.04706387468213506,0.47309558051638306
253952,209.13957938,24.58%,3776,467.01015305519104,0.0100125927,0.4755126333535956,-1.1259754732251168,-0.0006835473787381971,0.036436899221098426,0.4719372981693596
262144,213.85427469999996,25.4%,3850,482.625372171402,0.0086721671,0.46652798458942896,-1.1212684030644595,-0.0005398457235091644,0.03494459728972288,0.4630875094328076
270336,214.39949976,26.21%,3925,498.290753364563,0.0087868659,0.4535110254691218,-1.1193084768019617,-0.0002015846384249106,0.03265807104353371,0.4502653768286109
278528,209.23351209999998,27.03%,4000,514.2584855556488,0.0093438153,0.45804212233556924,-1.1210474293678998,-0.001178768462746486,0.03325155708334933,0.45483484347350894
286720,216.32724769999996,27.85%,4072,529.5546081066132,0.0087104726,0.4631019279992724,-1.1147151466459035,-0.0008792013451603415,0.0491064246134556,0.4582792056724429
294912,217.32642855999998,28.67%,4145,545.2378413677216,0.0085379792,0.4468481952068462,-1.1093387323431672,-0.0009176390524113457,0.031600828659702526,0.44377987624611703
303104,218.15302989999998,29.49%,4217,561.4171879291534,0.0083691264,0.4457349608673028,-1.098220112733543,-0.0018025935183702893,0.03192371998411545,0.4427228482207283
311296,223.90074564000003,30.31%,4286,577.265903711319,0.0088215639,0.43547513593959336,-1.081928985286504,-0.0012003536537378567,0.032589608920625325,0.4323362104129046
319488,218.00804245999996,31.13%,4358,593.0800476074219,0.0098853497,0.4158817401926835,-1.0655771910212934,-0.0013611503349879196,0.03413300343909213,0.4126045548822731
327680,231.2745981,31.95%,4426,609.1370697021484,0.0114305343,0.4114180307058136,-1.0494806909933687,-0.001451089768256922,0.047448025262019654,0.40681833715643734
335872,230.33182152,32.77%,4494,625.1772351264954,0.0119743053,0.3996976015719461,-1.0281882836483418,-0.0019684058150820664,0.0475740327994572,0.3951370388735086
344064,245.45119373999998,33.59%,4558,641.7252769470215,0.0113753456,0.3834389684546392,-1.0204635077156126,-0.0016365580836407993,0.06350982228614158,0.3772516420343891
352256,258.4651361400001,34.41%,4620,657.610101222992,0.0120247114,0.3825504011753099,-1.0111934111453593,-0.00221592154642324,0.04763087741303025,0.3780089055886492
360448,263.66676338,35.23%,4682,673.6450202465057,0.0114595208,0.3805835211250466,-1.0075853022746741,-0.002951256787839885,0.04655746246498893,0.37622290055733176
368640,298.82447573999997,36.04%,4738,689.9849355220795,0.0125395807,0.37829033756004077,-0.9957577995490283,-0.002296937871024026,0.06553088109212694,0.37196694323793056
376832,328.02428653999993,36.86%,4791,706.1175439357758,0.0115980238,0.3697104618165808,-0.9699382674880326,-0.002513354866774453,0.06233141102566151,0.36372865620069206
385024,357.71362668,37.68%,4841,721.9665336608887,0.0122372049,0.3475322505926798,-0.9563338063191622,-0.0023370019031602345,0.06095480831645546,0.34167046995135025
393216,363.42265284,38.5%,4887,738.942732334137,0.0112302804,0.34224027568779214,-0.9396749714389443,-0.0018280384393503785,0.07263320459605893,0.33515975907212125
401408,460.4083855399999,39.32%,4927,755.1504414081573,0.0126396822,0.33518979178855335,-0.9150060071144253,-0.0022171915686086422,0.06622788906679489,0.3287887220387347
409600,534.02358886,40.14%,4961,771.0535321235657,0.0119656367,0.3167886947113014,-0.8883623975329101,-0.0024215038544090585,0.05156866475881543,0.31187397862086075
417792,544.89805928,40.96%,4998,787.5263078212738,0.0114207739,0.3088613911897008,-0.873800563486293,-0.000465542046114257,0.08782337615994038,0.3001256077783182
425984,588.28061982,41.78%,5028,804.1602337360382,0.0116729343,0.30562256728523324,-0.8558216403238476,-0.0013530263321907057,0.09752355526288739,0.2960055143921636
434176,699.0190841000002,42.6%,5056,820.1814804077148,0.0110787207,0.28993044926644923,-0.8381223923526704,-0.0009375106050307237,0.06766588101818342,0.2832576122251339
442368,723.268588,43.42%,5087,839.0156872272491,0.0121874329,0.2898723654819052,-0.8195964251644909,-0.0011650453826482859,0.07515676526963944,0.28247319349320604
450560,776.831875,44.24%,5111,856.8075234889984,0.0118986731,0.26873090846548153,-0.8081640843767672,-0.00035143522504930654,0.07103393881916417,0.26166265810607003
458752,871.9886929400001,45.06%,5135,877.8595943450928,0.0113398894,0.2665424490438249,-0.788626012718305,9.82044590038878e-05,0.050896133168134836,0.261443015281111
466944,908.9087147000002,45.88%,5156,898.0058872699738,0.0101150593,0.2503623738602612,-0.7573446799069643,-0.0007773536148371215,0.0642045425811375,0.24401965496363118
