ep_rew_mean,num_episodes,total timesteps,total_time,total_loss,policy_gradient_loss,entropy_loss,value_loss
759.9798824200001,3800,385024,437.66706562042236,0.036235781135191894,-0.001739772252685981,-0.6954619045834989,0.03797555338787788
785.5685975,3832,393216,446.4716467857361,0.018408969944091757,-0.00200582650312955,-0.6778684873599559,0.020414796447221308
830.3781803400001,3862,401408,455.40196323394775,0.01921223449423145,-0.002271227823469748,-0.6610338323749602,0.021483462317701197
835.41565084,3893,409600,464.7652356624603,0.016711501872458692,-0.0013742775816638383,-0.648174298228696,0.01808577945412253
880.6190915000001,3921,417792,476.4028580188751,0.016631876141975716,-0.0018546117211075941,-0.6250370346475392,0.018486487863083313
893.92505124,3950,425984,487.8856632709503,0.020169568214126625,-0.0014783880932978416,-0.6068142965435982,0.021647956307424464
856.58156528,3980,434176,496.677889585495,0.024264652617058475,-0.0011809998224624554,-0.5911230234894902,0.025445652439520926
894.3088852400001,4008,442368,507.1954655647278,0.031150369230583924,-0.0015357959097466348,-0.5705391120631248,0.032686165140330556
963.3516517800001,4032,450560,518.877849817276,0.013199053744754352,-0.0011561914523574453,-0.5537190839182585,0.014355245197111798
1053.06544684,4056,458752,528.7518260478973,0.011962941125351833,-0.001541492808042635,-0.5366478990763426,0.013504433933394466
1111.8628398199999,4079,466944,537.6389825344086,0.012082448098203014,-0.0011860280145135835,-0.5254499927163124,0.013268476112716598
1076.29445874,4104,475136,547.0650625228882,0.009057969924873463,-0.002169185613962623,-0.523522296641022,0.011227155538836086
1109.57369926,4126,483328,555.9084069728851,0.02391438555065964,-0.001482669758235135,-0.5093745843973011,0.02539705530889478
1140.2681415,4147,491520,564.6791517734528,0.018127352573990837,-0.0016224336769499771,-0.4951741062104702,0.019749786250940815
1111.96158922,4172,499712,573.3856012821198,0.00891913511534896,-0.0015921358804631227,-0.4737685476662591,0.010511270995812083
1056.2709693200002,4197,507904,582.4293291568756,0.01238487894574673,-0.0020744987018163595,-0.4489978037076071,0.014459377647563087
1082.85699602,4219,516096,591.4290151596069,0.015041207912904742,-0.0010817461710438312,-0.4285663898801431,0.016122954083948572
1150.77505864,4241,524288,600.4648857116699,0.012052928378293474,-0.0010431247391488793,-0.4217611127765849,0.013096053117442353
1216.89899264,4260,532480,609.5981142520905,0.01792940583679376,-0.0013904879115492603,-0.4156924156239256,0.01931989374834302
1357.77513232,4278,540672,618.2574439048767,0.011935263556492144,-0.001677685228301701,-0.41550769908353685,0.013612948784793844
1405.55833968,4296,548864,627.1273159980774,0.01590343426835822,-0.0004700753315490469,-0.40998106219340114,0.016373509599907264
1505.95668114,4312,557056,635.9956090450287,0.005125897841248806,-0.0022046844743772833,-0.39557444732636216,0.007330582315626088
1430.4977091799997,4332,565248,644.4742896556854,0.012363368619640179,-0.0004060711082954263,-0.3869407437508926,0.012769439727935605
1413.90899482,4351,573440,653.2515439987183,0.00558343490513785,-0.0012279473152562296,-0.37502071738708764,0.00681138222039408
1338.3798416000002,4371,581632,662.522310256958,0.0382964982851756,-0.0008267600622691963,-0.36088894426357,0.03912325834744479
1371.2794960600004,4389,589824,671.6881740093231,0.05143624201546768,-0.0002451875000523013,-0.3432898201514035,0.051681429515519996
1470.25119206,4406,598016,680.733336687088,0.005949256161920902,-0.0008161110901255143,-0.3317700284067541,0.006765367252046417
1480.0395567199998,4422,606208,689.5830790996552,0.004282998192468155,-0.001320479708181368,-0.31995205890852957,0.005603477900649523
1532.26317314,4439,614400,698.8024082183838,0.01373304792622632,-0.000720287910016012,-0.30307332060765474,0.014453335836242332
1606.72867784,4453,622592,707.7764143943787,0.022915223955798113,-0.0002026226638088954,-0.2877822255017236,0.02311784661960701
1641.3268907799998,4472,630784,718.024566411972,0.034437671872867524,-0.0005952362129825453,-0.29407849642448125,0.035032908085850065
1602.4690770799998,4488,638976,728.5607731342316,0.03564054824237697,0.0002934883560601168,-0.30272998751606794,0.03534705988631685
1436.1370994400004,4507,647168,738.2877209186554,0.02662689397317186,-3.86705099921442e-06,-0.3059703070903197,0.026630761024171078
1350.1867247000002,4530,655360,748.2960338592529,0.02754149786039442,0.00042957116717979313,-0.29433102062903344,0.027111926693214626
1340.77820228,4547,663552,757.6599929332733,0.029530294737947237,-0.000138722455244161,-0.2880469396477565,0.029669017193191392
1359.7690841400001,4567,671744,766.8050594329834,0.007594404137707603,-0.0009059356189575956,-0.2725257063750178,0.008500339756665198
1557.3876801,4579,679936,776.755970954895,0.02636892711633258,-0.0007035604317156526,-0.2631200182484463,0.02707248754804823
1721.07209676,4592,688128,786.4923598766327,0.03557350764800534,-0.0008496439404913532,-0.25551816953811796,0.0364231515884967
1841.1053609,4606,696320,795.9424891471863,0.04042223369688004,1.901326594131586e-06,-0.2530998984701,0.0404203323702859
1753.8839471800002,4625,704512,805.354150056839,0.01823759043554504,-0.0011240962752270788,-0.25391135637182743,0.019361686710772118
1660.01864114,4640,712704,814.4330656528473,0.02455595547455809,-0.0008768654814718067,-0.2531365444418043,0.0254328209560299
1562.55560858,4657,720896,823.8256483078003,0.010573351369416098,-0.0010821707065276375,-0.2507580046658404,0.011655522075943735
1562.0936303999997,4676,729088,833.8017027378082,0.013245886651450925,0.00021714375099982,-0.24928849010029808,0.013028742900451107
1441.35542444,4695,737280,843.8265111446381,0.004066861651116497,-0.0003834427287903136,-0.25441764227580277,0.004450304379906811
1380.04208728,4711,745472,853.0428445339203,0.00962159805875613,-0.0007486684626297992,-0.24551006918773055,0.010370266521385929
1576.82258622,4727,753664,862.6790668964386,0.00990249027664924,-0.00025892624856658673,-0.22995024021947758,0.010161416525215827
1685.6312559199996,4742,761856,873.0070271492004,0.02735169120192722,-0.0008805015222992563,-0.22566729877144098,0.02823219272422648
1748.1384807999996,4758,770048,881.84925365448,0.032916303817649685,1.910794227421046e-05,-0.22334903739392759,0.03289719587537547
1581.4660997800001,4776,778240,890.790620803833,0.03376688205706583,-0.00032354383448851006,-0.22867712152656167,0.03409042589155433
1619.9094212999998,4790,786432,899.281224489212,0.004029751260503541,0.0003038493964992417,-0.2248870932031423,0.0037259018640042997
1607.5066385200003,4809,794624,908.8675858974457,0.0128993569735029,-5.322781044026586e-05,-0.22169505521887914,0.012952584783943167
1693.2030018200003,4820,802816,918.1803197860718,0.03645172538683903,-0.0008203848281235626,-0.22279692186275496,0.037272110214962594
1666.97538668,4838,811008,926.7614178657532,0.011159372515283717,-0.0009211801752932337,-0.2137509725871496,0.012080552690576951
1660.5828185599999,4856,819200,935.4263911247253,0.021572650973845392,-0.00038523166604476625,-0.2101986715919338,0.02195788263989016
