num_episodes,ep_rew_mean,total timesteps,total_time,total_loss,entropy_loss,policy_gradient_loss,value_loss
2477,214.84692210000006,163840,194.63579440116882,0.045654687364950916,-1.1485333329066634,4.1390189873311134e-05,0.0456132971750776
2564,215.65452252,172032,204.809161901474,0.038164102834400804,-1.1422339726239443,-0.0004047277208313228,0.03856883055523212
2651,215.43260544,180224,214.90189290046692,0.04029707064101923,-1.1391037547029554,-0.00010432461348362871,0.040401395254502856
2740,212.53768034000004,188416,224.95986008644104,0.03605459863123295,-1.1429943923838437,-0.00023215992456490894,0.03628675855579786
2828,211.43393107999998,196608,234.7360725402832,0.045927528920664804,-1.1348127503879368,-0.0008522827372057886,0.046779811657870596
2918,213.59588732,204800,244.9503619670868,0.046639505713851045,-1.1154088725335896,-0.0004901045882393958,0.04712961030209044
3004,215.31100511999998,212992,254.9438807964325,0.04872087998848047,-1.098366902489215,-0.00030455971280998805,0.04902543970129045
3093,215.29884035999999,221184,265.0636193752289,0.03382543297048477,-1.0790550177916884,-0.0010885303463458594,0.03491396331683063
3179,215.33240122000004,229376,275.2882037162781,0.03627201297892482,-1.056977675948292,-0.0005080771441773055,0.03678009012310213
3267,217.14635801999998,237568,284.9298906326294,0.03247161180547295,-1.0535618181340396,0.0004095546205425679,0.03206205718493038
3354,216.52715736000002,245760,295.0368950366974,0.034879041956441495,-1.0548688360489904,-0.00020721986502904413,0.035086261821470545
3440,219.86346687999998,253952,304.7988123893738,0.032322410912290586,-1.0532143739052118,-0.0009297486568199276,0.03325215956911052
3527,219.71203552,262144,315.3608829975128,0.031100052304504792,-1.0486760401166975,0.00027044602656570014,0.03082960627793909
3612,219.60031794,270336,325.8194913864136,0.029495104161840268,-1.0356412077322603,-0.00040627867594351924,0.029901382837783784
3699,220.9915865,278528,335.7499141693115,0.027355151198923768,-1.0138928780332208,0.00024593772658342065,0.027109213472340344
3783,220.97311151999997,286720,345.5909540653229,0.02570881542465971,-1.0005302320234477,-0.0013550613437379687,0.027063876768397676
3868,222.35970540000002,294912,355.20816349983215,0.024245655743550955,-1.0046763751655816,-0.0006442630903272971,0.024889918833878255
3955,222.40642962,303104,364.914217710495,0.0302899704477477,-0.9921720558777452,0.0007124531785302742,0.029577517269217424
