ep_rew_mean,total_time,num_episodes,total timesteps,entropy_loss,policy_gradient_loss,value_loss,total_loss
-9.392783479999999,231.21698307991028,5712,285696,1.2247682325541973,0.0008541403052973655,0.007963927422679262,0.00881806772797663
-9.43770718,232.02459979057312,5732,286720,1.2163109928369522,-0.0011316647298703518,0.005968467370621511,0.004836802640751159
-9.056246660000001,232.8747580051422,5752,287744,1.2187552470713854,-0.00042003842831314,0.008660871839310857,0.008240833410997718
-9.21943358,233.70494675636292,5772,288768,1.237693551927805,-0.002287113621130028,0.0074837464235315565,0.0051966328024015285
-8.294872459999999,234.52629923820496,5792,289792,1.2474229075014591,0.0011534812942412534,0.006643647804594366,0.007797129098835619
-8.02122028,235.33017110824585,5816,290816,1.2418605126440525,-0.0013452821594806571,0.006764753170500626,0.005419471011019969
-8.272257499999998,236.12141871452332,5836,291840,1.2368046343326569,0.0026334876848156208,0.006069538274459774,0.008703025959275395
-8.358654360000001,236.96036195755005,5856,292864,1.229760428890586,-0.00040720219503045544,0.006004334054523497,0.005597131859493041
-8.60528794,237.6831636428833,5876,293888,1.2230284623801708,0.0005701255369328019,0.0073460939529468305,0.007916219489879632
-8.245187979999999,238.50730848312378,5896,294912,1.2174835409969091,0.0038070624587728877,0.005728913205530262,0.00953597566430315
-8.71554124,239.43089056015015,5916,295936,1.2117924019694328,-0.00010997722033041562,0.006360465018588002,0.006250487798257587
-9.52755372,240.2590126991272,5936,296960,1.2042486555874348,-0.003769142083077371,0.009711966531540384,0.005942824448463013
-8.6950662,241.07905077934265,5956,297984,1.2006244044750929,0.0003386256712255175,0.006999630093559972,0.0073382557647854885
-8.56349316,241.88515520095825,5980,299008,1.1984612625092268,-0.0016123896770005456,0.0050899065972771496,0.003477516920276604
-8.77976706,242.73421049118042,6000,300032,1.196283970028162,0.0011770124560378898,0.009196177030389663,0.010373189486427552
-8.833928199999999,243.502117395401,6020,301056,1.1955799981951714,-0.004190473002837551,0.006671060880762525,0.0024805878779249743
-9.32147444,244.36037230491638,6040,302080,1.2044268064200878,-0.0013589663106374538,0.007903784246082068,0.0065448179354446155
-8.383085720000002,245.12090873718262,6060,303104,1.2090905625373125,-0.0008242813924258787,0.006500362492261047,0.005676081099835167
-8.157291019999999,245.93568015098572,6080,304128,1.2172984462231398,0.0012733595482943639,0.005422352094683447,0.006695711642977811
-8.268862219999999,246.7032949924469,6100,305152,1.222575530409813,0.0028061784433927586,0.008342967894350295,0.011149146337743054
-8.36087454,247.55511164665222,6120,306176,1.2227872479707003,0.00029590538017103653,0.005147115745785413,0.005443021125956449
-8.643236980000001,248.3633725643158,6144,307200,1.232337724417448,0.001935917015272113,0.007215250602712331,0.009151167617984443
-8.74724096,249.15791392326355,6164,308224,1.232719937339425,0.001138919832198458,0.007171205138547521,0.008310124970745979
-8.80695524,250.03213381767273,6184,309248,1.2280816864222288,-0.002724347917644792,0.007605606771903695,0.004881258854258903
-8.60896224,250.859135389328,6204,310272,1.2309865821152925,0.0012935213089624563,0.007060641153657343,0.008354162462619798
-7.846274159999999,251.85515093803406,6224,311296,1.2330803275108337,-0.0020071784248884444,0.005560618476920354,0.0035534400520319098
-7.4311907999999995,252.8654909133911,6244,312320,1.230676382780075,0.0014603584755930204,0.006587466197743197,0.008047824673336217
-7.44981988,253.81642031669617,6264,313344,1.2274307552725077,0.00139699960850562,0.004475984458622406,0.005872984067128027
-8.03886716,254.54059314727783,6284,314368,1.2311322670429945,-0.00018985950668725965,0.005438738381599251,0.005248878874911992
-8.40279272,255.3451704978943,6304,315392,1.2331378739327192,-0.0016446991835667906,0.007683241648010153,0.006038542464443361
-8.64238134,256.1676080226898,6328,316416,1.2287912368774414,-0.0011587038533626963,0.005567541038544732,0.004408837185182035
-9.036412820000002,256.94554114341736,6348,317440,1.2216289080679417,-0.0014501820203527114,0.009373540566230076,0.007923358545877364
-9.31458948,257.70429968833923,6368,318464,1.2153621017932892,-0.002714376639992595,0.007737199698567565,0.0050228230585749704
-9.6453343,258.5614025592804,6388,319488,1.2211100962013006,0.0005884210498509023,0.006337677148621879,0.006926098198472782
