novelty,total_time,n_koeff,reward,iteration
0.2406367261644184,53.10960626602173,2.3999999999999995,205.56928316350496,405
0.17437558551174953,53.225478172302246,2.4499999999999993,209.46248434700738,406
0.15989128328741442,53.35699939727783,2.4499999999999993,212.59246629161052,407
0.18109994358528814,53.49501323699951,2.4499999999999993,214.99705683611552,408
0.1640195909006393,53.65774321556091,2.4499999999999993,216.8164865301347,409
0.18485972108570292,53.780160665512085,2.4499999999999993,219.77007007307796,410
0.2892336434183148,53.89605760574341,2.499999999999999,221.09106338527056,411
0.16877447582453142,54.01192879676819,2.499999999999999,221.293475096306,412
0.4409228882993719,54.12775897979736,2.499999999999999,220.93909155700646,413
0.18826660099903647,54.24372625350952,2.499999999999999,220.3758760939746,414
0.3520180764680971,54.35959053039551,2.499999999999999,217.78432950213417,415
0.26754554199632,54.46640682220459,2.549999999999999,217.043619387822,416
0.1365862186855645,54.582338094711304,2.549999999999999,217.81329925176,417
0.3092112407824143,54.68255639076233,2.549999999999999,216.3724934677383,418
0.43571044110222645,54.798418045043945,2.549999999999999,216.18741410429683,419
0.11792808394081919,54.929911375045776,2.549999999999999,218.78545325018837,420
0.2923172661897976,55.0458447933197,2.5999999999999988,219.16932934197376,421
0.18265865825243743,55.14607095718384,2.5999999999999988,217.6984028153366,422
0.311141365444268,55.284077167510986,2.5999999999999988,217.86463435973295,423
0.14841159932354311,55.38432574272156,2.5999999999999988,218.21920336645152,424
0.15724280182726197,55.500277280807495,2.5999999999999988,219.27257015123388,425
0.18227755644518384,55.6161413192749,2.6499999999999986,220.73446677144892,426
0.17144976093203518,55.7319769859314,2.6499999999999986,224.0678490185605,427
0.26791821179645414,55.847838401794434,2.6499999999999986,222.95384648487,428
0.16366136292500638,55.948134422302246,2.6499999999999986,223.47739932208543,429
0.1560713236369254,56.07054400444031,2.6499999999999986,225.71897638735103,430
0.19105132104938713,56.1864492893219,2.6999999999999984,225.22712728591853,431
0.29620353077056405,56.28672647476196,2.6999999999999984,221.2168427943607,432
0.17753948790415322,56.418222188949585,2.6999999999999984,218.9988134912605,433
0.1567997477408328,56.53415131568909,2.6999999999999984,218.6525457451299,434
0.23127250751527906,56.67219114303589,2.6999999999999984,217.73531941254853,435
0.1586419478182795,56.7881646156311,2.7499999999999982,213.46711153802852,436
