n_koeff,iteration,reward,novelty,total_time
0.0,87,152.98301636672747,0.01899909086764697,17.19394612312317
0.0,88,153.53380485670573,0.023669742653730622,17.36320209503174
0.0,89,155.57561817637492,0.021468686418302668,17.516825199127197
0.0,90,156.28087280206648,0.018847441630847634,17.679561614990234
0.0,91,157.36470984373543,0.025991348328185934,17.848849296569824
0.0,92,158.83278432493051,0.024079464301254457,18.018080234527588
0.0,93,159.54929797327418,0.021451992094172718,18.180819511413574
0.0,94,161.22127232545097,0.01805238530184232,18.33452081680298
0.0,95,161.42461232500145,0.023579990958606464,18.497314929962158
0.0,96,162.36463650967096,0.02205589719128246,18.66659379005432
0.0,97,162.9168319875477,0.016846874390909164,18.82020139694214
0.0,98,163.84296396885148,0.014890986923819332,18.99855875968933
0.0,99,163.84862586200157,0.023593963845993403,19.152191162109375
