train/total_loss,Progress,rollout/ep_rew_mean,train/value_loss,train/entropy_loss,time/total_time,rollout/ep_len_mean,time/total timesteps,train/policy_gradient_loss
0.09724652860313654,40.83%,8.27,0.11126628685742616,-1.1179919004440309,2631.7662143707275,1613.1,409600,-0.0028398379683494566
0.0747733375057578,42.11%,8.15,0.08631057403981686,-1.100882339477539,2711.9019207954407,1587.68,422400,-0.0005284149199724197
0.032510781660676,43.39%,8.12,0.04797906056046486,-1.0711300253868103,2786.234463453293,1592.97,435200,-0.004756979085505009
0.029125608317553998,44.67%,7.74,0.04476598855108023,-1.0785979747772216,2859.673609495163,1588.7,448000,-0.004854400828480721
0.019837945699691772,45.95%,7.84,0.033655783534049986,-0.9934631586074829,2929.949696779251,1599.45,460800,-0.003883206658065319
0.02508579269051552,47.23%,8.41,0.03921803291887045,-1.0068541705608367,3004.282683134079,1640.9,473600,-0.004063699208199978
0.15337479561567308,48.51%,9.54,0.16622021980583668,-0.956599360704422,3075.502474308014,1773.13,486400,-0.003279430791735649
0.09508893825113773,49.79%,10.2,0.11512087248265743,-1.002785289287567,3147.7255108356476,1842.08,499200,-0.010004080459475517
0.04858176670968532,51.07%,10.14,0.0653757844120264,-1.045188170671463,3222.1332972049713,1807.39,512000,-0.006342136114835739
0.07882653884589672,52.35%,10.21,0.08626384139060975,-0.9334684610366821,3295.5424876213074,1836.72,524800,0.0018973827362060546
0.023461294174194337,53.63%,9.24,0.040261630713939664,-1.0018417179584502,3382.2623291015625,1752.54,537600,-0.006781919207423925
0.05180881042033434,54.91%,9.19,0.06804026700556279,-0.9618693351745605,3481.5749804973602,1720.12,550400,-0.006612763926386833
0.05331267938017845,56.19%,9.19,0.06985933631658554,-0.962772935628891,3572.159668445587,1702.27,563200,-0.0069189279340207575
0.05261419825255871,57.47%,8.92,0.07180090434849262,-1.0240809977054597,3663.4947922229767,1645.38,576000,-0.008945896103978158
0.03374672140926123,58.75%,8.56,0.04490969981998205,-0.8816077888011933,3753.73099899292,1649.6,588800,-0.002346900664269924
0.10362729392945766,60.03%,8.48,0.11901567950844764,-0.9549352943897247,3846.8910880088806,1640.72,601600,-0.005839033424854279
