num_episodes,total_time,ep_rew_mean,total timesteps,total_loss,value_loss,entropy_loss,policy_gradient_loss
1860,81.53589701652527,-13.31133602,93184,0.009338582532311655,0.007670050628803438,0.3696210370399058,0.0016685319035082181
1884,82.55188345909119,-13.43553384,94208,0.012176033315818178,0.006156716957775643,0.3814852489158511,0.006019316358042535
1904,83.50829911231995,-13.376399079999999,95232,0.016846176010711457,0.012096566235413775,0.39382759761065245,0.004749609775297682
1924,84.43018889427185,-13.67153838,96256,0.015644562800303366,0.009610291264834814,0.40412722108885646,0.0060342715354685505
1944,85.33651161193848,-13.450598560000001,97280,0.01487124726964398,0.011420060400268994,0.40611066250130534,0.0034511868693749845
1964,86.20916843414307,-11.78419382,98304,0.015481514659639052,0.009323299767856952,0.40952622098848224,0.0061582148917821
1984,87.08782887458801,-12.032078180000001,99328,0.02410532124528363,0.018625329161295667,0.4129142635501921,0.005479992083987962
2004,88.00971913337708,-13.4933043,100352,0.014420432122662554,0.012024901014228817,0.4167441073805094,0.002395531108433736
2024,88.93387579917908,-13.998911020000003,101376,0.01741391405951143,0.010044184149592184,0.426824024412781,0.007369729909919245
2048,90.02514386177063,-13.618563880000002,102400,0.022487485205524634,0.02036115201190114,0.4358968688175082,0.002126333193623494
2068,91.00452828407288,-13.44800914,103424,0.025081956822648153,0.018383277601969894,0.44154017651453614,0.0066986792206782594
2088,91.86366987228394,-13.933916960000001,104448,0.01159907593902978,0.009400364593602717,0.4496114212088287,0.0021987113454270623
2108,92.88228297233582,-13.433779959999999,105472,0.012495337215159946,0.007530831389885861,0.45673712668940425,0.0049645058252740844
2128,93.88270807266235,-13.222224619999997,106496,0.01036723120232826,0.008088873510132544,0.46248259861022234,0.0022783576921957148
2148,94.78626990318298,-13.279978820000002,107520,0.01450440368683871,0.01029741768434178,0.46535265212878585,0.004206986002496927
2168,95.76634907722473,-12.56459128,108544,0.0157162740900479,0.01004264218499884,0.46096091996878386,0.005673631905049059
2188,97.01306533813477,-12.716654100000001,109568,0.012208442248806224,0.009875379706500098,0.4551338688470423,0.002333062542306125
2208,98.03328561782837,-12.082389279999997,110592,0.015245270521517754,0.010500357202545274,0.4538424387574196,0.004744913318972481
2232,99.01101064682007,-13.30867714,111616,0.013311344538422028,0.00853570021718042,0.4568487908691168,0.004775644321241609
2252,99.89583373069763,-13.00635472,112640,0.01110637481878134,0.004370348728116369,0.46211927430704236,0.006736026090664971
2272,101.00290131568909,-13.133247379999998,113664,0.006189861006150401,0.006354680550430203,0.47553241113200784,-0.00016481954427980197
2292,101.91832613945007,-12.8388481,114688,0.00811915823130092,0.006536522188980598,0.48767511919140816,0.001582636042320321
2312,102.89573264122009,-12.24073382,115712,0.0069833440045260365,0.004698531476606149,0.496107644867152,0.0022848125279198873
2332,103.85909247398376,-12.54899914,116736,0.015573922154992018,0.006677675759419799,0.5025328644551337,0.008896246395572219
2352,104.82338213920593,-11.942959480000003,117760,0.006256157346813818,0.005647982870868873,0.5100594963878393,0.0006081744759449444
2372,105.79459762573242,-11.37141058,118784,0.015547027746063303,0.006385080094332807,0.5117865735664964,0.009161947651730496
2396,106.96452307701111,-11.665981980000002,119808,0.0075201156793055675,0.00546902746646083,0.5186630608513951,0.002051088212844738
2416,108.13537812232971,-11.64904036,120832,0.01305602479362131,0.0057647273351904005,0.5304089700803161,0.007291297458430909
2436,109.57693934440613,-11.493894839999998,121856,0.008511030522462644,0.007462630001100479,0.5421554101631045,0.001048400521362164
2456,110.8474907875061,-11.5994009,122880,0.010609855058376683,0.00857574649489834,0.5519387722015381,0.0020341085634783427
2476,111.89022755622864,-11.574928939999998,123904,0.011885080829586468,0.006670845948974602,0.5586255872622132,0.0052142348806118646
2496,112.8531436920166,-11.561334960000002,124928,0.006946927395141678,0.0051636334937938955,0.5643257116898894,0.001783293901347783
2516,113.7979691028595,-11.72868374,125952,0.011321735134687875,0.006138902223028708,0.5713914204388857,0.005182832911659168
2536,114.70926094055176,-12.317892519999997,126976,0.009098496232366075,0.00718253309969441,0.5811054576188326,0.0019159631326716654
2560,115.68653202056885,-12.16734062,128000,0.011707093470751186,0.008287097094580531,0.5903126271441579,0.003419996376170656
2580,116.68633365631104,-11.502127359999998,129024,0.012023780695959949,0.007724980932835024,0.59461176302284,0.004298799763124925
2600,117.58244633674622,-11.29323044,130048,0.012276433808594242,0.007389243892248487,0.599794958718121,0.004887189916345754
2620,118.48640298843384,-11.35196808,131072,0.008805706144026582,0.004347868107288377,0.5999651551246643,0.004457838036738205
