num_episodes,total timesteps,total_time,ep_rew_mean,total_loss,value_loss,policy_gradient_loss,entropy_loss
980,49152,34.848008155822754,-20.27928282,0.018961587336579048,0.016012675150705036,0.002948912185874012,-0.1808785106986761
1000,50176,35.542662620544434,-20.464300719999997,0.013022364197344545,0.013735247222939506,-0.0007128830255949632,-0.1558042960241437
1024,51200,36.351250410079956,-19.81987556,0.019716194946967615,0.01602399518014863,0.0036921997668189857,-0.14523965772241354
1044,52224,37.08388566970825,-19.94006476,0.021628810500181117,0.01291191025666194,0.008716900243519177,-0.1286089587956667
1064,53248,37.810882329940796,-19.299352839999997,0.0173460841811691,0.013499714536010288,0.003846369645158807,-0.10978808533400297
1084,54272,38.57721710205078,-19.201856820000003,0.01740153873769565,0.0127049775182968,0.004696561219398849,-0.0924691567197442
1104,55296,39.326600074768066,-17.69351234,0.015994172147942624,0.011515548700117506,0.0044786234478251166,-0.08597845677286386
1124,56320,40.144288778305054,-17.115488759999998,0.02905958499282729,0.02227469312492758,0.006784891867899707,-0.07546370662748814
1144,57344,40.954476833343506,-16.74655236,0.019582598837155407,0.01805357280682074,0.0015290260303346711,-0.056113580241799355
1164,58368,41.756901264190674,-16.59378528,0.01793674419440707,0.012181603648059536,0.0057551405463475355,-0.04705412406474352
1184,59392,42.54867959022522,-16.9558838,0.011139256698067299,0.0133419584526564,-0.0022027017545891013,-0.035046027041971684
1208,60416,43.23861598968506,-17.6005212,0.010862359140666536,0.012522512231953442,-0.001660153091286907,-0.01487759966403246
1228,61440,44.13429236412048,-17.4955319,0.012508997523775645,0.008843497133057099,0.003665500390718547,-0.001362653449177742
1248,62464,44.96625280380249,-17.80125774,0.010264171687998097,0.007893207213783171,0.0023709644742149266,0.016655183397233486
1268,63488,45.689897298812866,-17.30313236,0.009709044995756104,0.009563632112985943,0.0001454128827701604,0.03714280854910612
1288,64512,46.45381188392639,-16.24553678,0.019002705460217255,0.015168207908573095,0.0038344975516441593,0.05990690924227238
1308,65536,47.15828466415405,-15.911418540000001,0.01309874385179321,0.010096762656758074,0.0030019811950351355,0.06971214525401592
1328,66560,47.854084968566895,-15.47924178,0.017572750819009414,0.011276981116679963,0.006295769702329451,0.08059405535459518
1348,67584,48.55667805671692,-15.751523539999999,0.022363004619401418,0.013633958362333942,0.00872904625706748,0.09269655216485262
1372,68608,49.305915117263794,-16.17734208,0.019059294317594802,0.01790030990378,0.0011589844138148008,0.10341753903776407
1392,69632,49.989553689956665,-16.13295684,0.016510755420874067,0.01137700270919595,0.0051337527116781185,0.11381230317056179
1412,70656,50.68902230262756,-15.958681480000001,0.015090634763774952,0.008349731338967104,0.006740903424807848,0.12795344647020102
1432,71680,51.389058351516724,-14.779786080000001,0.012773958039336003,0.00788642120824079,0.004887536831095214,0.1333685340359807
1452,72704,52.14182162284851,-14.372087900000002,0.011238118094004941,0.006546429674926912,0.004691688419078028,0.13489579036831856
1472,73728,52.90430021286011,-14.82967926,0.015517130756985664,0.00941850699018687,0.006098623766798794,0.13879329804331064
1492,74752,53.631285667419434,-14.663358599999999,0.008893109447538863,0.007253604311699746,0.001639505135839118,0.14988589752465487
1512,75776,54.38946270942688,-14.38718296,0.013508902740119115,0.006769155599613441,0.006739747140505673,0.16151454113423824
1536,76800,55.090439558029175,-13.8982102,0.007585833783156291,0.006422792223020224,0.0011630415601360663,0.18257020134478807
1556,77824,55.8609516620636,-14.2699818,0.014252892754311837,0.006140552057331661,0.008112340696980176,0.18974217399954796
1576,78848,56.73457050323486,-14.375022719999999,0.007426355806541133,0.00520330559447757,0.0022230502120635636,0.19457033276557922
1596,79872,57.559873819351196,-14.84423168,0.0149271467927342,0.010810791594849434,0.004116355197884765,0.1975827356800437
1616,80896,58.28596258163452,-14.282563819999998,0.008249829150559907,0.007379492963082157,0.0008703361874777495,0.19460321869701147
1636,81920,58.97627115249634,-14.529493639999998,0.00866218466167363,0.007562478240288328,0.0010997064213853019,0.19628318026661873
1656,82944,59.68330240249634,-14.444919880000002,0.005880823743475986,0.005205541041505057,0.0006752827019709282,0.19508821051567793
1676,83968,60.43173861503601,-14.54882998,0.007161827859102722,0.006194104233145481,0.000967723625957241,0.19749735575169325
1696,84992,61.157283306121826,-14.575300440000001,0.011713313811949932,0.0050506047718954505,0.006662709040054482,0.20446948241442442
1720,86016,61.83189296722412,-13.523468219999998,0.007728735296771072,0.0034127708240703214,0.0043159644727007495,0.2139534940943122
1740,87040,62.55000925064087,-12.877379859999998,0.007231633713745677,0.004788049027411034,0.002443584686334643,0.2241789735853672
1760,88064,63.249078035354614,-13.02244162,0.006685772073097241,0.004093425373866921,0.002592346699230319,0.24399573914706707
1780,89088,63.94133400917053,-13.33621516,0.009765830424927877,0.007013105056103086,0.0027527253688247907,0.26186447963118553
1800,90112,64.66173100471497,-14.034682059999998,0.005280522909105703,0.005128879078256432,0.0001516438308492719,0.2695153187960386
1820,91136,65.43494248390198,-13.954374580000001,0.009940308570653136,0.004997543299396057,0.004942765271257079,0.2874848321080208
1840,92160,66.11201643943787,-13.49096432,0.012581250718431584,0.005774294957518578,0.006806955760913004,0.3022913495078683
1860,93184,66.88486623764038,-13.149411320000002,0.014281453459803545,0.0059143907492398284,0.008367062710563715,0.3177129225805402
1884,94208,67.6105809211731,-13.633645699999999,0.007604731637116064,0.008402571787883062,-0.0007978401507669987,0.3299983600154519
1904,95232,68.40897560119629,-13.6228226,0.010470325347570713,0.007663112173759146,0.002807213173811567,0.3378860931843519
1924,96256,69.17149543762207,-12.958810819999998,0.007804108769560996,0.005752883866080083,0.0020512249034809124,0.3413131074048579
1944,97280,69.9634919166565,-13.049328440000002,0.013091677842822228,0.008267282657470787,0.004824395185351442,0.3459645719267428
1964,98304,70.72898483276367,-13.049666260000002,0.0060507866811128725,0.004658033918531146,0.0013927527625817262,0.3616946619004011
1984,99328,71.43699550628662,-13.033568939999999,0.011561685582201059,0.0056638150999788195,0.005897870482222237,0.3711113762110472
2004,100352,72.32487750053406,-12.65323076,0.014422569082321202,0.008965677094238345,0.005456891988082857,0.37710114661604166
2024,101376,73.13112735748291,-12.44700724,0.018782697246905972,0.006745537033566507,0.012037160213339466,0.3799187932163477
2048,102400,73.98853635787964,-11.578420739999999,0.00943397988784845,0.006344102934235707,0.0030898769536127427,0.38606058107689023
2068,103424,74.71551012992859,-12.2726245,0.009799993656291018,0.009166134623228572,0.0006338590330624445,0.39080472476780415
2088,104448,75.45800471305847,-13.50304218,0.01032072665936489,0.00693791157391388,0.003382815085451009,0.3917187028564513
2108,105472,76.22164726257324,-13.95851172,0.008663194160793346,0.010884556009841617,-0.0022213618490482703,0.4038240578956902
2128,106496,76.94979071617126,-13.395289700000003,0.01831203309440662,0.009633614972699434,0.008678418121707185,0.4156683860346675
2148,107520,77.69150018692017,-13.11521784,0.013867659490932506,0.008556159766158089,0.005311499724774417,0.41377576859667897
2168,108544,78.52441096305847,-12.942281439999999,0.011432321514102064,0.008065811362030217,0.003366510152071846,0.42328384332358837
2188,109568,79.21122455596924,-13.4672469,0.01804122698366136,0.008946209047280718,0.009095017936380644,0.4406009539961815
2208,110592,79.90904259681702,-12.627121420000002,0.019089233272590756,0.011500577034894377,0.007588656237696379,0.44626767095178366
2232,111616,80.56949973106384,-12.278362099999999,0.025783321629075574,0.01461121451575309,0.011172107113322482,0.4522063690237701
2252,112640,81.3203718662262,-13.291419139999999,0.015534056690943203,0.009736365114804357,0.005797691576138846,0.4565922482870519
2272,113664,82.01728796958923,-14.71093408,0.011895805522990358,0.011545795656275004,0.00035000986671535457,0.4645993313752115
2292,114688,82.77438926696777,-14.359249780000003,0.017242755353714,0.010363194131059572,0.006879561222654428,0.4711419618688524
2312,115712,83.56280326843262,-13.302281,0.011514907391569188,0.010639898959198035,0.0008750084323711532,0.47329526068642735
2332,116736,84.29335236549377,-13.525089879999998,0.006890237923013779,0.009066053797141649,-0.002175815874127871,0.47903999127447605
2352,117760,84.9822449684143,-13.1759127,0.014043065719568293,0.006146914609416854,0.007896151110151439,0.4843873595818877
2372,118784,85.72541236877441,-12.307852559999999,0.01448486282316712,0.011384769066353329,0.0031000937568137913,0.4919241373427212
2396,119808,86.49411940574646,-11.754325580000001,0.019794227183636857,0.007443517071806127,0.01235071011183073,0.5007390533573925
2416,120832,87.15658450126648,-12.172425459999998,0.015870084149719667,0.010060454747872427,0.005809629401847238,0.506692735478282
2436,121856,88.02166724205017,-12.604328839999999,0.009562602807089537,0.008034595230128616,0.0015280075769609205,0.513259744271636
2456,122880,88.89056706428528,-11.57989612,0.004215933174862146,0.005388405115809292,-0.0011724719409471444,0.5158387934789062
2476,123904,89.71224927902222,-10.819619440000002,0.011238589621048583,0.006917739028722281,0.004320850592326303,0.5235590087249875
2496,124928,90.48053574562073,-10.56282226,0.016270387215907352,0.006076317138649756,0.010194070077257596,0.5382778001949191
2516,125952,91.19544172286987,-10.698911579999999,0.005069631763904035,0.007405516385915689,-0.002335884622011653,0.5390192437916994
2536,126976,91.9309504032135,-10.30972248,0.011853888849904307,0.004751713822770398,0.0071021750271339085,0.5423001050949097
2560,128000,92.67365980148315,-10.95533092,0.008467832742811713,0.006988689659920055,0.0014791430828916582,0.5539932074025273
2580,129024,93.35278558731079,-11.3727205,0.010205921571082483,0.012716513723717071,-0.002510592152634587,0.5667228493839502
2600,130048,94.08225297927856,-10.748888200000001,0.015242580139182877,0.010557121560850646,0.004685458578332231,0.5793639263138175
2620,131072,94.81002449989319,-10.440386940000002,0.013158258123321057,0.007876918443798786,0.0052813396795222695,0.5837202444672585
2640,132096,95.55040645599365,-10.36911352,0.010384132697227887,0.0049056564985221485,0.005478476198705739,0.5886734630912542
2660,133120,96.29124641418457,-10.249396099999998,0.012087333792785282,0.007423196326271864,0.004664137466513418,0.5964882560074329
2680,134144,96.92846417427063,-11.079115920000001,0.014279901552396009,0.009890571025607642,0.004389330526788366,0.5995682971552014
2700,135168,97.60653805732727,-11.005208499999998,0.012247881206377088,0.009829935908783227,0.0024179452975938618,0.613415134139359
2720,136192,98.29362392425537,-10.29350676,0.010349620846130336,0.007912439934443682,0.0024371809116866547,0.6132347946986556
2744,137216,99.03849196434021,-9.24022098,0.011557499949638759,0.008800264138699276,0.0027572358109394816,0.6011770386248827
2764,138240,99.83500981330872,-9.67941746,0.0067434114216186145,0.0076708495944330934,-0.0009274381728144778,0.5959169110283256
2784,139264,100.54233860969543,-10.08200712,0.009853880679852513,0.007707879507506732,0.002146001172345782,0.5933232344686985
2804,140288,101.28719425201416,-10.25499858,0.01687700536735361,0.00941268644965021,0.0074643189177034,0.591987781226635
