num_episodes,total timesteps,total_time,ep_rew_mean,total_loss,entropy_loss,value_loss,policy_gradient_loss
2146,115712,83.16248035430908,388.64,4.56891141454566,-0.36871026642620564,4.56616492010653,0.002746494439129381
2146,116736,83.94711399078369,388.64,1.6064134360292082,-0.36405613645911217,1.6062753566075116,0.000138079421696631
2146,117760,84.62860107421875,388.64,0.06881315099848159,-0.36401015520095825,0.0673549780040048,0.001458172994476788
2149,118784,85.35695934295654,434.78,0.06825124510943435,-0.35011274367570877,0.06749161065090448,0.0007596344585298788
2150,119808,86.09954047203064,452.62,5.054834835306135,-0.3497550282627344,5.05703972838819,-0.002204893082055407
2150,120832,86.82827091217041,452.62,1.6310506259990296,-0.3517470099031925,1.622179844416678,0.008870781582351623
2150,121856,87.57843327522278,452.62,0.12417067100339252,-0.33970283158123493,0.12529427278786898,-0.001123601784476454
2153,122880,88.3178596496582,497.02,0.10108832498387565,-0.34035941399633884,0.0963390176766552,0.0047493073072204526
2156,123904,89.05633091926575,517.72,6.104840492983216,-0.33345801942050457,6.1014618538320065,0.003378639151209451
2161,124928,89.86288952827454,530.38,16.015322859195795,-0.3265763111412525,16.0140936197713,0.0012292394244939812
2165,125952,90.63249564170837,538.76,37.42196808007993,-0.34215410239994526,37.394142627716064,0.027825452363863714
2173,126976,91.46890187263489,523.48,25.32311867467136,-0.3524232916533947,25.296382823958993,0.026735850712366453
2179,128000,92.2617712020874,514.44,48.560200093602134,-0.35463815927505493,48.537089705467224,0.023110388134910224
2186,129024,93.01814389228821,473.28,21.297427372204865,-0.36643511801958084,21.29536747932434,0.002059892880522581
2191,130048,93.73982095718384,404.78,17.696718142729758,-0.3787476997822523,17.693981267511845,0.002736875217911365
2196,131072,94.45661091804504,323.28,8.004379710485468,-0.371904032304883,7.997623996809125,0.006755713676342775
2202,132096,95.15050482749939,228.46,5.457309139549679,-0.35424007661640644,5.454460173845291,0.002848965704388398
2206,133120,95.85320782661438,195.7,4.837623478509005,-0.3477606326341629,4.836578581482172,0.0010448970268320972
2211,134144,96.55026268959045,190.6,2.776132361657985,-0.35021858289837837,2.773303359746933,0.002829001911052261
2215,135168,97.28293085098267,184.12,2.623091741974764,-0.3487865999341011,2.6216473057866096,0.0014444361881538713
2219,136192,98.04123306274414,188.64,1.7127730358845161,-0.34513299353420734,1.711672124452889,0.0011009114316273792
2223,137216,98.74288511276245,198.6,1.262646425371901,-0.3588045500218868,1.2632432132959366,-0.0005967879240354357
2227,138240,99.48727679252625,208.88,1.0797101953468053,-0.36233013682067394,1.078060956671834,0.0016492386749712516
2230,139264,100.18445491790771,211.86,0.9818094374743769,-0.35999493673443794,0.9829510529525578,-0.0011416154781809223
2234,140288,100.90722846984863,221.94,0.651969219040418,-0.3561763782054186,0.6502870605327189,0.001682158507699086
2237,141312,101.60429501533508,233.34,0.7236625395445552,-0.3416178449988365,0.7238573103677481,-0.00019477082319298484
2238,142336,102.40898609161377,239.26,0.5722119085540383,-0.32888975739479065,0.5697578978724778,0.0024540106815603892
2238,143360,103.2066695690155,239.26,0.22282126652414333,-0.33221155405044556,0.22374443337321281,-0.0009231668490694907
2238,144384,103.92495584487915,239.26,0.2511908046019349,-0.3469651658087969,0.24580550170503557,0.005385302896899335
2241,145408,104.63664293289185,288.58,0.15788148742101077,-0.34611502662301064,0.15041429246775806,0.007467194953252697
2242,146432,105.31528878211975,305.02,2.5068082752401026,-0.32349669374525547,2.5084265787154436,-0.0016183034753409794
