total_time,n_koeff,novelty,reward,iteration
32.987131118774414,0.0,0.005,-46.41812695432558,95
33.30129027366638,0.05,0.005,-45.098998449772004,96
33.65235161781311,0.0,0.005,-43.874838315030345,97
33.99344086647034,0.0,0.005,-42.645508049629946,98
34.32355737686157,0.0,0.005,-41.34074202870761,99
34.68359351158142,0.0,0.005,-39.95018022544596,100
34.97581219673157,0.0,0.005,-38.692796191662545,101
35.28897547721863,0.05,0.005,-37.44908203104985,102
35.56224513053894,0.0,0.005,-36.513888808729185,103
35.841498374938965,0.0,0.005,-35.12371330116307,104
36.125739336013794,0.0,0.005,-34.346944774535224,105
36.413243532180786,0.0,0.005,-33.860026737857346,106
36.696521282196045,0.05,0.005,-32.787008715651226,107
36.96776056289673,0.1,0.005,-32.34317107152322,108
37.245020389556885,0.05,0.005,-31.50369038566897,109
37.53424572944641,0.0,0.005,-31.257460495763265,110
37.81150436401367,0.0,0.005,-30.99076667904599,111
38.095744371414185,0.05,0.005,-30.75664160120669,112
38.385969400405884,0.1,0.005,-30.316466712717958,113
38.66326427459717,0.05,0.005,-30.00840082562443,114
38.948464155197144,0.1,0.005,-28.991855953253122,115
39.231173515319824,0.05,0.005,-28.365307897693057,116
39.52538728713989,0.1,0.005,-27.85231128594073,117
39.81062436103821,0.15000000000000002,0.005,-26.90332831740638,118
40.10686755180359,0.2,0.005,-26.153585594347,119
40.39509606361389,0.15000000000000002,0.005,-25.096983317688725,120
40.68728065490723,0.10000000000000002,0.005,-24.568044847302172,121
40.979498624801636,0.05000000000000002,0.005,-24.220152355385995,122
41.2747437953949,1.3877787807814457e-17,0.005,-23.859342213947386,123
41.56393551826477,0.05000000000000002,0.005,-23.05828855022231,124
41.86313533782959,1.3877787807814457e-17,0.005,-22.20339756579491,125
42.154356956481934,0.0,0.005,-21.856508695673515,126
42.46771478652954,0.0,0.005,-21.629899861965082,127
42.7579391002655,0.0,0.005,-21.158389343170292,128
43.06412363052368,0.0,0.005,-21.093520668460894,129
43.3563072681427,0.0,0.005,-20.836778079542178,130
43.65155053138733,0.0,0.005,-20.582080365450583,131
43.94672703742981,0.05,0.005,-20.507775000428083,132
44.22598075866699,0.0,0.005,-20.079978264049927,133
44.50998330116272,0.0,0.005,-19.98534830221988,134
44.82311248779297,0.0,0.005,-19.2728450307334,135
45.108383655548096,0.05,0.005,-19.29692795202705,136
45.40957808494568,0.0,0.005,-19.13394947353598,137
45.72972369194031,0.0,0.005,-19.02446352416515,138
