num_episodes,ep_rew_mean,total timesteps,total_time,total_loss,value_loss,entropy_loss,policy_gradient_loss
4270,206.79027581999995,278528,376.02360248565674,0.09543816698266266,0.0966128776610276,-1.191968043986708,-0.0011747106783649257
4348,221.17316904000003,286720,387.5090186595917,0.1417584764227132,0.14307861838969985,-1.178540638834238,-0.0013201419669866409
4425,217.74994322000003,294912,398.56913018226624,0.11316653133439547,0.11379166561746387,-1.1630969666875899,-0.000625134283068396
4502,222.27659802000002,303104,409.56332063674927,0.11104573506601614,0.11253482702377368,-1.148320576455444,-0.0014890919577575496
4577,222.8585068,311296,420.9849417209625,0.11998909012217826,0.12168917396047618,-1.1377162641845644,-0.001700083838297914
4649,231.38501938000002,319488,432.1758608818054,0.09708259955172305,0.0985987219697563,-1.1203961515799166,-0.0015161224180332532
4721,240.15927264000004,327680,443.7534918785095,0.08968221046550545,0.09071943782255402,-1.1007740573957563,-0.001037227357048574
4792,251.56875956,335872,455.2788236141205,0.0634790766522105,0.0645850261716987,-1.0846135430969297,-0.0011059495194881829
4863,253.73948199999998,344064,466.38735246658325,0.07295139812363143,0.0742207140683604,-1.0771619197912514,-0.0012693159447289641
4930,264.28364938,352256,477.172488451004,0.092325374987989,0.09372948475647717,-1.0551364972256123,-0.0014041097684881858
4998,265.1869751,360448,488.1397798061371,0.07091404230117378,0.0720135269984894,-1.0324505257420242,-0.0010994846973156154
5064,269.90011126,368640,499.12838220596313,0.07735905288823593,0.07789758011276718,-1.0185361583717167,-0.0005385272245312425
5130,276.66540872,376832,510.2431449890137,0.07523193882145263,0.07632980985727045,-0.9993872683029622,-0.0010978710358178205
5195,277.63403932,385024,521.2909600734711,0.06527322323418408,0.06587907025350433,-0.9803294493351131,-0.0006058470193202408
