total_time,ep_rew_mean,num_episodes,total timesteps,total_loss,entropy_loss,value_loss,policy_gradient_loss
746.0619027614594,1481.34546252,3487,581632,0.0276862125806974,-0.679453199915588,0.031648941839921466,-0.003962729259224063
756.3597102165222,1511.0717282599999,3502,589824,0.0217206842485893,-0.6735549275763333,0.024315532366017578,-0.0025948481174282788
766.5386126041412,1380.2291376,3523,598016,0.04416814632704179,-0.6557478681206703,0.048461884983407796,-0.004293738656366007
776.4844708442688,1435.4423171799997,3540,606208,0.05547696676810927,-0.6395252774935216,0.05893501680984627,-0.003458050041737002
786.953782081604,1292.1921399200003,3560,614400,0.021803871179977584,-0.6178462119307369,0.026347100694511027,-0.004543229514533444
797.2358717918396,1419.65968772,3575,622592,0.07983078515363873,-0.5964880966115743,0.08319581409741658,-0.0033650289437778757
807.5365216732025,1410.3784836,3593,630784,0.07759513933422779,-0.5817777570802718,0.08024447745192446,-0.0026493381176966755
817.9220824241638,1335.6541221799998,3615,638976,0.04494372005009271,-0.578735260013491,0.0490005865922285,-0.0040568665421358025
828.2910141944885,1076.42501652,3638,647168,0.07641425292697666,-0.5798688379582018,0.0803636621159967,-0.003949409189020037
838.9021887779236,1069.0225414,3661,655360,0.06515572942259583,-0.5806175893638283,0.06877325735877093,-0.0036175279361751024
849.2727801799774,1248.55669102,3675,663552,0.03610599185889864,-0.5738014352042228,0.041453707569598916,-0.005347715710700285
859.5638353824615,1456.5765657199997,3691,671744,0.08035917199549367,-0.5653526204172522,0.0834940986453148,-0.0031349266498211514
869.6134617328644,1503.9187867,3710,679936,0.08819618518505512,-0.5583516135811806,0.09134346209175419,-0.003147276906699071
880.0075149536133,1568.65164764,3722,688128,0.04582456076592537,-0.5425104740541429,0.05012963912522537,-0.004305078359299998
890.2600617408752,1574.7767883800004,3732,696320,0.08754678951105543,-0.5422165270894765,0.09037308368751837,-0.0028262941764629493
900.6609649658203,1707.5631878199995,3748,704512,0.04127717553106898,-0.5340024078730494,0.04498329398356873,-0.003706118452499753
911.2517204284668,1687.2467776399997,3766,712704,0.08648108169127826,-0.5254900497384369,0.08885255397362926,-0.002371472282350999
921.2269802093506,1554.2685695999999,3779,720896,0.07094874940220683,-0.5285313743166625,0.07393497866250982,-0.0029862292603029827
931.29274725914,1630.98437022,3791,729088,0.033164798723111955,-0.5165498960297554,0.03694524594520772,-0.0037804472220957603
941.549774646759,1750.8355025400003,3802,737280,0.046074558454051305,-0.5072976929135621,0.049615338696457914,-0.0035407802424066034
951.66992020607,1830.9548104599996,3816,745472,0.06443313782285602,-0.5039456398691982,0.06744905628384004,-0.0030159184609840086
961.9246733188629,1543.1171485799998,3836,753664,0.06862303898470014,-0.5014976895414293,0.07054744605356973,-0.001924407068869596
972.0958666801453,1557.7864370799998,3849,761856,0.07080966123647889,-0.4985209120903164,0.07419647950518993,-0.003386818268711044
982.5497887134552,1588.47151464,3860,770048,0.08305349196239216,-0.4920223340857774,0.08587282211537968,-0.0028193301529875164
992.7930400371552,1690.2347054800002,3872,778240,0.049778683924309106,-0.491568173840642,0.052391256057853754,-0.002612572133544649
1003.1839575767517,1743.4744122600002,3889,786432,0.0791309902229278,-0.4926712542772293,0.08200621159885486,-0.002875221375927063
1013.4283339977264,1510.3614519,3909,794624,0.023111021932110537,-0.49903139914385974,0.027736447840652545,-0.004625425908542007
1023.6070034503937,1238.3461997599998,3928,802816,0.03508625047655334,-0.49674144142773,0.03979516062827315,-0.004708910151719811
1033.648713350296,1256.6987086,3947,811008,0.03194506504273864,-0.4860265153693035,0.03636233513570915,-0.004417270092970509
1043.7450227737427,1186.96372886,3970,819200,0.044717181271383064,-0.4668584094382823,0.04892912510986207,-0.0042119438384790155
1053.9490020275116,1190.0669239,3987,827392,0.023501183457749486,-0.4428128024330363,0.027535321485993337,-0.0040341380282438504
1064.1393084526062,1283.9825563400002,4009,835584,0.027010786761398696,-0.4301878185244277,0.030581904784412473,-0.0035711180230137743
1074.4392745494843,1288.07229302,4027,843776,0.02216811701319537,-0.4147120720008388,0.026761234777222854,-0.004593117764027481
1084.924174785614,1144.8612631999997,4049,851968,0.019249993897364887,-0.39411257971078156,0.023971637374415877,-0.0047216434770509935
1095.1493048667908,1269.97920694,4065,860160,0.040275556342306604,-0.3722236787900329,0.044316973615423194,-0.00404141727311659
1105.516986131668,1404.9264908999999,4077,868352,0.04354125670422181,-0.35594104800838977,0.04695446170590003,-0.0034132050016782165
1116.0578961372375,1645.6591378799997,4092,876544,0.024330790919777672,-0.34776670578867197,0.028552210875386664,-0.00422141995560899
1126.4850969314575,1618.0513010200002,4109,884736,0.03828722578990913,-0.3364313315600157,0.041390129034516575,-0.0031029032446074486
1136.7200293540955,1877.9266737,4119,892928,0.020984082467095537,-0.3224906211020425,0.02489788434741058,-0.003913801880315046
1146.8699793815613,1970.8017505799999,4128,901120,0.06891198371412133,-0.3134164656279609,0.07026502304051974,-0.0013530393263984052
1156.951336145401,1991.5945185600003,4142,909312,0.05278533888510069,-0.3124741981271654,0.054560404711628506,-0.0017750658265278207
1167.1270174980164,2248.72456302,4153,917504,0.04869321186537714,-0.30288340519182383,0.05100238613795227,-0.0023091742725751306
1177.680008649826,2407.75453966,4162,925696,0.09156045439533475,-0.30473939566873015,0.09247933294609538,-0.0009188785507606432
1187.8265085220337,2072.49255446,4179,933888,0.09591418245891889,-0.31900493977591393,0.09791302652265585,-0.0019988440637369598
1197.9167935848236,1704.97661878,4197,942080,0.04221483667146788,-0.3213928145589307,0.044993638891901354,-0.002778802220433477
1208.2644975185394,1460.1232008200002,4213,950272,0.06092983981299509,-0.32053558588959274,0.06414474168377637,-0.003214901870781292
1218.6711976528168,1501.1684504399998,4227,958464,0.04055955355044348,-0.3252822565846145,0.04273324399109697,-0.002173690440653489
1228.9995636940002,1584.81188484,4245,966656,0.010753941075932211,-0.32212331737391653,0.014739290585930575,-0.003985349509998366
1239.3056809902191,1648.3701143,4258,974848,0.03203246763608496,-0.32232321572955697,0.03571429176154197,-0.0036818241254570143
1249.426574230194,1690.0161192799999,4271,983040,0.04167799261408672,-0.3115412868559361,0.04432710151777428,-0.0026491089036875582
1259.945919752121,1802.92225246,4283,991232,0.04562906773309823,-0.2995972911128774,0.04833490403052565,-0.0027058362974274166
1270.362951040268,1746.82357686,4300,999424,0.0564121667495832,-0.2929845227161422,0.05840736016489245,-0.0019951934153092576
1280.4822220802307,1745.7428850999997,4315,1007616,0.049020201827693524,-0.29206299057696017,0.05273782142976415,-0.003717619602070632
