total timesteps,total_time,ep_rew_mean,num_episodes,policy_gradient_loss,value_loss,entropy_loss,total_loss
532480,776.6692745685577,290.3347824,2191,-0.0013647468923589044,0.40369127634912727,-1.0988017127849161,0.40232652945676844
540672,788.941547870636,325.02908914,2250,-0.0013848655453986205,0.5091252606536727,-1.088205557782203,0.5077403951082742
548864,801.3096330165863,358.38799400000005,2307,-0.0012177450910825127,0.4418462669360451,-1.074572654440999,0.4406285218449626
557056,813.5222680568695,334.3822416,2364,-0.0018756270861013252,0.28989334747020623,-1.0622544054873289,0.2880177203841049
565248,826.0426323413849,364.50878096,2418,-0.0016907261315112616,0.4892316587793175,-1.0533571220003068,0.4875409326478063
573440,838.6259732246399,415.03136553999997,2471,-0.0015354955672126057,0.3873674266971648,-1.0397052638232709,0.3858319311299522
581632,850.7198610305786,440.72792856,2518,-0.0013582005782227275,0.3146618597122142,-1.0320934026502073,0.31330365913399144
589824,862.7557570934296,424.55356248000004,2570,-0.0013105513010822196,0.2363270471134456,-1.0251001924276353,0.23501649581236334
598016,874.6582148075104,460.11576098000006,2618,-0.001978545763932876,0.29122794163995425,-1.0223290232941509,0.28924939587602133
606208,886.4432353973389,515.5752425400001,2660,-0.0010477590630410022,0.3056925453391159,-1.018264166917652,0.3046447862760749
614400,898.0300331115723,498.14257096,2707,-0.0007258234786959828,0.25323262774327304,-1.0131856822408736,0.25250680426457706
622592,909.991096496582,518.43128018,2749,-0.0006781574538979867,0.4203663799038623,-0.9935483419336378,0.41968822244996423
630784,921.5734710693359,563.43278876,2787,-0.0008912090398258531,0.3287565742211882,-0.9838047196622938,0.3278653651813624
638976,933.5576009750366,578.01410018,2828,-0.0014518158245127334,0.22893197527446318,-0.9788670357782394,0.22748015944995048
647168,945.5358376502991,684.3689952799999,2857,-0.0014138475597852151,0.35152528251928744,-0.9625251407269388,0.3501114349595022
655360,957.5179674625397,791.1788578,2884,-0.001370417846082295,0.14030310265079607,-0.9530549599323421,0.13893268480471374
663552,969.4781949520111,865.0868634000002,2909,-0.0007135326650588185,0.1561905743641546,-0.9423278766218572,0.15547704169909576
671744,981.2055871486664,821.52103418,2940,-0.001658615012767057,0.11905020064587006,-0.9317270993255079,0.11739158563310301
679936,992.9748797416687,819.3079898200001,2969,-0.0009692973164298708,0.15123595474869944,-0.931469997856766,0.15026665743226958
688128,1004.6465339660645,846.9389397,2998,-0.0008490370912315893,0.12444086001123651,-0.91834546928294,0.12359182292000492
696320,1016.7440543174744,786.3463853400001,3029,-0.0007024757704467187,0.18594771209463942,-0.908467040816322,0.1852452363241927
704512,1028.5373957157135,827.5245223000001,3057,-0.001092194656127857,0.21384813765180297,-0.9026348922401667,0.21275594299567513
712704,1040.0955250263214,890.09558294,3085,-0.000905217645331848,0.09420267486202646,-0.8911994719877839,0.09329745721669462
720896,1051.682029247284,875.95294396,3113,-0.000978077911069445,0.0932944715503254,-0.8714078496675939,0.09231639363925595
729088,1063.4643564224243,867.9477748400001,3142,-0.000919904202936569,0.08653250139614102,-0.8604123353492469,0.08561259719320444
737280,1075.3851730823517,897.01811008,3171,-0.0014368774070190528,0.07908846219725092,-0.8466837354935706,0.07765158479023186
745472,1087.1534101963043,880.0701422600001,3198,-0.0015796362793726617,0.09822275362894288,-0.8328037858009338,0.09664311734957022
753664,1098.9098892211914,929.7776169399999,3226,-0.0011765879444116494,0.07496607260109159,-0.8197472477797418,0.07378948465667994
761856,1110.5380783081055,895.4862954200001,3256,-0.001402239225354805,0.06488431467223563,-0.8034931781701744,0.06348207544688082
770048,1122.2193472385406,885.7966338800001,3282,-0.0012971022289049766,0.08543984276766423,-0.797656302433461,0.08414274053875925
778240,1134.0480818748474,927.2943635,3309,-0.0007433736416047708,0.1172916790281306,-0.7913990222848952,0.11654830538652586
786432,1145.9057910442352,1004.1740374600001,3331,-0.0010411280705473515,0.23128201841536794,-0.7799078469630331,0.2302408903448206
794624,1157.648422718048,1124.7311465199998,3351,-0.00038654449075010034,0.07222585154740954,-0.7739275242667645,0.07183930705665945
802816,1169.3411622047424,1321.70054906,3365,-0.0010397503921927742,0.0857257489758922,-0.7590725671034306,0.08468599858369943
