total timesteps,mean_int_reward,ep_rew_mean,total_time,num_episodes,value_loss,total_loss,entropy_loss,policy_gradient_loss,intrinsic_loss
573440,5.1543507e-14,6968.766320300001,885.1987245082855,21307,1.5633249941747636,1.569578036068045,0.9610611068084836,0.00625141162304139,3.260540479466112e-06
581632,3.6567127e-14,7016.347932139999,898.2058157920837,21317,1.217968602135079,1.2230887539905664,0.9554638950154185,0.005120043435609403,2.168397561404245e-07
589824,1.3896331e-14,7374.45218904,911.3203971385956,21328,1.235996068228269,1.2417122148037354,0.930342672765255,0.005714575732921877,3.1416850889171012e-06
598016,1.1444439e-14,7260.696705760001,923.6137471199036,21339,1.464808900168282,1.4752860301385253,0.9066475378349423,0.010476705196049563,8.495483873015297e-07
606208,9.985139e-15,7679.77901982,936.1244168281555,21349,1.3354743689560564,1.3408003182513313,0.9046990334056317,0.005325479833354723,9.389238403066657e-07
614400,6.7847987e-15,7428.686787820001,948.4744491577148,21358,1.2129388339002616,1.2191748396400264,0.9128306308761239,0.006235356517402556,1.298444724385367e-06
622592,1.4438635e-13,7269.30042184,961.6151990890503,21369,1.2984012230823283,1.3054937045343291,0.9037899416871369,0.007091368800910147,2.225302181600719e-06
630784,2.6201646e-14,7310.25320356,974.2358636856079,21380,1.5610892492259154,1.5667053171842507,0.8785969791002571,0.005614689202886381,2.757510898095117e-06
638976,9.824894e-15,7380.384438940001,987.2165551185608,21390,1.4746294188400497,1.4825527992574923,0.8572865060530603,0.007922533734590325,1.6933657044138072e-06
647168,7.127996e-15,7777.380947919999,999.6962778568268,21398,1.4286225894320523,1.4366609859497608,0.8493460993282497,0.0080376862267837,1.4205818495482968e-06
655360,9.325516e-15,6961.128916400002,1012.0040814876556,21412,1.4146930123912171,1.4246722463858,0.8490842489525676,0.009977272589553146,3.922810059514559e-06
663552,1.2775974e-14,7227.01327596,1024.9627199172974,21422,1.479324460157659,1.486151751774551,0.8498353802599012,0.0068263945648576446,1.7941040691193954e-06
671744,1.5269907e-13,6311.77820988,1037.233235359192,21439,1.4061441941186785,1.408820747228869,0.8408297403715551,0.0026761445352737486,8.171498331766002e-07
679936,3.0847046e-14,4049.6975665800005,1050.6174094676971,21467,1.6436435617797542,1.6471942471556296,0.8313548096455634,0.0035497950494504946,1.7806528502861684e-06
688128,6.813021e-14,2682.5318961,1063.3482284545898,21493,2.4339224686147647,2.4355620780899097,0.8301208731718361,0.0016388322151751743,1.554519939866994e-06
696320,1.4664143e-14,3636.75003016,1075.8073477745056,21508,1.993497658567503,1.9965907446011522,0.8311777853406965,0.003092211485851394,1.7490955953103348e-06
704512,3.5752207e-14,4164.700970039999,1088.2261338233948,21525,1.6459316467808094,1.6495152492374003,0.8387369773350656,0.003582395406895281,2.414099391820357e-06
712704,3.735934e-14,4691.107435840001,1101.006097793579,21544,2.0641973243677056,2.070388919664777,0.8509612239897251,0.006190568098398979,2.0543973448569617e-06
720896,1.3056872e-14,3764.2753842999996,1113.8148777484894,21564,1.8551531607517973,1.8595446804463276,0.8663527632132173,0.004391290707072293,4.5797491565885415e-07
729088,6.048222e-15,4202.731659959999,1126.8274726867676,21578,1.828745626437012,1.834337597948069,0.8915428950451314,0.0055906700278629375,2.602966388214056e-06
737280,4.5606617e-15,4462.2505606,1139.6432936191559,21593,1.5661249496333767,1.5708870458813657,0.8923910913988948,0.004762031731910853,1.2903215661982935e-07
745472,4.2860267e-14,4566.26973198,1151.796264886856,21614,1.4575802289065904,1.4613617854728755,0.8910431614145636,0.0037813103131827766,4.925062046329254e-07
753664,6.289373e-14,4260.42213598,1163.9190635681152,21631,2.1209085209993646,2.1254813000224204,0.9033603752963245,0.004571741280669069,2.0754847738307936e-06
761856,3.007542e-14,4409.050117080001,1176.2908716201782,21644,1.6032312423922122,1.6085621517642352,0.916142412647605,0.005329758098927555,2.3025461912462574e-06
770048,7.085228e-15,4626.5257194999995,1188.7323925495148,21662,1.5214774919208138,1.5246705156960734,0.939195801410824,0.0031929390090764966,1.6953236575412144e-07
778240,3.3845696e-15,4823.19875582,1201.7085814476013,21676,1.9728638704633341,1.9764280411326909,0.9818861405365169,0.003563596400980902,1.1485367515162714e-06
786432,2.2166092e-15,5256.17151084,1214.2129385471344,21689,1.4550834634399508,1.4630473754581121,1.0047373223584146,0.007963854804627819,1.1442706703453098e-07
794624,1.6331629e-14,5718.83703212,1228.2507610321045,21698,1.3786336447810754,1.3860220535463994,1.0190517995506525,0.007388147495588471,5.225394711379228e-07
