mean_int_reward,total_time,total timesteps,num_episodes,ep_rew_mean,entropy_loss,total_loss,policy_gradient_loss,value_loss,intrinsic_loss
5.1544032e-14,614.8001735210419,303104,18189,498.32016912,0.40708173015154897,0.5952146732975073,-0.005214942218989775,0.6004245299496688,1.0171133656466935e-05
4.1434114e-14,636.7368013858795,311296,18329,539.9403280600001,0.4206983422394842,0.6536808737497334,0.00500525877234505,0.648667975619901,1.5278714974842343e-05
2.5790107e-14,691.5953166484833,319488,18460,604.6984964200001,0.4441084803082049,0.6774392958819758,0.007496657036372242,0.6699372161179781,1.0845455251184966e-05
2.9446087e-14,711.613184928894,327680,18554,801.74345272,0.4577492334414274,0.6328212474318938,0.0018618319753036113,0.6309532798128202,1.227128753993334e-05
1.0013731e-14,727.2980082035065,335872,18637,822.26684314,0.4801237055566162,0.8949671020746948,0.0039049025389971876,0.8910517425742001,2.091392299519157e-05
9.929111e-15,743.6027772426605,344064,18714,1077.38438166,0.4995300095994025,0.8101519034702394,0.0021791929900981887,0.8079682682640851,8.884432112177266e-06
1.2236165e-14,759.616747379303,352256,18791,956.9937919,0.5337965093087405,0.8615769765953136,0.003737211581261389,0.8578360032755882,7.523476927984163e-06
4.471663e-15,775.0045397281647,360448,18843,1504.8926082400003,0.5572558625135571,1.1023560263078642,0.0013488978541345673,1.1010048443684355,4.568170588470366e-06
2.4745936e-15,792.0105991363525,368640,18887,1791.96587456,0.5918290235567838,1.2255587557147571,0.004679516289104185,1.2208767483010887,4.98224912838241e-06
1.8532806e-15,808.0418784618378,376832,18931,1504.6837124799997,0.6201093970797956,1.3224704292566287,0.00601362730400862,1.3164509148802608,1.177414471831284e-05
7.2859794e-16,823.937460899353,385024,18949,2577.62706552,0.64887854764238,1.2381151679000868,0.0042846485438011745,1.233822413929738,1.621085309493342e-05
6.234959e-16,839.4876756668091,393216,18960,3405.3414629400004,0.6806569939479232,0.9256399883379288,0.004021920115411481,0.9216178848640993,3.6671683571742886e-07
2.7329734e-15,854.8191161155701,401408,18971,4644.029763160001,0.7204211072064937,0.7902042052005801,0.0012962925631010327,0.7889062814181671,3.262438624074271e-06
8.5311454e-16,870.7358367443085,409600,18982,5929.7879893399995,0.7445355331525206,0.9070874112206561,0.00858536921344919,0.8985019270563498,2.2990171442138773e-07
7.2996076e-16,886.9554574489594,417792,18991,6696.8810882,0.7558448248542845,0.9347261627775889,0.011348987179879729,0.9233747629448772,4.825305663888613e-06
1.89123e-15,902.8051970005035,425984,19002,7237.207726320001,0.7831527624279261,0.9401364561286467,0.00764050665719939,0.9324956756434404,5.476560142658738e-07
1.3262668e-15,918.6820607185364,434176,19014,7033.29367288,0.7942637014202774,0.9598890992195113,0.008735205343172259,0.951153130212333,1.527328011848711e-06
2.2089367e-16,934.5110006332397,442368,19022,7548.790427999999,0.8037870962172746,0.9385961762799176,0.010781145309067083,0.9278144508542028,1.1602332958826622e-06
1.1831477e-16,950.937254190445,450560,19037,6951.0944267800005,0.8098952054977417,0.9132001443524359,0.010386412330146803,0.9028133693384006,7.253677767243838e-07
1.4134386e-16,966.3889594078064,458752,19045,7386.341231119998,0.8138937225565315,1.17448718578284,0.011062991271002635,1.163419763132697,8.862758281030781e-06
8.7327255e-16,982.7871463298798,466944,19053,7568.36478884,0.8056218742392958,0.8739124961734653,0.009906940168157467,0.8640054396528285,2.3270495854432748e-07
2.2504072e-16,999.6162691116333,475136,19065,7673.601684759999,0.7962691633030772,0.9060715780959481,0.009189154259396693,0.8968821619841038,5.237048953492252e-07
1.0392967e-15,1017.9945151805878,483328,19073,7673.0601039,0.8091640944592655,1.201334140245104,0.00713221952191799,1.194196438236395,1.0964973582613946e-05
1.4376465e-16,1037.6469311714172,491520,19082,8408.873424799998,0.8107258188538253,0.9741803391539918,0.008177265537971181,0.9660030472383369,5.2755367522389074e-08
2.9585183e-16,1054.700697183609,499712,19093,8039.98162562,0.8115162077359855,0.9859611610322994,0.006880258698116065,0.9790786887839203,4.427100525589145e-06
3.916336e-16,1070.785863161087,507904,19101,7878.429761640001,0.8240961415693164,1.0047926898354569,0.006213575787942694,0.9985782245523296,1.7789903688197884e-06
9.6635196e-17,1087.0793220996857,516096,19112,7730.954533800001,0.8288383045233786,0.983501405359339,0.00681941542130792,0.9766811594483442,1.6609793737437651e-06
1.0019752e-15,1103.1171343326569,524288,19122,7727.50794158,0.8278267134912312,1.2470222492858103,0.010057836131395038,1.2369629253807943,2.975547241640397e-06
3.487213e-16,1119.5965356826782,532480,19135,7207.8478706,0.8252823495306074,1.1578746464421648,0.0062754340308154525,1.151598604337778,1.2161471430169323e-06
4.008709e-16,1135.6593527793884,540672,19148,6502.4776499399995,0.8313857084140182,1.3632677868219802,0.0068514132984525255,1.3564136141969356,5.518653184286016e-06
3.6714323e-16,1152.383665561676,548864,19161,6409.52843158,0.8413140758872032,1.2814658926127271,0.00801604610821734,1.2734498136909678,6.562708372709337e-08
2.1858612e-16,1168.636347770691,557056,19170,6625.61444366,0.858718981128186,1.6547647300180102,0.0032842981768058345,1.651479898521211,1.0666399863301646e-06
2.3707558e-16,1185.2082877159119,565248,19180,7036.870455540001,0.8759510041214525,1.2153345794488375,0.005702086821516129,1.2096320037380792,9.77778484304026e-07
1.2266425e-16,1201.3173644542694,573440,19189,6891.202101700001,0.8823880427516997,1.1660110888312978,0.010045990626758924,1.155964910009061,3.7639095606736837e-07
1.2325846e-16,1217.7575125694275,581632,19215,5345.76195392,0.8880891650915146,1.2598467751121656,0.004583663016124234,1.2552617763605667,2.6714709496805657e-06
9.4688046e-17,1233.7586674690247,589824,19226,5115.12632166,0.8830520237796009,2.707062524366093,0.011190905443472975,2.6958709928090685,1.2522271027021193e-06
4.4568495e-17,1249.6817588806152,598016,19237,5190.2227819,0.8830701379105449,1.5633641650503107,0.009546634314828382,1.5538174123706994,2.3672956618731034e-07
7.2698674e-17,1265.707516670227,606208,19267,4252.9170217,0.8704054370522499,1.4493130731441444,0.006961192307482508,1.4423514285532293,9.045668654339422e-07
1.3100265e-16,1281.7760169506073,614400,19319,1397.127646,0.8486028361134231,2.557128644871496,0.01497843545307571,2.5421492765657603,1.8657053190457295e-06
1.441372e-16,1298.4927098751068,622592,19379,1331.7766552199996,0.8265944852493703,4.090502623479732,0.008281001884976848,4.082221171120182,9.009491473768727e-07
4.562619e-16,1315.1983852386475,630784,19404,2043.7739659600002,0.7988563896156847,3.941554945425672,0.0049765698960602895,3.936578164529055,4.2200111266960104e-07
6.820537e-16,1331.912386417389,638976,19420,3165.33043938,0.790664283093065,1.626681215699304,-0.00037653379611456687,1.6270574280526489,6.428855394660648e-07
2.37639e-16,1348.723133802414,647168,19431,4492.3342013,0.8008728249929845,1.427472875416782,0.004964517854296623,1.4225081770098769,3.6110521745083556e-07
3.863455e-17,1365.1193788051605,655360,19439,5285.04026344,0.8278623876161874,1.3453304453448127,0.004932457531152363,1.3403977699112146,4.358048915388546e-07
9.516992e-16,1381.0183305740356,663552,19454,5997.7061552,0.8261765624396503,1.0599028858420598,0.001595172926364972,1.0583077094925102,6.8463697338976e-09
1.9301578e-16,1397.4130520820618,671744,19471,6012.777837160001,0.8187413930892944,1.3356134216878837,0.005478200556177033,1.330134941311553,5.59640306492179e-07
1.0683527e-15,1414.1447625160217,679936,19479,6326.908345939999,0.825037250854075,1.5667278569351268,0.003147913135520308,1.5635799329262228,2.174676752651067e-08
3.3596477e-16,1430.9225060939789,688128,19488,6197.583217399999,0.8311911134980619,1.1579147072040554,0.002800617031457897,1.1551140844472685,1.145065819546133e-08
4.5300847e-15,1447.0491502285004,696320,19507,5645.17368686,0.8273132767528295,1.1870841312579699,0.007896814622176567,1.1791869970504194,6.391707473967119e-07
1.5751353e-16,1463.2735450267792,704512,19520,6245.994345320001,0.8265756966546178,1.8534944283517585,0.005845594503909388,1.8476486831728836,3.013499315210333e-07
1.4729187e-16,1479.7655401229858,712704,19532,5659.82681844,0.8310193157754838,1.672395382859587,0.003096857572025903,1.6692983571207152,3.363336921590604e-07
